,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,0,25,0,21,1,1,0
1,1,61,0,38,0,1,0
2,1,26,0,1,0,2,1
3,1,43,0,0,0,2,0
4,1,43,0,4,1,1,0
5,0,46,0,23,1,1,1
6,0,51,0,1,1,1,0
7,1,96,0,1,0,0,1
8,0,23,0,1,0,0,1
9,0,29,0,1,0,0,0
10,1,72,0,0,0,1,0
11,1,59,0,0,1,1,0
12,1,51,0,0,1,2,1
13,1,31,0,0,0,1,0
14,1,35,0,11,0,1,0
15,1,29,0,0,0,1,0
16,1,71,0,38,0,2,0
17,1,24,0,1,1,1,0
18,0,22,0,1,0,1,0
19,1,67,0,21,1,1,0
20,1,71,0,1,0,2,1
21,0,26,0,1,0,1,0
22,1,21,0,0,1,1,0
23,0,59,0,1,0,2,1
24,1,20,0,0,0,2,0
25,1,33,0,7,0,1,1
26,0,38,0,1,1,1,1
27,1,22,0,4,0,1,0
28,1,24,0,21,1,0,0
29,1,26,0,0,0,0,1
30,1,30,0,0,1,1,0
31,1,24,0,4,0,2,1
32,1,70,0,2,0,1,1
33,1,41,0,2,0,0,1
34,0,59,0,21,0,1,0
35,1,26,0,1,1,1,0
36,1,24,0,21,0,1,0
37,1,71,0,0,0,0,0
38,1,61,0,23,0,1,0
39,1,69,0,1,1,0,0
40,1,30,0,8,1,1,1
41,1,43,0,0,0,1,1
42,1,72,0,23,0,0,1
43,0,22,0,4,0,0,0
44,1,25,0,4,1,1,1
45,1,24,0,0,0,1,1
46,1,42,0,1,0,0,1
47,1,23,0,1,0,1,0
48,1,24,0,3,0,1,0
49,1,29,0,1,0,2,1
50,1,24,0,0,0,0,1
51,1,25,0,11,0,1,0
52,1,96,0,21,0,0,1
53,1,38,0,1,0,0,1
54,1,51,0,0,0,1,0
55,1,24,0,21,1,2,0
56,0,59,0,12,0,1,1
57,1,30,0,0,0,1,0
58,1,46,0,21,1,0,1
59,1,26,0,1,0,0,1
60,1,46,0,1,0,1,1
61,1,42,0,1,0,1,0
62,1,26,0,2,1,2,1
63,1,30,0,21,0,1,1
64,1,22,0,35,0,1,1
65,0,24,0,11,0,2,1
66,1,24,0,0,0,1,0
67,1,25,0,0,0,1,0
68,1,59,0,0,0,0,0
69,1,39,0,0,0,1,0
70,1,46,0,0,0,1,0
71,1,21,0,21,1,2,1
72,1,69,0,2,0,2,1
73,1,29,0,1,1,1,0
74,1,21,0,23,0,2,1
75,1,69,0,0,0,1,1
76,0,33,0,1,0,0,0
77,1,29,0,2,1,1,0
78,1,39,0,2,1,2,1
79,1,38,0,0,0,2,0
80,1,28,0,11,0,2,1
81,1,70,0,21,0,1,0
82,0,22,0,35,0,2,0
83,0,31,0,0,1,1,1
84,1,27,0,1,1,2,1
85,1,40,0,0,0,1,1
86,1,61,0,1,0,1,0
87,0,24,0,3,1,2,1
88,1,60,0,0,1,2,0
89,1,70,0,1,0,2,1
90,1,69,0,0,0,1,0
91,1,33,0,2,0,1,0
92,1,74,0,1,1,1,0
93,1,34,0,2,0,0,0
94,0,33,0,0,0,1,1
95,1,31,0,0,0,2,0
96,1,43,0,0,1,1,1
97,0,46,0,0,0,1,0
98,0,46,0,1,0,1,0
99,1,64,0,1,0,1,1
100,0,30,0,11,1,1,1
101,1,59,0,2,1,1,1
102,0,29,0,1,0,2,1
103,1,20,0,8,0,1,0
104,1,28,0,12,0,1,1
105,1,24,0,4,0,2,1
106,1,26,0,2,1,2,0
107,1,28,0,4,0,2,1
108,1,26,0,0,0,0,1
109,1,42,0,0,0,2,1
110,1,26,0,1,0,0,0
111,0,46,0,7,0,1,1
112,1,28,0,21,0,2,0
113,1,72,0,3,0,0,1
114,1,21,0,1,0,1,1
115,1,34,0,2,1,1,0
116,0,29,0,0,0,0,1
117,0,66,0,0,0,1,0
118,1,26,0,21,1,1,0
119,1,38,0,0,0,2,0
120,1,23,0,2,1,1,0
121,1,38,0,1,0,1,0
122,0,55,0,15,0,1,1
123,1,35,0,0,1,2,1
124,1,22,0,1,0,2,1
125,1,71,0,4,0,1,1
126,1,35,0,3,0,1,1
127,0,74,0,38,0,0,1
128,1,24,0,21,0,1,1
129,1,42,0,2,0,0,1
130,1,51,0,1,0,1,0
131,1,34,0,21,0,0,1
132,1,21,0,0,0,1,0
133,1,26,0,11,0,1,1
134,0,46,0,4,0,1,0
135,1,74,0,2,0,1,0
136,1,22,0,0,0,2,1
137,1,29,0,0,1,2,1
138,1,38,0,0,0,1,0
139,1,28,0,38,0,1,0
140,0,69,0,0,0,0,1
141,1,19,0,1,1,1,1
142,0,21,0,1,1,1,0
143,1,61,0,3,0,1,0
144,0,59,0,0,0,0,1
145,1,23,0,13,0,1,1
146,1,69,0,0,0,1,1
147,1,43,0,3,0,1,0
148,1,34,0,4,0,1,1
149,1,23,0,0,0,1,0
150,1,38,0,27,1,1,1
151,1,56,0,2,1,1,0
152,1,38,0,21,1,2,1
153,1,50,0,0,1,2,1
154,1,30,0,0,0,0,1
155,1,23,0,0,1,1,1
156,0,38,0,1,0,1,0
157,1,46,0,20,1,1,0
158,1,71,0,0,1,2,1
159,1,46,0,21,0,0,1
160,1,23,0,0,1,1,0
161,1,21,0,0,0,1,0
162,1,20,0,1,0,1,0
163,1,33,0,0,0,1,0
164,0,55,0,1,0,1,0
165,1,43,0,0,1,1,0
166,1,63,0,13,0,1,0
167,1,46,0,0,0,1,0
168,1,43,0,3,1,1,0
169,1,20,0,1,0,2,1
170,1,25,0,0,0,1,0
171,1,28,0,35,1,1,0
172,0,35,0,0,0,2,0
173,1,26,0,1,0,1,0
174,1,70,0,0,0,1,0
175,1,28,0,8,0,1,0
176,0,30,0,0,0,1,0
177,1,28,0,1,0,1,0
178,1,74,0,0,0,1,1
179,1,50,0,0,0,2,1
180,1,21,0,12,0,0,0
181,1,30,0,35,0,1,0
182,1,70,0,0,0,1,0
183,1,70,0,23,1,1,1
184,1,31,0,21,0,1,0
185,1,30,0,38,0,1,0
186,1,24,0,0,0,1,0
187,1,64,0,0,0,0,1
188,1,27,0,9,0,1,1
189,0,24,0,2,0,0,1
190,1,33,0,0,0,1,1
191,1,20,0,27,1,2,1
192,1,20,0,0,1,0,1
193,1,50,0,2,0,1,0
194,1,28,0,19,0,1,0
195,0,46,0,0,1,1,0
196,1,26,0,11,1,1,0
197,1,24,0,4,1,1,1
198,0,26,0,38,0,2,0
199,0,47,0,23,0,1,0
200,1,43,0,1,1,1,0
201,0,26,0,1,0,1,0
202,1,24,0,23,0,2,1
203,1,29,0,8,0,1,0
204,1,25,0,29,0,1,0
205,1,50,0,8,0,1,1
206,1,39,0,21,0,1,0
207,1,33,0,3,0,1,1
208,0,22,0,21,0,1,0
209,1,24,0,4,0,1,0
210,0,24,0,0,1,2,1
211,1,39,0,3,0,2,1
212,1,33,0,0,0,2,1
213,1,31,0,0,0,1,0
214,0,33,0,35,0,1,0
215,1,42,0,21,0,1,1
216,1,44,0,2,0,1,0
217,1,33,0,1,1,2,1
218,1,96,0,1,0,1,0
219,0,29,0,0,1,1,1
220,1,72,0,1,0,1,0
221,0,64,0,4,1,2,0
222,0,29,0,1,1,1,0
223,1,33,0,1,0,1,0
224,0,41,0,0,0,0,1
225,0,70,0,0,0,1,1
226,1,33,0,3,0,1,1
227,1,41,0,1,0,2,1
228,1,28,0,1,0,2,1
229,1,70,0,1,0,2,0
230,1,29,0,1,1,2,1
