,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,22,0,8,1,1,1
1,1,22,0,6,1,2,1
2,1,30,0,3,0,2,1
3,1,54,0,4,0,1,0
4,0,26,0,2,0,1,0
5,1,36,0,13,0,2,1
6,1,21,0,6,0,0,1
7,1,20,0,13,0,0,0
8,1,31,0,1,0,0,0
9,1,50,0,1,1,1,0
10,1,31,0,19,0,0,1
11,1,20,0,0,1,1,0
12,1,55,0,2,0,1,1
13,1,41,0,2,0,0,1
14,1,37,0,19,0,0,0
15,1,30,0,6,1,2,1
16,1,40,0,5,1,2,1
17,1,46,0,3,1,1,1
18,0,50,0,0,0,1,0
19,0,30,0,0,1,1,0
20,1,44,0,1,0,1,0
21,1,33,0,6,1,2,1
22,0,39,0,1,1,2,0
23,1,25,0,2,0,1,1
24,0,24,0,1,0,1,1
25,1,53,0,4,0,1,0
26,1,32,0,0,1,1,1
27,1,45,0,0,1,1,0
28,0,21,0,1,0,2,0
29,1,53,0,4,0,0,1
30,1,43,0,0,0,1,1
31,1,25,0,4,0,0,0
32,1,32,0,9,0,0,1
33,1,21,0,0,0,1,0
34,1,48,0,0,0,1,1
35,1,31,0,2,0,0,0
36,0,32,0,1,1,1,0
37,1,27,0,18,0,2,1
38,1,31,0,1,0,1,0
39,1,60,0,0,0,1,0
40,0,21,0,0,1,1,0
41,1,28,0,2,0,2,1
42,1,51,0,1,0,1,0
43,1,27,0,0,0,2,0
44,1,25,0,1,1,1,0
45,1,55,0,2,0,1,0
46,1,50,0,0,0,1,0
47,1,57,0,1,1,1,1
48,1,64,0,18,0,0,1
49,0,51,0,1,1,1,0
50,1,53,0,2,0,1,0
51,1,36,0,1,1,2,0
52,1,29,0,1,1,1,1
53,1,40,0,0,1,1,0
54,1,37,0,1,0,1,1
55,1,31,0,0,0,2,0
56,1,25,0,5,1,0,1
57,0,30,0,0,0,1,0
58,1,33,0,1,0,1,0
59,1,22,0,2,0,2,0
60,1,20,0,0,0,1,0
61,1,42,0,2,0,1,0
62,1,26,0,0,1,0,0
63,1,21,0,16,0,0,1
64,1,26,0,1,0,2,1
65,1,42,0,0,1,1,0
66,1,33,0,0,0,1,0
67,1,30,0,7,0,2,1
68,1,53,0,0,1,1,1
69,0,70,0,0,1,1,0
70,1,21,0,4,0,1,0
71,1,30,0,0,0,1,0
72,0,21,0,1,0,1,1
73,1,26,0,0,1,2,0
74,1,51,0,27,0,1,1
75,1,26,0,1,0,0,1
76,1,25,0,8,1,0,1
77,1,24,0,7,0,0,1
78,1,67,0,0,0,1,0
79,1,33,0,3,0,2,0
80,1,36,0,1,1,1,0
81,1,36,0,0,1,1,0
82,0,26,0,9,0,2,1
83,1,21,0,0,1,2,0
84,1,21,0,15,0,0,1
85,1,45,0,9,0,2,1
86,1,24,0,2,0,2,1
87,1,28,0,0,0,1,0
88,1,37,0,2,0,1,0
89,1,27,0,7,0,0,1
90,1,25,0,2,0,2,1
91,1,25,0,3,1,2,1
92,0,40,0,2,1,1,0
93,1,49,0,6,0,2,0
94,1,20,0,5,0,0,1
95,1,30,0,19,0,0,1
96,1,43,0,2,0,2,1
97,0,49,0,0,0,1,0
98,1,68,0,2,0,1,0
99,1,39,0,0,1,1,0
100,1,57,0,19,0,0,0
101,1,28,0,2,0,1,0
102,0,20,0,1,0,1,0
103,1,44,0,0,1,1,0
104,1,24,0,2,0,0,0
105,1,46,0,3,0,1,0
106,1,44,0,0,1,1,0
107,1,28,0,2,1,1,1
108,1,22,0,1,1,1,0
109,1,25,0,18,0,0,1
110,0,27,0,0,1,2,0
111,1,39,0,1,0,0,0
112,1,46,0,5,1,1,1
113,1,33,0,1,1,0,1
114,1,26,0,1,0,1,1
115,1,35,0,1,0,1,0
116,1,70,0,1,1,1,0
117,0,30,0,3,1,1,0
118,1,29,0,2,0,0,1
119,1,26,0,1,0,0,0
120,1,36,0,0,0,2,0
121,1,27,0,0,0,1,0
122,1,30,0,12,1,2,1
123,1,26,0,10,0,0,1
124,0,55,0,1,0,1,1
125,1,27,0,0,1,1,0
126,1,28,1,0,1,1,0
127,1,25,0,0,0,1,0
128,1,44,0,0,0,1,0
129,1,28,0,5,0,1,0
130,1,64,0,2,0,2,1
131,0,56,0,0,0,1,1
132,1,33,0,8,1,2,1
133,1,42,0,13,0,1,1
134,0,25,0,7,0,0,1
135,1,30,0,0,0,0,0
136,0,60,0,1,0,1,0
137,1,27,0,3,1,1,0
138,1,47,0,0,0,1,0
139,1,21,0,12,0,2,1
140,0,56,0,4,1,1,1
141,1,36,0,12,1,2,1
142,1,42,0,1,0,1,0
143,1,32,0,2,0,0,1
144,1,25,0,4,0,1,0
145,1,32,0,0,0,1,0
146,1,20,0,2,0,1,0
147,1,64,0,6,0,2,0
148,0,35,0,1,1,1,1
149,0,38,0,0,1,1,0
150,1,36,0,4,0,2,1
151,1,26,0,1,0,1,0
152,0,25,0,2,1,2,0
153,1,30,0,2,0,1,1
154,1,27,0,0,1,2,1
155,1,53,0,0,0,1,0
156,0,24,0,0,1,1,0
157,1,22,0,4,1,2,1
158,1,33,0,2,1,1,0
159,1,58,0,0,0,1,0
160,1,21,0,5,0,0,1
161,0,19,0,3,0,1,0
162,1,32,0,14,0,2,1
163,1,61,0,0,1,1,0
164,1,21,0,1,0,2,0
165,1,51,0,5,1,1,1
166,1,36,0,3,1,1,1
167,0,32,0,4,0,1,0
168,1,57,0,1,0,1,0
169,1,55,0,2,0,1,1
170,0,39,0,1,1,1,1
171,1,25,0,0,0,1,0
172,1,23,0,4,1,2,0
173,1,48,0,1,0,0,1
174,1,33,0,3,1,2,0
175,1,27,0,10,0,0,0
176,1,37,0,8,0,1,1
177,0,33,0,1,1,2,1
178,1,26,0,15,0,2,0
179,1,31,0,6,0,1,1
180,1,47,0,1,1,2,0
181,1,26,0,2,0,0,1
182,1,53,0,3,0,1,1
183,1,28,0,5,0,2,1
184,1,33,0,1,0,1,1
185,0,27,0,0,1,2,1
186,1,36,0,14,0,0,1
187,1,25,0,1,1,2,0
188,0,23,0,0,1,1,0
189,0,31,0,4,0,2,1
190,1,38,0,10,0,1,0
191,1,49,0,0,0,1,0
192,0,41,0,0,1,1,0
193,1,22,0,7,0,2,1
194,0,28,0,0,1,1,0
195,1,25,0,0,0,2,0
196,1,46,0,0,1,1,1
197,1,30,0,0,1,1,1
198,1,28,0,0,1,2,0
199,1,38,0,0,0,1,0
200,0,57,0,0,1,1,0
201,0,60,0,0,1,1,0
202,1,30,0,2,0,0,1
203,1,24,0,2,0,1,0
204,1,26,0,11,0,0,1
205,1,26,0,1,0,2,1
206,1,27,0,4,0,1,0
207,1,33,0,0,0,1,0
208,1,26,0,3,0,2,0
209,1,20,0,1,0,2,0
210,1,27,0,10,1,0,1
211,1,31,0,0,0,2,1
212,0,29,0,3,0,2,1
213,1,25,0,7,1,1,1
214,1,21,0,0,1,1,0
215,1,21,0,25,0,0,1
216,1,47,0,18,1,0,1
217,1,28,0,0,1,0,1
218,1,30,0,2,0,1,1
219,1,35,0,1,0,0,1
220,1,35,0,0,0,1,0
221,1,25,0,3,1,2,0
222,0,61,0,0,1,1,0
223,0,36,0,1,1,1,0
224,1,29,0,10,1,0,1
225,1,33,0,18,1,0,1
226,1,55,0,2,0,1,0
227,1,44,0,1,0,1,1
228,1,38,0,9,1,2,1
229,1,42,0,5,1,1,1
230,1,25,0,14,0,2,0
231,1,30,0,23,0,2,1
232,1,27,0,1,0,1,0
233,1,47,0,7,1,2,1
234,1,36,0,4,0,0,1
235,1,52,0,0,0,1,0
236,1,31,0,1,0,2,0
237,1,45,0,2,1,2,0
238,1,22,0,4,0,2,1
239,1,52,0,1,0,2,0
240,1,38,0,0,0,1,0
241,1,54,0,2,0,1,0
242,1,43,0,0,1,1,0
243,1,28,0,3,1,1,0
244,1,65,0,5,1,1,0
245,1,36,0,4,1,1,1
246,1,39,0,9,0,0,0
247,1,31,0,0,1,0,0
248,0,29,0,0,0,1,0
249,1,23,0,0,0,1,0
250,1,61,0,0,1,1,0
251,0,23,0,0,0,0,1
252,1,30,0,2,1,1,0
253,1,30,0,1,0,1,0
254,1,19,0,11,0,0,1
255,1,29,0,0,0,1,1
256,0,67,0,0,0,1,0
257,1,52,0,0,0,0,0
258,0,30,0,2,1,1,1
259,0,21,0,0,1,1,0
260,1,56,0,1,0,1,0
261,1,26,0,1,0,1,0
262,1,28,0,5,0,2,1
263,1,56,0,13,0,0,0
264,1,21,0,0,1,0,0
265,1,31,0,0,1,1,0
266,1,24,0,3,0,1,0
267,0,40,0,1,1,1,0
268,0,29,0,1,0,1,0
269,1,29,0,4,0,0,1
270,1,25,0,0,0,1,0
271,1,24,0,18,0,2,1
272,1,51,0,1,1,2,0
273,1,26,0,0,1,1,1
274,1,33,0,14,0,0,1
275,1,59,0,0,0,1,0
276,1,55,0,1,0,1,0
277,1,57,0,1,1,1,0
278,1,54,0,0,0,1,0
279,1,52,0,0,0,1,0
280,1,31,0,0,0,2,0
281,1,53,0,0,1,1,1
282,1,23,0,0,1,1,0
283,1,27,0,1,0,1,0
284,1,27,0,1,1,2,1
285,1,37,0,1,1,1,0
286,1,22,0,9,1,2,0
287,1,35,0,28,0,0,0
288,0,48,0,7,0,2,0
289,1,28,0,7,0,0,0
290,1,53,0,1,0,1,0
291,0,47,0,0,0,1,0
292,0,66,0,0,0,2,0
293,1,22,0,9,0,2,0
294,1,26,0,1,1,1,0
295,1,26,0,2,1,1,0
296,0,54,0,12,1,2,0
297,1,33,0,8,1,2,0
298,1,27,0,9,0,2,1
299,1,47,0,0,1,1,0
300,1,44,0,1,0,1,1
301,1,22,0,1,0,1,0
302,1,61,0,2,0,0,0
303,0,66,0,1,0,2,1
304,1,55,0,0,0,1,0
305,1,28,0,10,0,0,1
306,1,25,0,4,0,0,1
307,1,53,0,0,0,2,0
308,1,48,0,12,1,2,0
309,0,39,0,2,0,1,0
