,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
4570,1,54,0,5,0,2,0
5689,0,26,0,1,0,2,0
5021,1,41,0,1,0,1,1
7118,1,47,0,4,0,0,1
1376,1,26,0,0,0,2,0
2448,1,34,0,0,0,1,0
1691,1,23,0,2,0,2,0
748,0,25,0,1,1,0,0
2579,1,37,0,0,1,1,0
3004,1,37,0,3,1,1,1
4116,1,32,0,0,1,2,0
88,0,35,0,1,1,1,0
3042,1,21,0,1,1,2,0
6241,1,36,0,2,1,1,0
7136,1,58,0,8,1,1,0
3886,0,34,0,0,0,0,1
4024,1,52,0,0,0,1,0
4718,1,30,0,3,1,1,0
4529,1,42,0,1,0,1,0
1672,1,44,0,13,0,0,1
5156,1,41,0,3,1,1,1
5771,0,29,0,0,1,2,0
2971,1,23,0,3,0,2,1
6733,1,33,0,2,1,1,0
5897,1,33,0,9,0,0,1
29,1,26,0,5,0,2,1
3674,1,29,0,4,1,2,1
2014,1,42,0,1,1,1,0
279,0,22,0,1,0,1,0
176,1,28,0,6,1,2,1
2455,0,22,0,2,0,1,0
6389,1,28,0,11,0,2,1
2095,1,35,0,1,0,1,1
6673,0,44,0,1,1,1,0
5176,0,43,0,0,1,1,0
4995,1,49,0,1,1,1,1
4109,0,29,0,0,0,0,0
411,1,56,0,0,1,1,0
1031,1,46,0,5,1,1,0
5957,1,38,0,0,0,1,1
540,1,22,0,6,0,0,1
2757,1,34,0,2,0,1,0
1465,0,56,0,1,0,0,0
1202,1,20,0,1,0,0,0
5116,1,22,0,1,1,0,1
4658,1,23,0,3,1,2,0
6318,1,26,0,27,1,0,1
4692,0,40,0,2,1,2,0
1727,1,31,0,1,0,2,1
6349,0,26,0,0,1,1,0
4694,1,39,0,2,0,1,0
1873,1,38,0,1,0,1,1
3228,1,34,0,9,0,0,1
2932,1,56,0,24,0,0,0
4787,1,24,0,1,0,0,0
2209,1,52,0,9,0,2,1
6705,1,49,0,3,0,1,0
4189,1,24,0,1,1,2,1
3340,1,31,0,10,0,0,1
508,1,52,0,4,1,1,0
794,1,30,0,0,0,1,0
6528,1,31,0,0,0,1,0
224,0,30,0,2,0,2,0
1941,1,42,0,0,0,1,0
6005,1,52,0,1,0,1,0
1538,1,34,0,2,1,1,0
6758,1,31,0,6,0,2,0
4022,1,32,0,9,0,1,0
6734,1,22,0,0,1,1,0
3525,1,21,0,0,0,0,1
4059,1,27,0,3,0,0,1
5765,1,57,0,11,0,2,1
7042,0,36,0,1,1,1,0
997,1,39,0,1,0,2,0
7077,1,29,0,15,0,2,1
5844,1,38,0,5,1,1,0
2769,1,32,0,0,1,1,1
5052,1,28,0,8,0,0,1
6191,1,21,0,0,0,2,0
6501,1,21,0,1,0,0,1
4602,1,28,0,0,1,1,1
6779,1,32,0,0,1,1,0
4029,1,33,0,0,1,2,0
5894,1,20,0,1,0,1,0
964,1,29,0,0,0,1,0
1207,1,28,0,7,0,2,1
812,1,24,0,0,0,1,0
853,1,48,0,1,0,1,0
3777,1,30,0,0,0,1,0
446,0,50,0,3,0,1,0
5064,1,68,0,0,1,1,0
1572,1,21,0,0,0,2,1
4302,1,31,0,4,1,2,1
907,1,28,0,1,0,1,0
5265,1,44,0,8,1,0,1
4977,1,31,0,1,0,0,1
5100,0,23,0,2,0,0,1
1523,1,36,0,1,0,1,1
521,1,48,0,1,0,2,1
4238,1,47,0,28,0,0,1
413,0,27,0,1,0,1,1
3580,0,21,0,0,0,0,1
1712,1,45,0,1,1,0,0
2329,1,23,0,0,0,1,0
6333,0,29,0,1,1,1,0
1357,1,19,0,2,0,0,1
4614,1,56,0,1,0,1,0
4223,1,23,0,0,0,1,0
15,1,31,0,7,0,1,1
1016,1,24,0,3,1,1,0
1855,1,27,0,1,0,0,0
114,1,42,0,1,0,1,1
2346,1,24,0,2,0,1,1
796,1,48,0,2,1,1,0
1560,1,38,0,10,0,1,1
5497,1,76,1,0,0,1,0
1405,1,22,0,3,0,0,1
2731,1,50,0,10,0,1,0
3135,0,22,0,3,1,0,0
4092,0,45,0,3,0,2,0
117,1,33,0,28,0,0,1
51,0,28,0,0,0,1,0
3026,1,38,0,1,0,1,0
6419,1,24,0,1,0,1,0
2945,1,24,0,0,0,1,0
2107,1,26,0,0,1,1,0
4631,1,61,0,29,0,0,1
3060,1,48,0,20,0,0,1
6618,0,28,0,1,0,1,0
4351,1,22,0,1,0,1,1
5966,0,32,0,2,0,1,1
2227,1,62,0,1,1,2,0
2119,1,29,0,11,0,0,1
1121,1,27,0,1,0,0,0
542,1,47,0,1,1,1,0
1543,1,26,0,0,1,1,0
2953,1,34,0,8,0,0,0
3970,1,31,0,17,0,0,1
3509,1,45,0,0,1,1,0
7059,1,47,0,0,1,1,0
3546,0,33,0,0,0,0,1
3881,1,29,0,2,0,1,0
234,1,43,0,13,0,1,1
3718,1,63,0,10,0,1,1
6916,0,27,0,12,1,2,1
5189,1,31,0,7,1,1,0
1287,1,30,0,0,0,1,0
6616,0,44,0,3,0,1,1
6566,1,21,0,0,0,1,1
220,1,51,0,0,1,1,0
53,0,63,0,1,0,1,0
5240,1,34,0,5,1,2,0
