,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
171,1,52,0,2,1,1,0
4048,1,29,0,8,1,0,1
4142,1,29,0,3,0,2,1
5035,1,43,0,0,1,1,0
5869,1,21,0,0,0,2,0
5465,1,23,0,0,0,2,1
4081,1,36,0,4,1,0,0
6128,1,20,0,1,0,0,1
4038,1,31,0,15,0,0,0
5406,1,28,0,7,0,0,0
4912,1,24,0,0,0,0,0
2460,1,27,0,2,0,2,1
1541,1,41,0,5,0,1,0
4097,1,33,0,2,1,1,0
5784,1,25,0,0,0,1,1
2542,1,21,0,1,0,1,0
1070,1,26,0,0,0,1,0
1477,0,25,0,5,0,2,0
322,1,56,0,0,1,1,0
4448,1,61,0,12,0,1,0
5434,1,35,0,8,1,2,0
1852,1,23,0,0,0,1,0
676,1,22,0,3,0,0,0
5755,1,21,0,1,0,1,0
4079,0,24,0,0,0,1,0
6070,1,28,0,0,0,1,0
6649,0,31,0,1,0,1,1
4042,1,35,0,4,1,2,0
1461,1,24,0,4,0,2,0
5642,0,22,0,0,0,2,0
4005,1,29,0,0,0,2,1
4528,1,38,0,10,1,2,0
6544,0,34,0,1,1,1,0
1908,1,28,0,1,0,2,1
5158,1,29,0,8,0,2,1
3559,1,36,0,3,1,1,1
4118,1,21,0,1,0,2,1
51,0,28,0,0,0,1,0
5673,1,34,0,3,0,1,1
4489,1,31,0,1,0,1,1
774,1,31,0,0,1,1,0
2576,1,43,0,6,1,0,1
1720,1,46,0,0,0,1,0
1311,1,20,0,2,0,0,1
4167,1,30,0,6,1,2,1
3980,1,48,0,7,0,1,0
5430,0,29,0,11,0,0,1
4814,1,30,0,2,0,1,0
6769,1,41,0,13,0,0,1
7062,1,36,0,9,0,2,1
4822,1,22,0,1,0,1,1
5172,1,36,0,0,0,1,1
3483,1,27,0,0,1,1,0
6434,1,35,0,4,0,0,1
6302,1,48,0,18,0,2,1
2645,1,26,0,0,0,0,0
3063,1,49,0,7,0,2,1
7200,0,20,0,0,1,2,1
6964,0,30,0,0,1,2,1
1318,0,63,0,1,0,1,0
3537,1,31,0,2,0,1,0
4945,1,30,0,3,0,1,1
4938,0,23,0,0,1,2,0
2905,0,22,0,2,1,2,0
1414,1,53,0,0,1,1,1
2023,1,30,0,3,0,1,0
5185,1,30,0,0,0,1,0
4585,1,54,0,4,0,1,1
110,1,38,0,5,1,1,1
6431,1,21,0,0,0,1,1
3473,1,38,0,0,1,1,0
1435,1,26,0,7,0,0,1
1490,1,33,0,0,1,1,0
1721,1,28,0,6,0,1,0
981,1,45,0,2,0,1,0
2216,1,21,0,1,0,0,0
6396,1,28,0,4,1,1,1
4451,1,25,0,13,0,1,1
6299,1,27,0,6,0,2,0
5122,1,25,0,11,1,0,1
7162,1,37,0,4,0,1,0
3289,1,45,0,13,1,2,1
4713,1,21,0,1,0,2,1
4788,1,36,0,2,0,2,1
6266,0,20,0,4,0,0,1
4383,1,39,0,10,0,0,1
1827,0,22,0,0,0,1,0
3716,1,47,0,5,1,1,1
4209,1,30,0,5,1,0,1
5661,1,30,0,14,0,0,1
5083,0,51,0,1,1,1,0
3519,1,30,0,0,0,1,0
6990,0,50,0,3,0,2,0
3325,1,27,0,7,0,0,1
2653,0,22,0,1,1,2,0
3872,1,40,0,13,0,0,0
6000,1,31,0,12,1,0,1
949,1,27,0,10,0,2,1
