,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,55,0,0,0,1,0
1,0,55,1,20,0,2,1
2,1,24,1,16,0,1,0
3,1,57,0,28,1,1,0
4,1,24,0,12,0,0,1
5,1,57,0,0,1,1,0
6,1,57,0,12,0,1,0
7,0,55,1,0,0,2,1
8,1,36,1,28,1,0,0
9,1,57,0,0,0,1,0
10,1,57,0,2,0,2,1
11,0,57,1,18,0,0,1
12,1,57,1,21,1,1,1
13,0,36,1,1,0,0,1
14,1,55,0,18,0,0,0
15,1,20,0,18,0,0,1
16,1,36,0,2,0,2,1
17,1,57,1,20,0,1,0
18,1,55,0,20,0,1,0
19,1,24,1,30,0,1,0
20,0,36,1,12,1,1,1
21,1,24,1,2,1,1,0
22,1,57,1,12,0,2,0
23,1,69,1,12,0,1,1
24,0,20,1,16,0,2,1
25,1,69,1,20,0,1,1
26,1,24,0,18,0,2,1
27,1,57,0,0,0,2,1
28,1,69,1,12,1,1,0
29,0,24,1,12,1,2,1
30,1,57,1,12,0,0,1
31,1,69,0,18,0,0,1
32,1,24,1,0,0,1,0
33,1,20,0,12,0,0,1
34,1,55,0,20,0,0,1
35,1,57,0,0,0,2,0
36,1,24,1,12,1,1,0
37,0,57,0,20,0,1,1
38,1,20,1,28,0,0,0
39,0,20,0,20,1,2,0
40,1,57,0,0,0,1,0
41,0,24,0,16,0,1,1
42,1,24,0,1,0,1,0
43,1,20,0,2,1,1,0
44,1,51,0,18,0,1,0
45,1,55,0,2,0,1,0
46,1,69,0,0,0,0,1
47,1,36,0,12,0,1,0
48,1,57,0,16,0,1,0
49,1,57,0,12,0,1,1
50,1,57,0,12,0,1,0
51,1,55,0,2,1,0,1
52,1,57,1,12,0,0,1
53,1,55,1,0,0,0,1
54,1,55,1,20,1,1,0
55,0,20,0,20,0,1,0
56,1,69,1,28,1,2,0
57,1,57,0,18,0,2,1
58,0,57,0,0,0,1,0
59,0,24,0,1,0,2,1
60,0,20,0,2,0,1,1
61,1,69,0,2,0,0,1
62,1,69,0,28,0,0,1
63,0,57,0,12,1,1,0
64,1,57,1,18,0,2,0
65,1,24,0,2,0,1,0
66,1,36,0,28,0,1,1
67,1,57,0,30,1,0,1
68,0,36,1,12,0,1,1
69,1,24,1,2,0,1,1
70,1,24,0,2,0,2,0
71,1,24,0,28,1,1,0
72,1,57,0,1,0,2,1
73,1,57,0,2,0,1,0
74,1,24,0,0,0,1,0
75,1,57,1,18,1,1,0
76,0,24,0,21,0,1,1
77,1,24,1,2,1,1,0
78,1,57,0,28,0,2,1
79,1,24,1,2,1,2,0
80,1,24,0,12,1,1,0
