,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
3277,1,45,0,0,0,1,0
4488,0,29,0,0,1,1,0
4546,1,30,0,9,0,1,1
3950,0,32,0,14,0,2,0
95,0,34,0,1,0,1,0
197,1,36,0,30,0,2,1
5021,1,23,0,0,0,1,0
3823,1,21,0,1,0,1,1
1704,1,36,0,9,1,1,1
4608,1,60,0,3,0,1,1
4422,1,52,0,1,1,0,1
5113,1,26,0,3,0,1,1
1407,1,37,0,2,0,1,0
586,1,41,0,7,0,2,1
5014,0,34,0,14,0,1,0
5638,1,26,0,1,0,1,0
516,0,29,0,3,0,0,1
3147,1,23,0,0,0,1,0
677,0,37,0,0,0,0,0
2879,1,33,0,9,1,1,0
3246,1,22,0,0,0,2,1
3873,1,43,0,1,1,2,1
609,1,62,0,8,0,1,0
667,1,26,0,3,1,1,0
920,1,45,0,0,1,1,1
3788,1,42,0,1,0,1,1
5321,1,20,0,7,1,2,0
1520,1,33,0,3,0,1,0
4059,1,52,0,8,1,1,0
4544,1,24,0,0,0,0,0
3982,1,60,0,3,0,2,1
1021,0,34,0,7,0,2,1
1250,1,34,0,1,0,2,1
4662,1,21,0,6,0,1,0
618,1,26,0,0,0,1,0
4768,1,56,0,4,0,0,1
0,1,53,0,1,0,1,0
4592,1,36,0,0,0,1,0
1249,0,24,0,4,0,2,1
3537,1,45,0,3,1,1,0
3305,1,66,0,4,0,1,0
5412,0,42,0,0,1,1,0
3104,0,32,0,3,0,2,0
1787,1,25,0,9,0,1,1
627,1,33,0,0,1,2,0
3734,0,43,0,1,1,2,0
3313,1,26,0,1,0,1,0
591,0,75,0,0,0,1,0
3699,1,45,0,0,1,2,1
1478,1,34,0,3,1,1,0
2022,1,21,0,0,0,1,0
5463,1,21,0,1,1,0,0
5375,1,23,0,4,0,2,1
4419,1,27,0,8,0,1,1
4186,1,35,0,10,0,2,0
2681,1,26,0,3,0,1,0
4643,1,20,0,5,0,0,1
3949,0,36,0,1,1,1,0
3965,1,29,0,2,1,2,1
3177,1,25,0,2,0,1,0
5691,0,24,0,1,1,1,1
3148,0,61,0,1,1,1,0
393,0,32,0,7,1,1,1
3509,1,51,0,3,1,0,1
1968,1,24,0,1,0,2,0
773,1,39,0,0,0,1,0
1473,1,24,0,15,0,2,1
4783,1,31,0,0,0,1,0
992,1,22,0,0,0,2,1
352,1,26,0,4,0,1,0
2468,1,29,0,3,0,1,0
2360,1,53,0,6,1,1,1
5630,1,61,0,2,0,1,1
4576,1,33,0,1,0,1,1
4778,1,31,0,1,1,1,0
4905,0,33,0,0,1,1,0
5249,1,75,0,1,0,2,0
168,1,41,0,0,0,2,1
1487,1,62,0,19,0,0,1
3096,1,56,0,9,0,2,1
2412,1,20,0,1,0,1,1
2642,1,20,0,0,1,1,1
2470,1,31,0,0,0,1,1
402,1,21,0,0,1,1,0
2758,1,41,0,2,0,1,0
1952,1,34,0,0,1,0,1
5610,1,28,0,0,0,1,0
4417,1,77,0,0,1,2,0
5710,0,20,0,2,1,0,1
1034,1,26,0,0,1,1,0
1637,0,26,0,1,0,0,1
233,0,23,0,9,0,2,1
1928,1,75,0,1,0,1,0
913,1,33,0,3,1,1,1
1010,1,77,0,3,0,2,1
873,1,72,0,1,0,2,1
2458,0,21,0,15,0,1,1
3711,0,77,0,0,0,2,0
5709,1,48,0,8,0,1,0
1092,1,41,0,6,0,1,1
2047,1,42,0,0,0,2,1
3485,1,27,0,1,0,1,0
308,1,26,0,13,1,1,0
1599,1,36,0,2,1,0,1
1228,1,38,0,0,1,1,0
5675,1,28,0,0,0,1,0
4391,0,26,0,1,0,2,0
166,1,24,0,1,0,0,1
2646,1,22,0,3,0,0,1
2910,1,41,0,1,0,0,1
220,1,37,0,5,0,2,1
4148,1,39,0,30,0,2,1
5340,1,29,0,4,1,1,0
5082,1,45,0,0,0,1,0
1564,1,28,0,0,0,1,0
5467,1,46,0,7,0,1,1
2256,1,34,0,2,1,1,0
2083,1,43,0,3,0,1,0
423,0,39,0,7,0,2,1
2370,0,33,0,1,1,1,0
1428,0,30,0,4,1,1,1
743,1,75,0,2,0,2,1
3831,1,36,0,3,0,0,1
3345,1,52,0,5,0,1,1
3348,1,22,0,14,1,0,1
4578,1,28,0,9,1,0,1
3170,1,33,0,6,1,1,1
4231,1,72,0,2,0,2,1
312,1,23,0,0,1,2,1
332,1,20,0,2,0,2,0
2069,1,33,0,0,1,1,1
4795,1,37,0,0,1,1,0
184,1,36,0,2,0,0,0
5049,0,23,0,0,0,1,1
1172,0,66,0,0,0,1,1
654,1,39,0,9,0,1,1
4252,1,32,0,5,1,2,1
527,1,26,0,3,0,1,1
842,1,60,0,3,0,1,0
4539,1,43,0,1,0,1,1
1640,1,26,0,0,1,1,0
2373,1,57,0,7,1,1,1
903,0,28,0,0,1,0,0
3186,1,26,0,0,0,0,1
1805,1,44,0,9,0,2,1
2105,1,70,0,6,0,2,1
314,1,27,0,0,0,2,1
3238,1,36,0,4,1,1,0
3223,1,77,0,7,1,0,1
2101,1,37,0,0,0,1,0
5631,0,48,0,1,1,1,0
2024,1,19,0,5,0,2,1
2710,1,28,0,36,1,0,1
3049,1,34,0,14,0,1,0
4380,0,29,0,0,0,2,0
3577,1,27,0,0,1,1,0
415,1,43,0,2,0,1,1
2534,0,32,0,2,0,1,1
5604,1,41,0,4,1,1,1
1539,1,75,0,1,1,2,1
239,1,22,0,3,1,0,1
1122,1,36,0,14,0,2,0
644,1,29,0,0,1,2,0
3211,1,31,0,0,1,2,1
641,1,26,0,1,0,1,0
1836,1,77,0,0,1,1,0
1325,1,29,0,2,0,0,1
1707,1,23,0,7,0,1,0
2344,1,34,0,10,1,0,1
4687,1,47,0,11,1,2,1
4533,1,34,0,6,0,1,1
3353,1,77,0,25,0,2,1
2353,0,34,0,1,0,1,1
3669,1,72,0,1,0,0,0
133,0,39,0,7,0,0,1
1230,1,75,0,0,0,1,0
5111,1,49,0,0,0,1,0
3653,1,39,0,0,0,1,0
311,1,26,0,6,1,1,0
276,0,36,0,1,0,2,1
498,1,28,0,1,0,1,0
4085,1,26,0,2,1,2,0
5499,1,22,0,11,0,2,1
3851,1,23,0,0,0,2,1
5407,1,24,0,0,0,1,1
2023,1,33,0,0,0,1,0
4337,1,36,0,6,0,2,0
3218,1,25,0,0,1,2,0
1855,1,23,0,7,0,0,1
3362,1,53,0,0,1,1,1
3657,1,29,0,5,1,2,0
3892,1,30,0,3,0,1,0
5726,1,21,0,4,0,1,1
3202,1,27,0,8,1,1,0
3525,1,28,0,3,1,1,0
5114,1,42,0,14,1,1,0
4875,1,37,0,15,1,2,1
