,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,64,1,7,0,0,1
1,0,72,0,0,1,2,1
2,0,72,0,1,1,2,0
3,1,34,0,36,1,1,0
4,0,41,0,0,0,1,0
5,1,32,0,0,0,1,1
6,1,35,0,2,0,1,0
7,1,53,0,2,1,1,0
8,1,49,0,0,0,0,1
9,1,28,1,4,0,1,1
10,1,21,1,1,0,1,0
11,1,24,1,9,0,1,0
12,1,60,1,0,1,2,1
13,1,74,1,0,0,1,0
14,1,74,1,0,1,1,0
15,0,32,1,1,0,1,0
16,1,28,1,2,0,2,1
17,0,29,0,1,0,1,1
18,1,38,0,9,0,2,1
19,1,28,0,8,0,1,0
20,1,72,1,0,0,0,1
21,1,34,0,3,0,0,1
22,1,36,0,1,0,0,1
23,1,50,0,0,0,1,0
24,1,35,0,4,0,0,1
25,1,23,0,0,1,1,1
26,1,27,0,7,0,2,1
27,1,23,0,5,1,2,1
28,0,21,1,1,0,2,1
29,0,24,0,1,0,1,0
30,1,39,1,1,0,1,0
31,1,37,0,1,0,1,0
32,1,40,1,2,0,2,0
33,1,40,0,9,0,2,1
34,1,28,0,1,1,1,1
35,0,65,0,19,0,1,0
36,1,25,0,1,1,0,1
37,1,24,1,4,0,0,0
38,1,50,1,2,1,2,0
39,1,21,1,0,1,1,0
40,0,30,0,0,1,0,1
41,1,50,0,2,1,2,0
42,1,48,0,5,0,1,0
43,1,27,1,0,1,1,1
44,0,28,0,1,0,1,0
45,1,28,0,14,0,0,1
46,1,24,0,0,0,2,0
47,0,55,1,0,0,1,1
48,1,29,0,13,1,1,1
49,1,28,1,0,1,1,0
50,1,22,1,1,0,0,1
51,0,24,0,1,0,1,0
52,1,22,1,16,0,1,0
53,1,32,1,0,1,0,0
54,0,22,0,1,0,1,0
55,1,39,0,10,0,1,0
56,1,24,0,0,0,0,0
57,1,34,0,0,1,2,1
58,1,24,0,2,0,2,0
59,1,40,1,0,0,2,0
60,1,34,0,1,0,2,1
61,1,48,0,1,0,1,1
62,1,28,0,0,1,0,1
63,1,34,0,0,1,2,0
64,0,45,1,2,0,1,0
65,1,31,0,0,0,0,1
66,1,26,1,4,1,1,0
67,1,60,1,1,1,1,0
68,1,45,0,0,0,2,0
69,0,40,1,13,1,1,0
70,1,65,0,0,1,1,0
71,1,60,0,1,1,1,0
72,1,23,1,3,0,2,0
73,1,21,0,11,1,1,0
74,1,48,0,35,1,0,0
75,0,30,1,0,0,2,0
76,1,31,0,7,0,1,1
77,1,74,1,0,0,1,0
78,1,26,1,1,1,1,0
79,1,40,1,7,0,1,1
80,1,27,1,13,1,1,1
81,1,39,0,18,1,2,0
82,1,24,0,5,0,1,0
83,1,33,0,0,0,0,1
