,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,21,0,0,0,0,1
1,0,36,1,4,1,1,0
2,0,56,1,0,0,1,1
3,1,24,0,1,0,0,1
4,0,34,1,1,0,1,0
5,1,44,0,1,0,0,1
6,1,27,0,2,0,1,1
7,0,26,0,3,1,1,1
8,0,23,0,4,1,0,1
9,1,28,0,4,0,1,0
10,0,21,0,1,0,1,0
11,1,28,1,8,1,1,1
12,1,21,0,8,0,0,1
13,1,59,0,12,1,1,1
14,1,25,0,9,1,0,0
15,1,26,0,2,1,0,0
16,0,28,0,1,1,1,0
17,1,27,0,0,0,1,0
18,1,26,0,0,1,1,0
19,1,27,0,2,0,2,1
20,1,29,0,12,1,1,0
21,1,61,1,0,1,1,0
22,1,23,0,19,0,0,1
23,1,39,1,3,1,1,0
24,1,28,0,1,1,2,1
25,0,22,1,2,0,2,0
26,1,21,1,3,0,2,1
27,1,52,0,17,0,0,1
28,1,26,1,0,1,1,0
29,1,23,1,0,0,0,1
30,1,23,0,4,1,1,1
31,1,32,1,33,0,2,1
32,1,33,0,8,1,1,0
33,1,47,0,9,0,0,1
34,1,25,0,6,1,0,1
35,1,23,0,2,1,1,0
36,0,44,1,2,0,1,0
37,1,27,0,1,1,0,1
38,1,27,1,21,0,0,1
39,1,32,1,0,0,2,0
40,1,29,0,1,1,2,1
41,1,27,1,9,0,2,1
42,1,44,1,2,0,1,0
43,1,22,0,3,0,0,1
44,1,29,1,9,1,0,1
45,0,44,0,1,1,1,0
46,1,24,0,0,0,1,0
47,1,34,1,0,0,1,0
48,1,32,0,21,0,2,1
49,1,36,0,1,0,1,0
50,1,33,0,2,1,0,1
51,1,36,0,9,1,2,1
52,1,29,1,0,0,1,0
53,1,43,0,7,0,1,0
54,1,38,1,0,0,1,0
55,1,62,0,13,0,0,1
56,1,47,0,1,1,1,0
57,0,57,1,0,1,1,1
58,0,56,1,3,1,1,1
59,1,29,0,0,0,0,1
60,1,66,0,3,0,1,0
61,1,52,0,18,0,2,1
62,1,21,0,0,0,2,0
63,1,26,1,1,0,1,0
64,1,44,1,11,0,0,1
65,0,70,0,3,1,1,0
66,1,50,1,1,1,2,0
67,1,23,1,0,0,1,1
68,1,30,1,2,0,1,0
69,1,33,0,9,1,0,1
70,0,54,1,1,1,1,0
71,0,59,0,0,1,1,0
72,0,50,1,1,0,1,0
73,1,27,0,1,1,2,1
74,1,36,1,0,0,1,0
75,1,28,0,11,0,2,1
76,1,27,0,0,1,1,1
