,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
4250,1,34,0,1,0,1,1
140,1,36,0,0,0,2,1
2985,1,29,0,6,0,2,1
32,1,27,0,1,0,1,0
5199,1,27,0,1,0,1,1
4290,0,29,0,1,0,1,0
33,1,29,0,3,1,1,0
4922,1,61,0,25,1,0,1
559,0,24,0,6,0,1,0
2099,1,21,0,0,1,0,1
1768,0,36,0,1,1,1,1
3633,1,22,0,1,1,0,1
2372,0,70,0,0,0,1,0
5358,1,30,0,0,0,1,1
5210,1,24,0,3,0,0,1
3977,1,53,0,2,1,1,0
34,1,24,0,0,1,1,1
2207,1,31,0,4,0,1,0
3694,1,29,0,6,0,1,0
4607,0,28,0,0,0,1,1
1602,1,35,0,1,0,1,1
5665,1,43,0,8,0,2,1
2718,1,41,0,0,0,1,0
2705,0,22,0,3,0,2,0
2778,0,21,0,0,1,2,1
4782,1,26,0,0,1,1,0
4862,1,25,0,0,0,0,0
2273,0,21,0,0,1,0,1
1338,1,25,0,21,1,0,1
5543,1,58,0,1,0,1,1
3555,1,57,0,15,0,0,1
1369,1,49,0,3,0,2,0
1507,1,28,0,0,0,1,0
4588,1,38,0,8,1,1,0
514,1,30,0,1,0,1,0
2928,1,52,0,0,0,1,0
4944,0,32,0,2,0,1,0
3665,1,29,0,9,0,0,1
3213,0,32,0,0,1,1,1
1042,0,51,0,1,1,1,0
1527,1,59,0,27,0,0,1
3510,1,26,0,0,1,1,0
811,0,27,0,0,0,2,1
2226,1,31,0,0,1,2,1
3471,0,65,0,0,0,1,0
3347,1,37,0,2,1,1,1
53,1,36,0,11,0,0,0
111,1,53,0,4,0,1,1
3644,1,30,0,11,0,0,1
433,1,59,0,27,0,1,1
4756,1,22,0,0,1,0,1
1726,1,20,0,0,0,1,0
335,0,27,0,6,0,2,0
4022,1,64,0,0,1,2,0
257,1,25,0,1,1,1,1
4711,1,51,0,1,1,1,1
1783,0,38,0,0,0,1,0
4976,1,52,0,8,1,0,1
3701,1,24,0,5,0,2,1
486,1,46,0,24,0,2,1
3517,0,31,0,9,0,0,1
3297,0,24,0,2,0,2,1
2873,1,24,0,3,0,2,1
376,1,31,0,1,1,2,0
4461,0,35,0,1,0,1,0
3406,1,21,0,3,0,0,1
4935,1,30,0,19,0,0,1
3639,1,39,0,0,0,1,0
4509,1,37,0,12,0,2,0
4504,1,58,0,3,1,1,1
544,1,23,0,1,0,1,1
1405,1,64,0,0,0,1,0
1574,1,29,0,0,1,1,0
