,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,34,0,0,0,0,1
1,0,29,0,0,1,1,0
2,1,42,1,15,1,2,0
3,1,28,0,0,1,2,1
4,1,24,0,0,0,0,1
5,1,30,0,1,1,0,1
6,1,30,0,15,1,0,1
7,0,62,1,3,1,2,0
8,1,32,0,4,1,2,1
9,1,32,0,0,0,0,1
10,0,37,1,13,0,0,0
11,1,23,0,2,0,2,0
12,1,27,1,1,0,1,1
13,1,23,0,1,0,1,0
14,1,33,0,0,0,1,1
15,1,34,0,1,0,1,1
16,1,28,0,0,0,1,0
17,1,47,0,8,0,0,1
18,1,28,1,6,0,2,1
19,0,43,0,1,1,2,0
20,0,24,1,4,0,2,1
21,1,44,1,1,0,1,1
22,1,34,1,2,0,1,0
23,1,36,1,5,0,0,1
24,1,65,1,0,0,1,0
25,1,35,0,0,0,2,1
26,1,27,0,7,0,0,1
27,0,38,0,2,1,2,1
28,1,50,0,5,0,2,1
29,0,43,0,0,0,1,0
30,0,56,1,0,0,1,0
31,1,24,0,11,0,2,1
32,1,55,1,4,0,0,1
33,1,40,1,3,1,0,1
34,1,32,0,2,0,0,1
35,1,45,0,0,0,1,0
36,1,44,0,0,0,1,0
37,1,26,1,5,0,0,1
38,1,59,1,1,0,0,0
39,1,69,1,5,1,1,0
40,1,35,0,18,0,0,1
41,1,39,1,0,1,1,0
42,1,27,0,3,0,2,0
43,1,54,0,0,1,1,0
44,0,29,1,5,0,2,1
45,1,59,0,15,0,0,1
46,1,30,0,2,0,0,0
47,1,47,0,0,0,1,1
48,0,27,1,1,0,1,0
49,1,39,1,2,0,1,0
50,1,21,0,12,0,0,1
51,1,41,1,2,0,1,0
52,1,71,1,0,1,1,0
53,1,36,0,2,1,1,0
54,1,39,0,11,0,2,0
55,1,59,0,2,0,1,0
56,1,22,0,0,1,1,0
57,1,28,0,0,0,2,1
58,1,33,1,12,0,2,0
59,0,27,1,0,1,2,0
60,1,45,1,0,1,1,0
61,1,20,0,0,1,1,1
62,1,25,0,4,1,0,1
63,1,36,0,1,1,0,1
64,0,28,0,5,0,2,1
65,1,44,0,0,1,1,0
66,0,33,1,3,1,1,0
67,1,52,1,0,1,1,0
68,1,20,0,0,0,1,1
69,1,35,0,3,0,0,1
70,1,42,0,8,0,1,1
71,1,53,0,2,0,1,0
72,1,31,0,5,1,1,1
73,1,57,0,1,0,2,0
74,1,44,1,8,0,1,0
75,1,36,0,9,0,0,1
76,1,21,0,1,0,1,0
77,1,27,0,9,1,1,1
78,1,39,1,1,0,2,1
79,1,20,1,19,0,2,1
80,1,35,0,3,1,1,1
81,1,36,0,2,0,0,1
82,1,27,1,1,0,2,0
83,0,28,1,0,1,1,0
84,1,36,0,1,1,1,0
85,0,58,1,0,0,1,0
86,0,48,1,5,0,1,1
87,1,44,0,0,0,1,0
88,1,52,1,1,0,2,0
89,1,45,1,1,0,1,0
90,0,30,0,8,0,2,0
91,1,52,1,1,1,1,0
92,0,20,1,6,1,0,1
93,1,33,0,1,0,1,1
94,1,38,1,0,1,1,1
95,1,33,1,0,1,1,0
96,0,39,1,0,0,1,1
97,1,26,1,12,0,2,0
98,0,25,0,0,0,1,1
99,1,30,0,0,0,1,0
100,1,24,0,0,0,1,0
101,1,65,0,9,0,1,0
102,1,23,0,2,0,1,0
103,1,52,0,0,0,2,0
104,1,28,0,0,0,2,1
105,0,35,1,0,1,1,0
106,1,24,0,1,0,1,0
107,1,39,0,0,1,1,1
108,1,26,0,1,0,0,0
109,1,26,0,3,0,1,1
110,1,31,1,0,0,1,1
111,1,41,1,6,0,2,1
112,1,28,0,18,0,0,1
113,1,40,0,0,1,1,0
114,1,29,0,0,1,1,0
115,1,62,1,1,0,2,0
116,0,36,0,0,0,1,0
117,1,25,1,4,1,1,1
118,1,24,1,0,0,1,0
119,1,37,0,0,1,1,0
120,1,26,0,0,0,2,1
121,1,67,1,0,0,1,0
122,1,42,0,7,0,1,1
123,1,21,0,0,1,1,0
124,0,27,0,10,0,0,1
125,1,32,1,7,0,1,1
126,1,30,0,0,0,2,1
127,1,31,0,10,0,0,1
128,1,23,0,1,1,1,0
129,0,24,0,11,1,0,1
130,1,29,0,3,0,2,0
131,1,47,0,6,1,2,1
132,1,46,0,4,0,0,1
133,1,28,1,0,0,1,0
134,1,36,0,14,0,0,1
135,1,26,0,4,0,0,1
136,1,48,1,0,0,1,0
137,1,22,0,0,1,0,0
138,0,42,0,2,1,1,0
139,1,26,0,1,0,1,0
140,1,27,0,1,0,0,1
141,0,22,0,0,0,1,0
142,1,28,1,11,0,2,1
143,1,53,0,0,1,2,1
144,1,27,0,3,0,2,1
145,0,54,1,1,0,1,0
146,0,41,1,0,0,1,0
147,1,51,1,1,1,1,0
148,0,28,1,1,1,2,1
149,1,34,1,1,0,1,0
150,1,29,0,0,0,1,0
151,0,41,1,1,0,2,0
152,1,36,0,2,0,1,0
153,1,24,0,5,0,2,0
154,1,28,0,8,0,0,1
155,1,55,1,2,1,1,1
156,1,20,0,9,1,0,1
157,1,29,1,4,0,1,0
158,1,22,0,3,0,1,0
159,1,48,1,4,0,2,1
160,1,24,0,5,1,1,0
161,1,57,0,0,1,0,1
162,1,27,1,13,0,2,1
163,1,32,0,1,1,2,0
164,1,27,0,6,0,0,1
165,0,41,0,5,0,1,0
166,1,26,0,3,1,1,0
167,0,49,0,0,1,1,0
168,1,28,1,11,0,2,0
169,1,39,1,0,1,1,0
170,1,34,1,0,1,1,0
171,1,24,0,1,0,0,1
172,0,25,0,5,0,1,0
173,1,30,0,1,1,1,1
174,0,51,1,0,0,1,0
175,1,45,0,5,0,2,0
176,1,25,0,1,1,1,1
177,1,49,0,7,0,2,0
178,1,37,0,1,0,0,0
179,1,35,0,6,0,0,0
180,1,56,0,13,0,0,0
181,0,27,0,0,1,1,0
182,1,29,0,0,0,1,1
183,1,32,1,4,0,1,0
184,1,40,0,8,1,0,1
185,1,25,0,2,0,2,1
186,0,37,1,1,0,1,0
187,1,34,1,1,1,1,1
188,1,21,1,2,0,1,1
189,1,44,1,0,1,1,0
190,1,30,0,0,1,2,1
191,1,53,1,2,0,1,0
192,0,31,1,0,0,1,0
193,1,29,0,0,0,1,0
194,1,30,1,0,1,1,0
195,1,26,0,0,0,2,0
196,1,48,0,1,0,1,0
197,1,33,1,4,0,1,0
198,1,35,0,0,1,1,1
199,0,22,0,0,0,2,0
200,1,45,0,1,0,1,0
201,1,37,0,6,0,2,1
202,1,49,1,0,1,2,0
203,1,32,0,5,0,2,1
204,1,24,0,12,0,0,1
205,1,57,0,2,0,1,0
206,0,34,0,7,0,2,1
207,1,31,1,0,1,1,0
208,1,22,0,2,0,2,0
209,1,27,0,31,0,0,0
210,1,63,1,33,1,1,1
211,1,30,1,6,0,1,0
212,1,24,0,9,1,2,0
213,1,23,0,0,1,1,0
214,0,20,1,5,1,1,0
215,1,24,1,1,0,1,0
216,1,48,1,3,1,2,1
217,1,43,1,1,1,1,0
218,1,21,1,2,0,1,0
219,1,31,1,6,0,1,0
220,1,29,0,2,0,1,0
221,1,24,0,4,0,2,1
222,1,50,1,0,0,1,1
223,1,41,0,0,0,0,0
224,1,37,1,0,0,0,1
225,0,36,1,0,0,2,0
226,1,28,0,16,1,2,1
227,0,68,1,4,1,1,1
228,1,37,0,0,1,2,0
229,1,43,0,11,0,0,1
230,1,27,0,2,0,1,0
231,1,32,1,4,1,2,0
232,0,21,0,1,1,1,1
233,0,25,0,5,0,2,0
234,1,26,0,0,0,1,0
235,1,52,1,1,0,1,0
236,1,23,0,0,1,1,1
237,1,34,0,0,1,1,0
238,1,30,0,13,0,0,1
239,0,55,1,8,0,2,0
240,1,21,0,3,0,0,1
241,1,33,1,17,0,0,1
242,1,24,0,6,0,0,1
243,1,63,1,6,0,2,0
244,1,43,0,15,0,0,0
245,1,22,0,1,0,1,0
246,1,37,1,2,1,1,1
247,1,45,0,0,0,1,0
