,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
6059,1,39,0,3,0,1,0
2201,1,31,0,15,0,0,1
5849,0,29,0,1,0,1,1
4604,0,36,0,3,0,1,1
6245,1,26,0,5,0,0,1
6179,1,45,0,0,0,1,1
6549,1,42,0,8,0,1,0
5244,1,51,0,19,0,0,1
3385,0,31,0,3,0,2,0
762,1,27,0,3,1,2,0
1843,1,30,0,11,0,0,0
4876,1,27,0,8,1,0,0
713,1,50,0,18,0,0,1
1250,1,57,0,0,1,1,0
170,0,32,0,5,0,2,0
2883,1,42,0,3,0,1,0
2060,1,37,0,0,0,1,1
3133,1,44,0,0,0,1,0
6464,1,26,0,15,0,0,0
4793,1,34,0,5,0,1,0
5473,1,47,0,1,1,2,0
6957,1,25,0,1,0,1,0
3988,0,28,0,1,0,1,1
6144,0,49,0,0,1,1,0
3195,1,24,0,1,1,1,1
2216,1,21,0,1,0,0,0
3261,1,32,0,10,0,2,1
3732,0,22,0,0,1,1,0
5420,1,58,0,0,0,1,0
5657,1,23,0,0,0,1,0
4744,1,23,0,2,0,2,1
5080,1,53,0,5,1,1,1
1251,1,51,0,3,0,1,1
2658,1,45,0,1,1,1,0
2023,1,30,0,3,0,1,0
4551,1,21,0,2,0,0,1
2034,0,32,0,0,1,1,0
3620,1,23,0,2,0,0,1
996,1,59,0,1,1,1,0
4482,0,39,0,2,0,2,1
2436,1,53,0,2,0,1,0
3702,1,32,0,7,0,0,1
4795,1,25,0,6,0,0,1
3569,1,32,0,1,0,1,0
5668,1,77,0,1,1,1,0
1527,0,27,0,1,0,2,1
2365,1,57,0,3,1,1,1
6961,0,32,0,1,0,1,0
4144,1,23,0,2,0,2,0
221,1,36,0,1,1,1,1
2015,0,25,0,1,0,1,0
459,1,28,0,1,0,1,1
3296,1,21,0,0,1,1,0
3837,1,39,0,19,0,0,1
2751,1,40,0,7,0,0,0
2048,1,41,0,19,0,2,0
4285,1,59,0,3,1,1,0
6049,1,35,0,3,0,1,0
3609,1,54,0,0,1,1,0
2047,1,56,0,1,0,1,0
1590,1,29,0,0,0,1,0
6761,1,32,0,4,0,0,0
5540,0,34,0,12,0,0,1
2677,1,24,0,0,0,2,1
1554,0,20,0,2,0,0,1
1625,0,33,0,7,1,2,0
3127,1,42,0,3,0,2,1
2427,1,61,0,30,0,1,0
2885,1,50,0,1,0,1,0
2012,1,25,0,4,0,2,1
1597,1,45,0,2,1,2,0
3293,1,39,0,3,0,1,0
6406,0,27,0,10,1,2,1
4229,0,36,0,0,1,1,0
1320,1,26,0,0,0,1,1
3972,1,57,0,6,0,1,0
1629,1,37,0,8,0,2,1
202,1,44,0,4,1,1,0
5623,1,34,0,1,1,1,0
5906,1,45,0,0,0,1,0
2183,1,32,0,14,0,0,1
1282,1,30,0,0,1,1,0
2639,0,25,0,2,0,0,1
7152,1,35,0,12,1,2,1
2157,1,48,0,13,0,2,1
2308,1,40,0,4,1,1,0
4548,1,32,0,1,1,1,1
2366,1,61,0,10,0,2,0
1770,0,21,0,0,0,2,0
3964,1,39,0,2,1,1,0
65,1,29,0,4,0,0,1
6395,1,41,0,6,0,2,1
309,1,27,0,4,1,0,1
1244,0,42,0,0,0,1,1
6486,1,26,0,1,1,1,0
7202,1,26,0,0,0,1,0
111,1,34,0,0,0,2,0
845,1,51,0,0,0,1,0
1971,0,42,0,0,0,1,0
2109,1,45,0,9,0,0,1
6795,0,26,0,1,0,0,0
6730,0,31,0,4,0,0,0
4518,0,23,0,0,0,2,0
963,1,52,0,6,1,1,1
1423,1,39,0,1,0,1,1
4585,1,54,0,4,0,1,1
5894,1,20,0,1,0,1,0
5558,1,28,0,6,1,2,1
5440,0,21,0,3,1,2,1
5124,1,27,0,0,1,1,1
1642,1,21,0,1,0,2,1
3352,1,27,0,18,0,0,1
558,1,50,0,3,1,1,0
6527,1,26,0,2,0,1,0
1736,1,23,0,0,1,1,0
937,1,25,0,2,1,1,1
554,1,39,0,3,0,1,1
467,1,54,0,28,0,0,1
2487,1,27,0,1,0,2,1
3622,1,35,0,5,1,1,0
4984,1,31,0,6,1,0,1
1378,1,29,0,0,1,1,0
6445,1,29,0,0,1,1,1
615,1,30,0,6,0,2,1
4919,1,21,0,0,0,0,1
5406,1,28,0,7,0,0,0
5969,1,20,0,1,0,1,1
2317,0,33,0,2,0,1,0
5834,1,36,0,1,0,1,0
4082,1,38,0,2,1,1,0
5361,1,38,0,0,1,1,0
2353,1,27,0,2,0,1,0
2720,1,52,0,1,1,1,0
4483,1,43,0,8,0,1,1
6248,1,23,0,1,0,0,0
791,1,32,0,22,0,0,1
1510,1,56,0,3,1,1,0
141,0,45,0,4,0,1,0
6312,0,24,0,1,1,1,0
2834,1,54,0,12,0,2,1
481,1,34,0,4,0,1,1
2412,1,50,0,1,0,2,0
581,1,30,0,5,0,2,1
496,0,59,0,0,1,1,0
1354,1,28,0,1,1,2,0
6588,1,57,0,0,0,1,0
2176,1,33,0,4,0,0,0
6858,0,51,0,3,1,1,0
2986,1,37,0,1,1,1,0
4617,1,51,0,0,1,1,0
7166,0,54,0,1,1,1,0
5804,1,31,0,19,0,2,1
533,1,21,0,0,0,1,1
4093,1,33,1,0,1,1,0
4824,1,38,0,0,1,1,0
4100,1,33,0,14,0,0,0
3979,1,42,0,0,0,2,0
3090,0,39,0,1,0,1,0
4030,1,22,0,0,0,2,1
4191,1,57,0,1,1,1,0
4987,1,20,0,4,0,0,1
6098,1,30,0,2,0,1,0
6683,1,25,0,4,0,0,0
3231,1,21,0,0,0,0,1
6465,1,23,0,8,0,0,1
1050,1,36,0,2,0,1,0
6780,0,34,0,0,0,1,1
6392,0,19,0,1,0,1,1
4244,0,23,0,0,1,1,0
1234,1,27,0,1,0,1,0
4577,1,22,0,0,0,1,0
