,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,63,0,21,1,2,0
1,0,74,1,1,1,2,0
2,1,28,0,8,0,0,1
3,1,29,1,4,1,0,1
4,1,69,1,3,0,1,1
5,1,25,1,11,1,1,0
6,1,72,1,0,0,2,1
7,0,51,1,21,0,2,0
8,1,59,1,26,1,2,0
9,0,61,0,20,1,1,1
10,1,54,1,26,1,0,0
11,1,62,1,7,1,1,1
12,0,53,0,28,0,1,0
13,1,75,1,0,0,1,1
14,1,39,1,33,1,2,0
15,1,83,1,37,1,2,1
16,1,20,1,35,0,0,0
17,1,37,1,11,0,2,0
18,0,32,1,8,0,0,0
19,1,35,1,9,0,0,1
20,1,29,1,0,1,0,1
21,1,61,1,19,0,0,1
22,1,24,1,18,1,1,0
23,1,55,1,37,0,2,1
24,1,48,0,16,0,2,1
25,1,23,1,4,1,2,1
26,1,79,1,36,0,0,1
27,0,60,0,28,1,1,1
28,0,38,1,18,1,0,0
29,1,34,0,25,0,0,0
30,1,45,1,26,0,2,1
31,0,51,0,21,1,2,1
32,1,54,0,23,0,1,1
33,1,59,0,33,1,2,0
34,0,39,0,37,1,0,0
35,0,72,1,22,1,1,0
36,1,36,1,36,0,1,1
37,0,66,1,11,0,0,0
38,1,37,1,21,1,0,0
39,1,52,0,37,1,2,0
40,1,58,1,30,1,2,0
41,1,79,1,6,0,0,1
42,1,64,0,27,1,0,1
43,0,39,0,9,1,1,1
44,0,55,1,21,0,1,1
45,1,56,0,26,1,2,0
46,1,50,1,16,0,1,1
47,0,39,1,21,1,2,1
48,0,68,1,26,1,2,0
49,1,61,1,20,0,0,1
50,1,64,1,18,1,2,1
51,1,57,1,30,0,1,0
52,1,28,1,12,1,0,1
53,1,31,1,18,1,0,1
54,1,61,1,4,0,2,0
55,1,33,1,6,0,0,0
56,1,54,0,11,0,2,1
57,1,56,1,21,1,2,0
58,1,24,0,33,1,0,1
59,1,67,1,8,1,2,1
60,1,36,0,15,1,1,1
61,1,43,0,30,0,0,1
62,1,63,1,7,1,0,1
63,0,42,1,0,0,2,0
64,1,49,0,25,1,1,1
65,1,51,1,6,1,0,0
66,1,31,0,21,1,0,1
67,1,65,1,22,1,2,1
68,1,30,1,10,0,0,0
69,0,51,1,11,0,1,0
70,1,71,1,27,1,2,1
71,0,23,0,18,1,1,1
72,1,45,1,17,1,0,1
73,1,42,1,17,0,0,1
74,1,75,1,19,1,1,1
75,1,50,1,21,1,1,1
76,0,42,0,2,0,0,0
77,0,43,1,33,0,1,1
78,0,64,1,29,0,0,0
79,0,45,0,37,0,2,0
80,1,63,1,12,0,2,1
81,1,75,1,36,0,0,0
82,0,28,1,33,1,1,1
83,0,39,1,21,1,2,1
84,0,69,0,6,0,2,1
85,1,35,0,37,1,0,0
86,1,83,0,33,1,0,1
87,0,74,0,8,0,0,0
88,1,42,1,21,1,1,1
89,1,35,1,25,0,0,0
90,1,56,0,33,0,1,0
91,0,47,1,9,0,0,0
92,1,32,0,9,1,0,1
93,0,41,1,9,0,0,0
94,1,69,1,8,1,1,1
95,1,26,1,2,0,0,1
96,0,64,1,17,0,1,1
97,0,32,1,30,0,2,0
98,1,45,1,30,0,0,1
99,1,23,0,6,0,0,1
100,1,26,1,26,0,0,0
101,1,59,1,11,1,0,1
102,1,74,1,22,1,2,0
103,1,79,1,36,1,1,0
104,1,63,1,27,1,0,1
105,0,30,0,33,1,0,0
106,0,33,1,29,1,0,1
107,0,31,1,22,0,1,0
108,1,29,1,19,1,1,0
