,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,0,21,0,25,1,1,0
1,0,26,0,36,1,2,0
2,1,80,1,13,1,1,1
3,0,73,0,11,0,2,1
4,0,21,0,25,1,2,0
5,0,36,1,15,0,1,0
6,1,83,1,37,0,1,1
7,0,75,0,21,0,1,1
8,0,34,0,7,0,1,0
9,0,28,0,0,0,0,1
10,1,42,0,9,0,1,1
11,1,39,1,36,0,1,1
12,0,66,0,9,1,2,0
13,0,31,0,25,0,1,0
14,0,29,0,12,0,1,1
15,0,30,0,29,1,2,1
16,0,47,0,4,0,0,1
17,0,72,1,24,0,0,1
18,1,58,1,3,0,1,1
19,1,42,0,29,0,0,1
20,0,80,0,0,0,1,1
21,0,48,0,4,0,1,0
22,0,54,0,14,0,0,1
23,0,69,1,15,0,1,0
24,0,52,1,11,0,1,1
25,0,27,1,36,0,1,0
26,1,70,1,31,0,1,1
27,0,23,0,26,0,1,1
28,0,41,0,7,0,0,0
29,0,71,0,24,0,1,1
30,0,55,1,9,0,1,0
31,0,29,0,13,0,1,0
32,0,51,0,8,0,0,1
33,0,59,0,4,0,1,1
34,1,29,0,13,1,1,1
35,0,66,0,16,0,2,0
36,0,29,0,31,0,0,1
37,0,39,1,12,0,2,1
38,0,83,0,5,0,1,1
39,0,66,0,28,0,0,1
40,0,51,1,10,0,1,1
41,0,37,1,8,0,0,1
42,1,34,1,6,0,1,0
43,0,43,0,20,0,1,1
44,0,27,1,37,0,1,1
45,0,78,1,29,1,0,0
46,1,54,0,18,0,2,1
47,0,70,0,25,0,2,1
48,1,66,0,28,0,1,0
49,0,31,0,9,0,1,0
50,0,23,0,31,0,1,1
51,0,49,0,20,0,1,1
52,0,57,0,6,0,1,0
53,1,41,0,26,0,1,1
54,0,48,1,36,0,2,0
55,1,36,1,26,0,1,0
56,0,57,0,38,1,0,1
57,0,30,0,11,0,0,0
58,0,40,0,17,0,1,0
59,0,48,1,0,1,0,1
60,0,22,0,20,0,1,1
61,0,66,0,3,0,2,0
62,0,71,1,9,0,1,0
63,0,43,0,37,0,1,1
64,1,59,1,10,0,2,0
65,0,52,0,3,0,1,0
66,0,66,0,14,0,0,1
67,1,65,0,36,0,1,1
68,0,32,1,25,1,1,1
69,1,83,0,10,0,1,1
70,0,78,0,3,0,1,1
71,1,78,1,21,0,2,0
72,0,31,1,24,0,2,1
73,0,26,0,37,0,1,1
74,1,70,0,4,1,1,0
75,0,78,1,31,0,1,0
76,0,27,1,36,0,2,1
77,0,52,0,11,0,1,0
78,0,69,0,25,0,1,1
79,0,24,0,26,0,0,0
80,0,35,0,3,0,1,1
81,0,57,1,17,0,1,0
82,0,73,0,4,0,0,0
83,0,53,0,5,1,1,1
84,0,31,1,2,0,1,1
85,0,78,1,24,0,1,1
86,1,35,1,36,0,0,1
87,0,24,0,38,0,2,1
88,1,83,0,36,0,1,1
89,0,83,0,29,0,1,1
90,1,44,0,6,1,1,1
91,0,64,1,10,0,2,1
92,0,40,0,18,0,1,0
93,0,45,0,4,0,1,0
94,1,31,1,29,0,1,1
95,0,54,1,6,0,1,0
96,1,36,0,36,0,2,0
97,1,23,1,33,0,2,1
98,0,28,0,29,0,2,1
99,1,78,1,38,0,1,0
100,1,31,0,0,0,0,0
101,0,70,1,0,0,0,0
102,0,62,0,29,1,2,1
103,1,58,1,30,0,1,0
104,1,39,0,4,0,1,1
105,0,52,0,23,0,1,0
106,0,58,0,13,0,2,1
107,0,72,0,29,0,1,1
108,0,22,0,37,0,1,0
109,1,59,0,20,0,1,0
110,0,41,0,29,0,0,0
111,0,62,0,0,1,1,0
112,0,42,0,38,0,0,1
