,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,35,0,2,0,2,0
1,1,36,0,1,0,2,0
2,1,35,0,2,0,1,0
3,1,36,0,1,0,0,0
4,1,35,0,7,0,2,0
5,1,35,0,2,0,1,0
6,1,22,0,2,0,0,0
7,1,35,0,2,0,2,0
8,1,44,0,2,0,0,0
9,1,35,0,1,0,1,1
10,1,35,0,2,0,2,0
11,1,35,1,1,0,0,0
12,1,35,0,2,0,1,0
13,1,35,0,1,0,1,0
14,1,73,0,1,0,0,0
15,1,35,1,1,0,2,0
16,1,42,0,1,0,2,0
17,1,35,1,26,0,2,0
18,1,35,0,1,0,0,0
19,1,35,0,2,0,2,0
20,1,35,0,2,0,2,0
21,1,36,0,1,0,2,0
22,1,35,0,2,0,1,0
23,1,36,0,2,0,2,0
24,1,35,0,1,0,1,1
25,1,35,0,1,0,0,0
26,1,63,0,2,0,2,0
27,1,23,1,1,0,2,0
28,1,22,0,1,0,1,0
29,1,35,0,0,0,2,0
30,1,36,1,1,0,2,0
31,1,35,0,2,0,0,0
32,1,36,0,1,0,2,0
33,1,73,0,2,1,1,0
34,1,36,0,2,0,0,1
35,1,34,0,1,0,0,0
36,1,35,0,2,0,2,0
37,1,23,0,1,0,1,0
38,1,35,0,2,0,1,0
39,1,36,0,2,0,2,1
40,1,36,0,1,0,0,1
41,1,35,0,1,0,1,0
42,1,35,0,4,0,2,0
43,1,35,0,7,0,0,1
44,1,35,0,2,0,1,0
45,1,35,0,2,0,2,1
46,1,36,0,1,0,1,0
47,1,35,0,2,0,2,0
48,1,23,0,1,0,1,1
49,1,36,0,8,0,2,1
50,1,36,0,1,0,0,0
51,1,35,1,1,0,2,0
52,1,35,0,1,0,2,0
53,1,35,0,2,0,2,0
54,1,35,0,2,0,0,0
55,1,36,0,7,0,0,0
56,1,23,0,1,0,2,0
57,1,35,0,1,0,0,0
58,1,36,0,7,0,0,1
59,1,22,0,1,1,0,0
60,1,35,0,2,0,2,0
61,1,36,1,1,0,1,0
62,1,36,0,1,0,0,0
63,1,35,0,2,0,2,0
64,1,35,0,2,0,2,0
65,1,35,0,1,0,1,0
66,1,35,0,2,0,2,1
67,1,36,0,2,0,1,0
68,1,35,1,1,0,1,0
69,1,35,0,2,0,0,0
70,1,35,0,7,0,2,1
71,1,36,0,1,0,0,0
72,1,34,0,7,0,1,0
73,1,35,0,1,0,0,0
74,1,35,0,2,0,2,0
75,1,36,0,2,0,1,0
76,1,35,0,2,0,2,0
77,1,23,0,4,0,1,0
78,1,35,0,1,0,0,0
79,1,23,0,1,0,2,0
80,1,35,0,2,0,2,0
81,1,36,0,2,0,0,0
82,1,22,0,2,0,1,1
83,1,35,0,1,0,2,0
84,1,24,0,2,1,2,0
85,1,35,0,1,0,1,0
86,1,35,0,5,0,0,0
87,1,20,0,1,0,2,0
88,1,36,0,1,0,2,0
89,1,22,0,1,0,2,1
90,1,35,0,2,0,0,0
91,1,22,1,2,0,2,0
92,1,35,0,1,0,1,0
93,1,36,0,1,0,2,0
94,1,35,0,2,0,2,0
95,1,35,0,1,0,0,0
96,1,35,0,1,0,2,0
97,1,35,0,1,0,1,0
98,1,35,0,33,0,0,1
99,1,30,0,2,1,1,0
100,1,36,0,1,0,0,0
101,1,70,0,2,0,0,0
102,1,35,0,1,0,0,0
103,1,35,0,1,0,2,0
104,1,35,0,14,0,2,0
105,1,37,0,2,0,0,0
106,1,35,0,2,0,0,0
107,1,35,0,26,0,1,0
108,1,23,0,2,0,1,0
109,1,36,0,1,0,1,1
110,1,23,0,5,0,1,0
111,1,36,0,2,0,0,0
112,1,23,0,1,0,1,0
113,1,47,0,1,0,2,0
114,1,36,0,1,0,0,0
115,1,74,0,1,0,2,0
116,1,79,0,33,0,1,1
117,1,35,0,30,0,1,0
118,1,23,0,31,0,0,0
119,1,35,0,4,0,1,0
120,1,22,0,1,0,0,0
121,1,35,0,2,0,2,0
122,1,35,0,2,0,2,0
123,1,35,0,2,0,2,1
124,1,36,0,1,0,2,0
125,1,36,0,2,0,2,0
126,1,35,0,2,0,0,0
127,1,35,0,2,0,2,0
128,1,36,0,2,0,1,0
129,1,36,0,1,0,2,0
130,1,35,0,2,0,0,0
131,1,71,0,1,0,0,0
132,1,36,0,1,0,2,0
133,1,36,0,2,0,1,1
134,1,35,0,1,0,1,0
