,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,22,0,1,1,1,1
1,1,63,0,2,0,1,1
2,1,18,0,1,0,1,1
3,1,22,1,0,1,2,1
4,1,22,0,1,1,2,0
5,1,22,0,0,0,1,1
6,1,22,0,0,0,2,1
7,1,22,0,0,0,2,1
8,1,22,0,0,1,1,1
9,1,22,0,1,1,2,1
10,1,64,0,1,0,2,1
11,1,41,0,1,1,2,0
12,1,18,0,9,1,1,1
13,1,22,0,2,1,2,1
14,1,22,0,0,1,2,1
15,1,22,1,1,0,2,0
16,1,35,0,0,0,2,1
17,1,18,1,23,1,1,0
18,1,18,0,2,1,2,1
19,1,22,0,2,1,1,0
20,1,64,1,0,0,1,1
21,0,22,0,1,0,1,1
22,1,27,0,2,1,1,0
23,1,60,1,1,1,1,1
24,1,22,0,2,1,1,1
25,1,22,1,0,1,2,1
26,1,41,0,0,1,1,0
27,1,47,1,2,1,1,1
28,1,22,0,2,1,0,1
29,1,70,0,0,0,1,1
30,1,64,0,0,1,1,0
31,1,22,0,1,1,1,0
32,1,22,0,0,1,2,1
33,1,22,0,0,1,1,0
34,1,64,0,1,1,1,1
35,1,22,0,0,0,1,0
36,1,28,0,2,1,1,0
37,1,35,0,0,0,1,0
38,1,23,0,0,1,1,1
39,1,22,0,1,1,2,0
40,1,37,1,1,1,2,1
41,1,22,0,1,1,1,0
42,1,22,0,16,1,1,1
43,1,74,0,1,1,0,1
44,1,26,0,0,1,1,1
45,1,34,0,2,0,1,0
46,1,18,0,1,1,2,0
47,1,41,0,26,0,1,0
48,1,22,0,2,1,2,1
49,1,22,0,1,1,1,1
50,1,22,0,0,1,2,1
51,1,66,1,0,1,1,0
52,1,74,0,0,1,1,0
53,1,41,0,1,1,1,1
54,1,26,0,0,0,2,1
55,1,22,0,1,1,2,1
56,1,22,0,0,1,1,0
57,1,22,0,1,1,1,0
58,1,66,0,0,1,1,1
59,1,74,0,1,0,0,1
60,1,23,0,0,0,2,1
61,1,18,1,2,1,0,0
62,1,24,0,1,1,2,1
63,1,22,0,0,1,2,1
64,1,18,0,2,1,1,1
65,0,22,0,26,1,2,1
66,1,18,0,1,1,1,1
67,1,74,0,1,1,1,1
68,1,34,1,1,1,2,1
69,1,37,0,0,1,2,1
70,1,22,0,0,1,1,0
71,1,22,0,0,1,1,1
72,1,22,1,0,1,1,1
73,1,22,1,2,0,2,1
74,1,37,0,1,1,1,0
75,1,26,1,0,1,1,1
76,1,66,0,1,1,2,0
77,1,22,0,0,1,2,0
78,1,22,0,1,1,2,0
79,1,26,0,0,1,1,1
80,1,64,1,1,1,1,0
81,1,18,1,0,1,1,0
82,1,18,1,2,0,1,1
83,1,22,1,0,1,1,0
84,1,36,0,2,0,1,1
85,1,63,0,1,0,1,1
86,1,64,0,1,1,1,1
87,1,22,0,1,0,1,1
88,1,18,0,1,1,1,1
89,1,22,1,0,1,1,1
90,1,18,0,0,1,1,0
91,1,26,0,2,1,1,0
92,1,22,0,2,1,1,1
93,1,22,0,23,1,1,1
94,1,23,0,0,0,1,0
95,1,22,0,0,1,1,1
96,1,26,0,1,1,1,1
97,1,18,0,2,0,1,1
98,1,22,0,0,1,1,1
99,1,22,0,0,1,0,1
100,1,23,0,2,1,2,0
101,1,18,0,0,0,1,1
102,1,22,0,1,1,0,1
103,1,39,0,1,1,1,1
104,1,83,0,0,1,1,1
105,1,22,1,1,0,1,1
106,1,22,0,2,1,1,1
107,1,64,0,2,1,1,1
108,1,64,0,0,0,1,1
109,1,41,0,1,1,2,1
110,1,22,0,0,1,1,1
111,1,45,0,1,1,2,1
112,1,22,0,2,1,1,1
113,1,22,0,0,1,1,1
114,1,64,1,0,1,2,1
115,1,22,0,0,1,2,1
116,1,22,0,2,1,2,1
117,1,35,0,0,1,2,1
118,1,22,0,0,1,1,0
119,1,22,0,0,0,1,1
120,1,22,0,1,1,1,0
121,1,22,0,0,1,1,1
122,1,18,1,0,1,1,1
123,1,22,0,1,1,2,1
124,1,22,0,0,1,2,1
125,1,22,0,1,1,1,1
126,1,64,0,1,1,2,1
127,1,18,0,1,0,1,1
128,1,26,0,0,1,1,0
129,1,22,1,0,1,1,1
130,1,26,0,2,0,1,1
131,1,22,0,2,1,2,1
132,1,22,1,1,1,1,1
133,1,41,0,2,1,1,0
134,1,18,0,0,0,2,1
135,1,35,0,2,0,2,1
136,1,22,1,2,0,1,1
137,1,22,0,0,1,2,1
138,1,35,0,0,1,2,1
139,1,22,0,9,1,1,1
140,1,22,0,1,0,2,1
141,1,18,0,0,1,2,1
142,1,64,0,0,1,2,1
143,1,23,1,1,0,2,1
144,1,34,0,1,1,2,1
145,1,27,0,1,1,2,1
146,1,45,0,35,1,0,0
147,1,22,0,0,1,1,1
148,1,70,0,1,1,1,1
149,1,18,0,15,1,1,1
150,1,18,0,0,1,1,0
151,1,23,1,1,1,1,1
152,1,18,0,9,1,1,0
153,1,22,0,1,1,2,1
154,1,23,0,2,1,2,0
155,1,22,0,2,1,1,1
156,1,22,0,1,0,1,1
157,1,22,0,1,1,1,1
158,1,22,0,0,1,2,1
159,1,22,0,1,0,1,0
160,1,35,0,0,1,1,0
161,1,22,0,2,1,2,1
162,1,35,1,2,1,2,0
163,1,23,0,0,0,0,1
164,0,22,0,0,0,1,1
165,1,18,0,1,1,2,1
166,1,22,0,1,1,1,0
167,1,18,1,0,1,2,1
168,1,18,0,0,1,2,0
169,1,35,0,1,1,2,0
170,1,22,0,0,1,1,1
171,1,22,0,8,0,1,0
172,1,26,0,1,1,1,1
173,1,83,0,2,0,2,1
174,1,64,1,0,1,2,0
175,1,63,0,27,0,1,0
176,1,22,0,1,1,2,1
177,1,18,0,1,1,2,1
178,1,36,0,1,1,1,0
179,1,22,0,0,1,2,1
180,1,64,0,1,1,1,1
181,1,23,0,1,1,1,0
182,1,22,0,1,1,1,0
183,1,22,0,1,1,1,1
184,1,22,0,1,0,2,1
185,1,22,0,1,1,1,1
186,1,22,0,0,1,1,1
187,1,22,0,2,0,1,1
188,1,66,0,1,1,1,1
189,1,35,0,1,1,1,0
190,1,22,1,0,1,1,0
191,1,22,0,0,1,1,1
192,1,64,0,1,1,2,1
193,1,66,1,0,1,2,1
194,1,22,0,0,1,2,1
195,1,21,0,0,1,1,0
196,1,18,0,2,1,2,1
197,1,37,0,2,1,1,0
198,1,22,0,2,0,1,1
199,1,39,0,2,1,2,1
200,1,22,1,0,1,1,0
201,1,22,1,0,1,1,1
202,1,22,1,1,1,1,1
203,1,35,0,0,1,2,1
204,1,22,0,1,0,1,0
205,1,64,0,2,1,1,1
206,1,22,0,1,1,2,1
207,1,22,0,0,1,2,0
208,1,18,0,2,1,1,1
209,1,23,0,1,1,1,0
210,1,22,0,1,1,2,0
