,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
4441,1,22,0,1,1,2,0
2081,1,41,0,4,0,2,0
3783,1,57,1,1,0,1,0
2109,1,45,1,9,0,0,1
1424,1,30,0,20,0,0,1
2229,1,35,0,13,0,0,0
2383,0,54,0,7,0,2,0
2372,0,53,1,0,1,1,0
5847,1,20,0,2,0,1,1
1764,1,21,0,0,1,1,0
392,0,52,1,0,1,1,0
769,1,27,0,4,0,0,1
7100,1,25,0,3,0,2,1
1341,1,33,0,1,0,1,1
5137,1,30,0,4,1,1,1
3657,1,43,0,4,0,1,0
6508,0,50,1,0,1,1,1
4206,0,22,0,2,0,0,0
5546,1,30,0,4,0,1,0
7026,1,57,0,28,0,0,1
1497,1,38,1,0,0,1,0
3753,1,27,1,13,0,2,1
6503,1,23,1,4,1,1,1
5627,1,45,0,1,1,1,0
1811,1,23,1,2,0,2,1
1645,1,22,0,13,0,0,1
5255,1,40,1,10,0,2,1
1219,1,23,0,0,1,0,0
3550,1,36,0,19,1,0,1
5123,0,56,0,2,0,1,0
2947,1,29,0,5,0,0,0
1089,0,30,1,5,0,0,1
4878,1,26,1,2,0,2,0
1990,1,42,0,2,0,2,0
2075,1,20,1,0,0,1,1
5252,1,23,1,0,1,1,0
2062,1,32,1,0,0,1,0
1937,1,27,0,1,0,1,0
4667,1,38,0,7,0,1,1
516,0,34,0,6,0,1,0
2147,1,43,0,18,0,1,1
5808,1,23,0,1,0,2,0
2953,1,34,0,8,0,0,0
4176,1,41,0,16,0,2,1
4275,1,28,1,0,0,1,0
4247,0,52,1,0,0,1,0
2620,1,26,0,12,1,0,1
3998,1,33,0,17,0,0,1
5216,1,23,0,3,0,2,1
6435,0,33,0,2,0,1,1
4475,1,27,1,2,0,1,0
5504,1,27,1,4,0,0,0
6403,1,63,1,1,0,1,0
4086,0,44,1,0,1,1,1
2361,1,35,0,10,1,0,1
3918,1,47,1,2,0,1,0
2622,1,29,0,0,1,2,0
1320,1,26,0,0,0,1,1
5942,1,50,1,5,0,2,0
972,0,30,0,3,0,1,0
6462,1,54,0,4,0,1,1
5231,1,21,0,0,1,0,0
2014,1,42,1,1,1,1,0
3143,1,56,1,7,0,2,0
162,1,30,0,1,0,2,0
3987,1,53,0,26,0,2,1
3606,1,30,0,1,1,1,0
6395,1,41,0,6,0,2,1
1405,1,22,0,3,0,0,1
4622,1,66,0,5,1,1,1
1059,0,24,0,1,0,1,0
3872,1,40,0,13,0,0,0
2872,1,24,0,0,1,2,0
3399,0,36,0,5,0,2,1
6515,1,27,0,14,0,0,1
971,1,30,0,4,1,1,1
1328,1,26,0,6,1,2,1
4191,1,57,1,1,1,1,0
2751,1,40,0,7,0,0,0
5306,1,35,1,4,0,1,1
4771,1,28,0,1,1,1,1
1502,1,55,1,13,0,2,1
1178,1,25,0,4,0,2,1
3983,0,28,1,0,0,1,0
2067,1,26,0,1,0,0,0
5419,1,26,0,6,0,2,1
421,1,28,0,8,0,2,1
5485,0,21,0,0,0,2,0
3043,1,41,1,1,0,1,0
5053,1,46,1,14,0,1,1
1771,0,25,0,1,1,2,0
5547,1,31,1,3,1,1,1
1460,1,43,0,4,0,1,1
5588,0,46,1,1,1,1,1
4600,1,22,0,2,0,2,0
6829,1,49,1,0,0,1,0
6746,1,21,0,0,0,0,0
63,1,22,0,1,0,1,1
3851,1,25,0,0,0,1,0
4658,1,23,0,3,1,2,0
193,1,39,1,0,0,1,1
6442,1,29,0,3,0,0,1
4484,1,22,0,0,1,2,1
1893,1,33,0,2,1,1,1
