,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,65,0,0,1,1,0
1,0,78,0,1,1,1,1
2,1,78,0,28,0,1,0
3,1,24,0,3,0,0,1
4,1,18,0,0,0,2,0
5,1,39,0,4,0,0,1
6,0,46,0,18,0,2,0
7,0,65,0,1,0,0,1
8,1,42,0,13,0,2,1
9,0,30,1,15,0,0,1
10,1,36,0,33,0,0,0
11,1,83,0,0,0,0,1
12,1,64,0,1,0,2,0
13,1,52,0,0,1,2,0
14,1,73,0,11,0,0,0
15,1,24,0,0,1,1,0
16,1,50,0,0,0,1,1
17,1,76,0,12,1,1,1
18,1,70,0,0,1,1,0
19,1,49,1,38,0,0,1
20,1,68,0,18,1,1,0
21,1,25,0,11,0,0,0
22,1,35,0,0,1,1,1
23,1,45,1,14,0,0,0
24,1,34,0,0,1,1,0
25,1,67,1,17,0,0,0
26,1,24,0,0,1,1,1
27,1,66,0,37,0,2,0
28,0,24,0,1,0,0,1
29,0,62,0,1,0,1,1
30,1,32,0,28,0,0,1
31,0,63,0,0,1,1,1
32,0,38,0,1,0,1,0
33,1,19,0,0,0,2,1
34,0,57,0,21,1,1,1
35,0,80,0,24,1,1,0
36,1,26,0,0,0,1,0
37,1,65,0,1,1,1,0
38,1,44,0,1,0,1,0
39,0,73,0,0,1,1,1
40,1,70,0,5,1,0,1
41,1,44,0,24,1,0,1
42,0,80,0,1,0,2,1
43,1,68,0,22,1,1,0
44,1,28,0,7,0,0,1
45,1,70,1,26,1,0,0
46,1,44,0,10,1,0,0
47,1,54,0,0,1,1,0
48,1,52,0,4,0,2,0
49,1,64,0,6,0,2,0
50,1,20,0,0,1,1,1
51,0,51,0,5,1,1,0
52,0,45,0,29,0,0,1
53,1,36,0,0,0,1,0
54,1,72,0,18,0,0,1
55,1,62,0,10,0,0,0
56,1,38,0,31,1,1,1
57,1,79,1,16,0,0,0
58,1,20,0,26,0,2,0
59,1,23,0,0,0,2,1
60,1,64,0,13,1,0,0
61,0,44,0,16,1,1,0
62,0,41,0,10,0,0,0
63,1,18,0,1,0,1,0
64,1,20,0,10,0,1,0
65,1,20,0,20,0,1,0
66,0,56,0,1,1,1,0
67,1,31,0,1,1,1,1
68,1,56,0,1,1,2,0
69,0,53,0,4,0,0,0
70,1,55,0,2,0,1,1
71,1,37,0,18,0,2,1
72,1,74,0,21,0,1,0
73,1,64,0,0,1,1,1
74,1,78,0,16,1,0,0
75,1,19,0,24,0,2,1
76,1,22,1,25,0,0,1
77,1,70,0,1,1,2,0
78,1,70,0,0,0,1,0
79,1,67,0,30,1,1,1
80,0,68,0,0,0,1,0
81,1,83,0,1,0,1,0
82,1,23,0,19,1,2,0
83,1,80,0,0,1,1,0
84,1,44,1,0,0,0,1
85,1,40,1,30,0,0,1
86,1,70,0,28,0,1,1
87,1,65,0,15,0,2,1
88,1,68,0,20,1,2,0
89,1,36,0,0,0,1,0
90,1,39,0,1,1,1,0
91,1,67,0,7,0,1,0
92,1,41,0,22,0,2,1
93,1,24,0,0,0,1,0
94,1,77,0,8,1,1,0
95,1,73,0,18,0,2,1
96,1,36,0,27,1,1,0
97,1,35,0,14,0,0,1
98,1,45,0,0,1,2,1
99,1,49,1,11,0,0,0
100,1,64,0,13,1,1,0
101,1,61,0,1,1,2,1
102,1,59,0,0,1,1,0
103,1,40,0,4,1,1,0
104,1,73,0,1,1,1,0
105,1,33,0,0,1,1,0
106,0,54,0,25,1,1,0
107,1,27,0,1,1,1,1
108,1,18,0,1,0,1,0
109,0,36,0,0,1,1,0
110,1,45,0,0,0,1,0
111,1,83,0,0,1,1,0
112,1,22,0,1,0,2,0
113,1,70,0,1,1,1,0
114,0,62,0,27,0,1,0
115,1,51,0,11,0,1,0
116,1,60,0,30,0,1,1
117,1,25,0,0,0,1,1
118,1,55,0,1,1,2,0
119,0,46,1,30,0,0,0
120,1,52,0,1,0,1,0
121,1,25,0,0,0,1,0
122,1,60,0,18,0,1,0
123,0,74,0,0,0,1,1
124,1,79,0,26,1,0,1
125,1,73,0,22,0,0,1
126,1,28,0,0,0,1,1
127,1,55,0,17,0,2,1
128,1,49,0,5,0,1,0
129,1,58,0,1,0,2,0
130,0,55,0,16,0,1,1
131,1,35,0,12,0,2,0
132,1,70,0,1,0,2,1
133,1,72,0,36,0,0,1
134,1,45,0,0,1,1,1
135,1,59,0,0,0,1,0
136,1,48,0,0,0,1,0
137,1,52,0,0,0,1,0
138,1,52,0,14,1,1,0
139,1,80,0,8,1,0,1
140,1,54,0,0,1,1,0
141,0,48,0,0,0,1,0
142,1,54,0,19,0,1,0
143,0,28,0,2,0,1,0
144,0,80,0,0,1,1,0
145,1,70,0,20,1,1,1
146,1,68,0,24,1,1,0
147,1,23,0,27,0,0,1
148,1,76,0,16,0,0,0
149,1,68,0,0,1,1,0
150,1,24,0,0,1,1,1
151,1,69,0,15,0,2,0
152,1,18,0,10,0,1,1
153,0,70,0,21,0,1,0
154,1,65,0,17,1,1,0
155,1,23,0,12,0,1,0
156,1,45,0,0,0,1,0
157,1,43,0,1,0,1,0
158,0,78,0,25,1,0,1
159,1,78,0,0,0,1,0
160,1,28,0,0,0,1,0
161,1,42,0,1,1,2,0
162,1,49,0,9,0,1,0
163,1,53,0,28,0,2,0
164,0,31,0,29,1,1,0
165,1,47,0,20,0,0,1
166,1,23,0,17,1,0,1
167,1,58,0,0,0,1,0
168,1,61,0,7,1,1,0
169,1,83,0,36,1,2,1
170,1,37,0,15,0,1,1
171,1,58,0,1,1,1,0
172,1,59,0,0,0,1,0
173,1,70,0,21,0,1,0
174,1,59,0,29,0,1,0
175,1,63,0,8,0,1,0
176,1,32,0,1,1,1,0
177,1,36,0,38,0,2,0
178,1,62,0,1,1,1,0
179,1,51,0,0,0,2,1
180,1,33,0,31,1,1,1
181,1,79,0,1,0,0,0
182,0,69,0,6,0,1,0
183,1,71,0,1,0,1,0
184,1,46,0,0,0,2,1
185,0,21,0,17,0,1,0
186,1,32,0,28,0,0,1
187,1,57,0,3,0,2,0
188,1,24,0,5,0,1,1
189,1,34,0,1,1,1,0
190,1,43,0,1,1,2,1
191,1,34,0,37,0,1,1
192,1,41,0,21,1,1,0
193,1,46,0,1,0,2,1
194,1,74,1,12,0,0,1
195,1,64,0,1,1,1,0
196,1,54,0,19,1,0,1
197,0,61,1,5,0,0,1
