,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,27,0,2,0,1,0
1,1,38,0,0,0,2,1
2,1,22,0,2,0,0,1
3,1,43,0,0,1,1,0
4,1,26,0,5,0,0,1
5,1,53,0,1,0,1,0
6,0,26,0,6,1,2,1
7,0,21,0,9,0,0,1
8,1,44,0,4,1,1,0
9,1,23,0,0,0,0,0
10,1,20,0,0,1,1,0
11,1,42,0,7,1,1,0
12,0,26,0,5,0,0,1
13,0,20,0,0,1,0,0
14,1,37,0,20,0,2,0
15,1,43,0,8,0,1,0
16,1,35,0,1,1,1,0
17,1,44,0,9,0,0,0
18,1,22,1,1,1,1,1
19,1,22,0,1,1,2,0
20,1,28,0,0,0,1,1
21,1,24,0,0,1,0,0
22,1,24,0,0,1,1,1
23,1,29,0,33,0,0,1
24,1,21,0,0,1,1,1
25,1,54,0,35,1,2,0
26,1,36,0,0,1,1,1
27,1,45,0,1,1,1,1
28,1,31,0,0,0,1,0
29,1,29,0,0,0,1,0
30,1,60,0,8,0,2,0
31,1,29,0,1,0,1,1
32,1,25,0,31,0,2,0
33,1,31,0,9,0,1,1
34,1,75,0,3,0,1,1
35,1,36,0,5,0,2,1
36,1,20,0,5,1,0,0
37,1,29,0,0,0,1,1
38,1,28,0,9,1,2,1
39,1,33,0,10,0,2,1
40,1,39,0,3,0,1,0
41,0,31,0,0,1,1,1
42,1,30,0,5,0,0,0
43,0,22,0,0,0,1,0
44,1,25,0,0,0,1,0
45,0,28,0,3,0,1,0
46,0,25,0,2,1,2,1
47,1,45,0,1,1,0,1
48,1,74,0,7,0,0,1
49,1,25,0,0,0,2,1
50,1,76,0,1,0,1,0
51,0,50,0,0,1,1,0
52,1,24,0,0,0,1,0
53,1,20,0,0,1,1,0
54,1,29,0,1,1,2,0
55,1,21,0,0,0,0,1
56,1,22,0,3,0,1,0
57,1,23,0,1,0,1,0
58,1,22,0,1,1,2,1
59,1,45,0,0,1,2,1
60,1,43,0,4,1,1,0
61,0,30,0,4,1,2,1
62,1,30,0,13,0,0,1
63,1,26,0,0,0,2,1
64,1,51,0,37,1,2,1
65,1,26,0,6,0,2,1
66,1,22,0,0,0,1,1
67,0,60,0,21,0,0,0
68,1,28,0,1,0,1,1
69,1,29,0,1,0,1,1
70,1,34,0,1,0,0,1
71,1,26,0,6,0,2,1
72,1,24,0,10,0,0,0
73,1,32,0,1,0,1,0
74,1,55,0,0,0,1,0
75,1,28,0,2,0,0,0
76,0,30,0,0,0,1,0
77,1,38,0,0,1,1,1
78,1,38,0,2,0,1,0
79,1,37,0,4,0,2,0
80,1,21,0,0,0,1,0
81,1,31,0,0,1,1,0
82,1,61,0,2,0,1,0
83,1,30,0,1,0,1,0
84,0,21,0,1,1,1,0
85,1,31,0,21,1,0,1
86,1,29,0,0,0,2,0
87,1,37,0,1,0,2,1
88,1,32,0,4,0,2,1
89,0,52,0,2,1,1,0
90,0,35,0,0,0,1,0
91,0,24,0,1,1,1,1
92,1,46,0,0,0,1,1
93,1,29,0,1,0,1,0
94,1,24,0,0,0,1,0
95,1,28,0,3,1,1,0
96,1,25,0,14,1,0,1
97,1,26,0,6,0,2,1
98,1,56,0,2,0,2,0
99,1,57,0,4,0,2,1
100,1,35,0,1,1,0,0
101,1,24,0,1,0,1,0
102,1,78,0,0,0,1,1
103,1,37,0,0,1,2,0
104,0,31,0,3,1,2,1
105,1,45,0,0,1,2,1
106,1,39,0,3,0,1,0
107,1,26,0,0,1,1,0
108,1,34,0,1,1,0,1
109,0,20,0,2,0,2,1
110,1,51,0,1,1,1,0
111,1,45,0,0,1,1,0
112,1,26,0,3,0,2,0
113,1,24,0,2,1,0,1
114,1,48,0,8,0,2,0
115,1,20,0,0,0,1,0
116,1,46,0,0,0,1,0
117,1,21,0,0,1,1,0
118,1,55,0,0,0,1,0
119,0,31,0,1,0,1,0
120,1,48,0,0,1,1,0
121,0,37,0,0,1,1,0
122,1,38,0,22,1,0,1
123,0,22,0,0,0,1,0
124,1,29,0,1,0,2,0
125,0,45,0,11,0,2,0
126,1,47,0,1,0,1,0
127,1,25,0,10,0,2,1
128,1,25,0,2,0,2,1
129,1,22,0,0,1,1,1
130,1,75,0,0,1,1,1
131,1,25,0,0,1,1,0
132,0,21,0,0,1,1,0
133,1,37,0,0,1,1,1
134,1,67,0,2,0,1,0
135,1,30,0,0,0,2,1
136,1,53,0,1,0,1,0
137,0,33,0,10,1,0,1
138,1,59,0,0,0,1,0
139,1,49,0,6,0,1,1
140,1,24,0,0,1,1,0
141,1,39,0,27,1,0,0
142,1,24,0,3,0,1,0
143,1,44,0,4,0,1,0
144,0,51,0,0,0,2,1
145,1,38,0,7,0,0,1
146,0,51,0,15,0,1,0
147,1,28,0,1,0,1,0
148,1,25,0,27,0,2,0
149,1,37,0,0,0,1,1
150,1,27,0,6,0,1,1
151,1,22,0,3,1,1,0
152,1,30,0,0,0,1,1
153,1,27,0,0,1,1,0
154,1,37,0,0,0,2,0
155,1,25,0,1,0,2,0
156,1,28,0,4,0,1,0
157,1,25,0,0,0,1,0
158,1,20,0,0,0,1,1
159,0,58,0,2,0,1,0
