,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
6714,1,30,0,10,0,2,1
3808,1,40,0,0,1,0,1
7163,1,41,0,0,1,1,0
1181,1,30,0,0,1,1,0
1750,1,49,0,1,1,1,0
5235,1,35,0,0,0,1,0
4003,1,27,0,7,0,2,0
1785,1,36,0,6,0,2,0
4862,1,50,0,1,0,1,0
6930,1,28,0,0,1,1,0
1280,1,60,0,1,0,1,0
5815,0,29,0,0,0,1,1
4347,1,30,0,3,0,1,0
5264,1,21,0,2,1,0,1
4627,1,31,0,4,1,0,1
6080,0,25,0,0,1,1,0
1493,1,37,0,12,1,0,1
2716,1,21,0,0,0,0,0
5082,1,26,0,0,0,1,1
3670,1,33,0,8,0,2,0
5113,1,28,0,2,0,2,0
5593,1,25,0,10,0,0,1
7100,1,25,0,3,0,2,1
2041,0,40,0,7,1,1,0
7111,1,56,0,31,0,2,1
5684,1,21,0,2,0,2,1
6264,1,30,0,1,0,1,0
6773,1,67,0,0,1,1,0
4669,1,26,0,3,0,0,1
770,1,26,0,2,1,1,0
6393,1,31,0,1,1,1,0
8,0,39,0,0,1,1,0
5870,1,32,0,1,1,2,0
2444,1,38,0,1,1,1,0
3200,0,40,0,0,0,1,0
2239,0,27,0,0,0,1,0
4415,0,51,0,0,1,1,0
4453,1,23,0,3,0,2,0
6261,1,27,0,1,0,2,1
4221,1,28,0,5,0,2,0
23,0,21,0,0,0,1,0
183,1,22,0,1,0,2,1
6970,1,27,0,5,1,0,1
4600,1,22,0,2,0,2,0
3609,1,54,0,0,1,1,0
4284,1,21,0,1,0,1,1
1913,1,43,0,0,1,1,0
966,1,35,0,1,1,1,0
2154,1,44,0,0,1,1,0
6299,1,27,0,6,0,2,0
5695,1,33,0,12,0,0,1
5872,0,39,0,3,1,2,0
2597,1,30,0,7,0,1,0
6469,1,29,0,1,1,1,1
332,0,36,0,0,0,2,0
6929,1,31,0,0,0,1,0
1774,0,28,0,2,1,1,0
2358,1,34,0,1,0,1,0
7173,1,51,0,7,0,1,0
6580,1,48,0,7,1,1,1
816,1,28,0,14,0,2,1
2028,0,23,0,0,1,1,0
5875,1,56,0,2,1,0,0
6889,1,22,0,1,0,1,1
3573,0,32,0,4,0,1,0
481,1,34,0,4,0,1,1
6757,1,49,0,2,0,1,1
4782,1,34,0,19,1,0,0
7004,0,29,0,0,0,1,0
1079,1,40,0,0,1,1,0
5912,1,30,0,4,1,2,1
1780,0,60,0,0,0,1,1
976,1,29,0,6,0,0,1
2679,1,30,0,10,0,0,0
4577,1,22,0,0,0,1,0
4973,1,31,0,0,0,1,0
4931,1,20,0,0,0,2,1
1340,1,31,0,3,0,2,1
1514,0,22,0,0,0,1,1
7158,1,21,0,1,0,2,0
4336,1,55,0,0,0,1,0
3081,1,21,0,1,0,1,1
4144,1,23,0,2,0,2,0
2415,0,52,0,8,0,0,0
5310,1,34,0,5,1,1,1
6177,1,26,0,1,0,2,0
5054,1,45,0,2,1,1,0
1760,1,30,0,5,0,0,1
4371,0,24,0,3,0,0,0
56,1,30,0,0,1,2,0
1585,1,30,0,9,0,0,1
3694,1,23,0,6,0,2,1
6748,1,55,0,1,0,2,0
448,1,38,0,5,0,1,0
498,0,22,0,2,0,2,1
1167,1,28,0,9,0,0,1
1316,1,32,0,0,0,2,1
408,1,60,0,4,0,1,0
1993,1,37,0,12,0,1,0
1796,1,25,0,4,0,2,1
1462,0,30,0,7,1,2,0
4535,1,31,0,0,1,1,0
5277,1,33,0,2,0,1,0
4949,1,37,0,2,0,1,1
7,1,43,0,3,0,1,0
5077,1,34,0,8,0,0,1
2123,1,30,0,0,1,1,0
1936,1,69,0,0,1,1,0
2203,1,26,0,1,0,2,0
2941,0,20,0,0,0,1,0
1265,1,26,0,0,1,2,1
6344,1,23,0,5,0,2,1
1828,1,37,0,3,1,1,0
154,1,63,0,1,0,1,0
4758,1,26,0,5,1,2,0
1471,1,64,0,0,0,1,0
