,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,72,0,0,0,2,0
1,1,41,1,0,0,1,0
2,1,49,1,0,1,2,0
3,1,61,0,0,0,1,0
4,1,31,0,36,1,2,1
5,0,48,1,1,0,2,0
6,1,21,0,0,0,2,0
7,1,49,1,2,0,1,1
8,1,61,0,3,0,0,1
9,0,47,0,0,1,1,1
10,1,42,0,4,0,1,0
11,1,77,0,3,0,1,0
12,0,69,0,1,1,2,0
13,0,47,0,0,1,1,1
14,1,65,0,1,0,2,0
15,1,54,0,20,0,0,1
16,1,64,1,0,0,2,0
17,1,74,1,26,1,1,0
18,1,31,1,1,0,2,0
19,0,31,0,0,1,1,0
20,1,18,1,13,0,1,0
21,1,75,1,5,1,1,1
22,1,53,1,6,0,2,0
23,1,69,0,23,0,0,1
24,1,69,1,13,1,1,0
25,1,43,0,22,0,1,1
26,1,25,1,20,0,2,0
27,1,45,1,1,1,1,0
28,1,64,0,14,0,1,0
29,1,31,1,19,0,1,0
30,1,31,0,0,0,1,0
31,1,53,0,1,0,0,1
32,1,58,0,0,0,2,0
33,1,37,0,15,1,1,1
34,1,19,0,12,0,0,1
35,1,46,0,0,0,2,0
36,1,32,0,0,0,2,0
37,1,50,0,1,0,1,0
38,1,49,1,1,0,1,1
39,0,52,0,0,1,1,1
40,1,41,1,0,0,1,0
41,1,26,0,27,0,2,0
42,0,57,0,0,0,0,1
43,1,59,0,0,0,1,1
44,1,26,0,24,0,1,0
45,1,72,0,3,0,1,1
46,1,47,0,4,0,2,0
47,1,20,0,1,0,1,0
48,1,23,1,19,0,1,0
49,1,52,1,27,0,2,1
50,1,33,1,20,1,1,0
51,0,22,1,0,1,1,0
52,1,29,0,23,0,2,0
53,1,28,1,0,0,1,1
54,0,55,0,0,0,1,0
55,1,28,0,0,1,1,0
56,1,72,0,5,0,1,0
57,1,20,0,25,0,1,1
58,0,53,1,0,0,2,1
59,1,66,1,0,0,2,1
60,1,37,1,1,0,1,1
61,1,75,0,0,1,0,1
62,1,32,1,1,0,1,0
63,1,77,0,11,1,0,0
64,0,28,0,13,0,1,1
65,1,79,0,0,0,1,0
66,1,41,1,1,1,2,0
67,0,79,0,1,1,1,0
68,0,35,0,31,0,1,0
69,1,79,1,1,0,1,0
70,1,40,1,0,1,1,0
71,1,65,1,7,0,1,0
72,1,37,1,0,0,1,0
73,1,38,0,15,0,2,0
74,0,72,0,0,1,1,0
75,1,52,0,0,1,1,0
76,1,79,0,1,0,0,1
77,0,73,0,20,1,1,0
78,1,23,0,23,0,2,1
79,1,34,0,0,1,1,0
80,1,36,1,38,0,1,0
81,1,77,0,1,1,0,0
82,1,45,0,1,0,1,0
83,1,41,0,37,0,1,1
84,1,25,0,1,1,2,0
85,1,31,1,1,1,2,0
86,1,69,1,1,0,2,0
87,1,77,0,0,0,0,1
88,1,59,1,22,1,1,0
89,1,48,0,1,1,2,1
90,0,53,0,29,1,2,0
91,1,38,1,0,0,2,0
92,1,32,0,1,0,0,1
93,1,19,1,26,0,1,1
94,1,40,0,19,0,0,1
95,1,23,1,24,0,1,0
96,1,77,1,2,1,1,1
97,1,67,0,36,0,2,0
98,0,55,0,0,0,2,0
99,1,32,1,33,1,2,1
100,1,72,1,14,0,1,1
101,0,51,0,16,0,1,0
102,1,70,1,8,1,1,1
103,1,54,0,17,1,1,0
104,1,49,0,33,0,0,1
105,0,30,1,1,1,1,1
106,1,58,1,1,0,1,0
107,1,69,0,28,0,0,0
108,0,45,0,14,0,0,1
109,0,26,0,0,0,1,0
110,1,20,0,25,0,0,0
111,1,48,0,0,0,1,0
112,1,28,0,31,0,1,0
113,1,64,1,1,0,1,1
114,1,58,1,0,0,1,1
115,1,19,1,23,1,1,0
116,1,68,0,0,1,1,0
117,1,30,0,11,1,2,0
118,0,19,1,1,1,2,0
119,1,27,0,0,0,1,0
120,0,65,1,0,0,1,0
121,1,51,1,0,1,2,0
122,1,36,0,23,0,1,0
123,1,18,0,1,0,1,0
124,1,72,0,3,1,1,0
125,1,31,0,0,0,0,1
126,1,19,1,36,0,2,1
127,1,68,0,22,1,1,1
128,0,79,1,0,0,1,0
129,1,48,0,1,1,0,1
130,1,54,0,0,0,1,0
131,1,52,1,29,0,1,0
132,1,38,0,0,1,1,0
133,1,23,0,0,0,1,1
134,1,31,0,20,0,2,0
135,1,43,1,0,0,2,0
136,1,35,1,30,1,1,1
137,0,32,1,0,1,2,1
138,1,32,1,36,0,1,0
139,1,44,1,0,0,2,1
140,1,51,0,0,0,2,0
141,1,29,0,31,0,1,1
142,1,24,1,0,0,2,0
143,0,58,0,0,0,2,0
144,1,28,0,10,0,2,0
145,1,49,0,13,0,2,1
146,1,71,0,7,0,2,0
147,1,45,0,0,0,1,0
148,0,33,0,0,1,2,1
149,1,48,0,21,0,0,1
150,0,26,1,1,0,1,1
151,1,79,0,0,0,0,1
152,1,42,0,18,0,2,1
153,0,60,1,0,1,1,1
154,1,43,0,0,0,2,0
155,1,36,1,29,1,1,1
156,1,65,1,0,0,1,1
157,1,74,1,1,0,1,1
158,1,68,1,0,1,2,0
159,1,27,1,20,0,1,0
160,1,72,1,33,0,2,1
161,1,20,0,19,0,1,0
162,1,50,1,26,0,1,0
163,1,73,0,0,0,0,1
164,1,79,1,31,0,1,0
165,1,39,0,0,1,1,0
166,1,24,0,29,0,1,1
167,1,37,0,3,0,0,1
168,1,44,0,21,0,1,1
169,1,34,1,27,1,1,0
170,1,35,1,9,0,1,1
171,1,48,1,0,1,1,1
172,1,70,1,1,0,1,1
173,1,55,0,18,1,1,0
174,1,60,0,0,1,2,1
175,0,72,0,1,0,1,0
176,1,57,0,26,0,2,0
