,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,30,0,0,1,1,0
1,1,79,0,38,0,2,0
2,1,45,0,13,0,0,1
3,1,51,0,1,0,1,1
4,0,58,1,31,1,1,0
5,1,55,1,35,0,2,1
6,1,50,0,19,0,2,1
7,1,75,0,2,0,0,0
8,1,25,0,1,0,0,1
9,1,41,0,0,1,1,1
10,1,80,1,0,0,1,0
11,1,30,0,17,0,2,0
12,1,58,1,0,1,1,0
13,1,64,0,23,0,2,1
14,1,75,0,1,1,1,0
15,1,48,0,0,0,1,0
16,1,41,1,0,0,1,1
17,0,47,0,29,0,0,1
18,1,42,0,21,0,2,1
19,0,24,1,0,1,1,1
20,0,51,1,25,0,1,1
21,1,71,1,0,0,1,0
22,1,33,0,1,0,2,0
23,1,50,1,1,0,2,0
24,1,59,0,33,1,2,0
25,1,38,0,5,0,1,0
26,1,21,0,18,0,2,1
27,1,35,1,0,0,1,0
28,1,43,0,0,0,2,1
29,1,73,0,23,0,2,1
30,0,30,1,1,0,1,0
31,1,40,0,10,1,2,0
32,0,49,1,2,1,2,1
33,1,39,1,29,1,2,1
34,1,47,1,1,0,2,1
35,0,73,1,0,1,1,0
36,1,79,0,4,1,2,0
37,1,37,0,7,0,2,1
38,1,19,1,2,1,1,0
39,1,45,0,10,1,0,1
40,1,65,0,2,1,2,0
41,1,31,0,1,0,0,1
42,1,44,0,1,1,1,1
43,0,36,1,2,0,0,0
44,1,23,0,1,0,2,1
45,1,41,0,2,0,0,1
46,1,48,1,2,1,1,1
47,1,66,0,1,0,0,1
48,1,25,1,31,0,0,1
49,1,65,1,1,0,1,0
50,1,71,0,13,0,2,1
51,1,65,0,5,1,2,1
52,0,33,1,35,0,0,0
53,1,50,1,0,1,1,0
54,1,60,0,11,0,0,1
55,1,46,1,1,1,1,0
56,1,54,0,10,0,0,0
57,1,58,0,0,0,1,0
58,1,36,1,0,0,2,0
59,0,63,1,1,0,2,0
60,1,24,0,38,0,1,1
61,0,60,0,17,1,2,1
62,1,43,1,22,0,2,0
63,0,74,0,0,0,1,0
64,1,64,1,0,1,1,0
65,1,71,1,29,0,1,0
66,1,77,0,1,0,1,1
67,1,22,0,1,1,1,0
68,1,51,1,0,1,1,1
69,1,35,1,26,0,1,0
70,1,28,0,1,0,2,0
71,1,52,0,1,0,1,0
72,1,22,0,0,1,1,0
73,1,24,1,1,0,1,0
74,1,38,1,1,1,1,1
75,1,35,0,1,0,2,1
76,1,73,1,2,1,1,1
77,1,21,0,1,0,0,0
78,1,41,0,20,0,0,1
79,1,48,0,0,0,1,1
80,1,19,0,0,0,2,1
81,1,40,0,2,1,0,1
82,1,37,0,1,1,1,1
83,1,33,0,31,1,1,0
84,1,38,0,0,0,1,0
85,1,45,0,1,0,1,0
86,1,29,0,0,0,0,1
87,1,28,1,5,0,0,1
88,1,19,0,1,0,2,0
89,1,77,0,1,0,1,0
90,1,56,0,0,0,0,0
91,0,63,0,30,1,1,0
92,0,36,1,20,1,1,0
93,1,65,1,0,1,1,1
94,1,30,0,0,1,1,0
95,1,36,1,0,0,2,1
96,1,18,1,11,0,1,0
97,0,68,0,31,0,1,0
98,1,25,0,0,1,1,0
99,1,67,0,18,0,2,0
100,1,73,1,18,1,1,0
101,0,23,0,2,0,2,0
102,1,71,0,0,0,1,1
103,1,28,0,1,0,1,0
104,1,70,1,0,1,1,0
105,1,23,1,1,1,1,0
106,1,41,0,27,0,1,0
107,0,68,0,1,0,2,1
108,1,32,1,33,0,1,1
109,1,29,0,0,1,1,0
110,0,56,0,22,0,0,0
111,0,41,1,0,0,1,1
112,1,43,1,0,0,0,1
113,1,49,1,23,0,2,0
114,0,23,1,16,1,1,0
115,1,66,0,1,0,2,1
116,1,55,1,2,0,2,0
117,1,66,1,1,1,1,1
118,1,66,1,0,1,1,0
119,1,21,1,2,1,2,1
120,1,19,1,2,0,1,1
121,0,58,1,1,1,1,0
122,0,57,0,1,1,2,0
123,0,67,0,5,0,1,0
124,1,59,1,0,1,1,0
125,1,19,1,0,1,1,0
126,1,50,1,0,1,1,0
127,1,70,0,31,0,2,1
128,0,59,1,30,1,1,0
129,1,24,1,2,0,2,1
130,0,80,0,29,0,0,0
131,0,62,1,1,1,1,0
132,0,25,1,2,1,2,1
133,1,75,0,14,0,1,0
134,1,46,0,12,0,2,0
135,1,24,1,16,0,0,1
136,1,45,0,0,1,2,1
137,0,33,0,0,1,2,0
138,1,80,0,1,0,1,0
139,1,28,0,0,0,0,1
140,1,28,0,2,0,1,0
141,1,69,0,1,1,1,1
142,0,33,0,31,1,0,1
143,1,65,1,1,1,1,0
144,1,47,1,7,0,2,1
145,1,26,0,7,0,2,1
146,1,21,1,9,0,2,1
147,1,50,0,8,1,1,0
148,1,67,1,0,0,2,1
149,1,31,1,0,0,1,1
150,1,40,0,2,0,2,0
151,1,33,0,20,1,1,0
152,0,27,0,1,0,1,1
153,1,44,0,0,0,2,0
154,0,37,0,1,0,1,1
155,1,40,0,0,1,0,1
156,0,45,0,0,1,1,0
157,1,28,0,24,0,2,1
158,0,38,0,0,0,2,1
159,1,69,0,1,1,2,1
160,1,59,1,1,0,1,0
161,0,35,0,30,0,0,1
162,1,45,1,0,0,1,0
163,1,77,0,11,0,0,1
164,1,57,1,0,1,1,0
165,1,45,0,2,1,1,0
166,1,42,0,2,1,2,1
167,1,77,0,9,0,0,1
168,0,50,0,35,1,2,1
169,1,45,0,0,0,2,0
170,1,72,1,1,0,1,0
171,0,50,1,20,0,0,1
172,1,25,0,14,1,0,1
173,0,47,1,0,0,1,0
174,1,33,1,15,0,0,1
175,0,47,0,1,0,1,0
176,0,36,0,1,0,1,0
177,0,20,1,0,0,1,0
178,1,70,0,22,0,2,1
179,1,46,0,2,0,1,0
180,1,26,0,1,0,0,1
181,1,73,1,9,1,1,0
182,1,21,1,2,0,2,1
183,0,50,1,0,0,2,0
184,1,27,1,31,0,1,1
185,1,35,0,21,1,2,1
186,1,27,1,2,1,0,0
187,1,54,1,0,1,1,1
188,1,70,1,11,1,2,1
189,1,35,0,0,0,2,1
190,1,32,0,0,0,2,1
191,1,54,0,0,0,0,1
192,1,52,1,17,0,0,1
193,1,21,1,2,1,2,1
194,1,71,0,0,1,1,0
195,0,25,0,12,1,0,1
196,1,25,0,0,0,0,1
197,1,74,1,2,1,1,0
198,1,37,1,2,1,1,0
199,1,70,0,25,0,1,1
200,0,36,0,0,0,2,1
201,1,47,0,13,0,0,0
202,0,23,0,1,0,1,0
203,1,20,0,1,0,2,1
204,0,70,1,0,0,1,0
205,1,24,0,0,1,0,1
206,1,75,0,0,1,1,0
207,1,79,0,19,1,1,0
208,1,54,1,1,0,1,1
209,1,77,0,27,0,2,1
210,1,32,1,1,0,1,0
211,1,63,1,0,1,1,0
212,1,62,0,10,0,2,0
213,1,19,1,25,1,1,1
214,1,71,0,29,1,2,1
215,1,25,0,21,1,1,0
216,1,22,1,0,1,1,0
217,1,59,0,2,0,0,1
218,1,75,1,21,0,0,0
219,0,26,0,23,0,1,1
220,0,32,0,0,1,1,0
221,0,65,0,1,0,2,0
222,1,67,1,1,1,1,0
223,1,39,1,2,0,2,1
224,1,46,1,2,1,1,0
225,1,48,0,2,1,1,1
226,1,37,0,20,1,0,0
227,1,57,0,0,0,0,1
228,1,57,1,27,1,1,1
229,1,43,1,2,1,1,1
230,1,19,1,0,1,1,0
231,1,24,0,1,0,1,1
232,1,79,0,1,0,2,0
233,1,29,0,16,0,1,0
234,0,30,1,2,1,1,0
235,1,54,1,1,0,1,1
236,1,32,0,1,1,1,0
237,1,65,0,0,1,2,1
238,1,66,0,0,0,0,1
239,0,66,1,0,1,1,1
240,0,46,0,13,0,2,1
241,1,72,0,0,0,1,1
242,1,25,0,0,1,1,0
243,1,54,0,2,0,2,0
244,1,71,1,29,0,2,1
245,1,62,0,33,0,2,1
246,0,18,0,0,0,0,1
247,1,23,0,20,0,0,0
248,1,69,0,0,1,1,0
249,1,54,0,0,1,1,0
250,1,78,1,2,0,1,0
251,1,31,0,0,0,1,0
252,0,32,0,25,0,0,1
253,1,26,1,0,0,2,0
254,1,30,0,5,1,2,0
255,1,30,1,1,0,1,0
256,1,28,0,19,0,0,0
257,1,53,1,0,0,2,0
258,1,45,1,0,0,1,0
259,1,67,1,15,0,1,0
260,1,48,0,16,0,0,1
261,1,36,1,1,1,1,1
262,1,26,1,1,0,1,0
263,0,67,0,2,0,0,1
264,1,22,0,2,0,1,0
265,0,45,1,0,0,1,1
266,1,53,1,1,0,1,0
267,0,71,0,9,0,2,0
268,1,59,1,0,0,2,0
269,1,48,0,5,0,2,1
270,1,79,1,24,0,2,1
271,1,36,1,2,0,1,0
272,1,70,0,14,0,0,1
273,1,33,1,2,1,0,1
274,0,46,1,27,1,2,0
275,1,39,1,0,0,1,0
276,1,62,0,23,1,1,0
277,1,69,0,0,1,1,1
278,1,21,0,27,1,1,0
279,1,63,1,1,1,1,0
280,1,72,0,0,1,2,1
281,1,58,1,1,0,1,1
282,1,78,0,16,0,1,0
283,1,58,0,0,0,0,1
284,1,62,0,1,1,1,0
285,1,52,0,1,0,1,1
286,1,18,0,33,0,0,1
287,1,74,0,9,0,2,0
288,1,37,0,0,1,1,0
289,0,54,1,1,0,2,1
290,1,24,1,0,0,1,0
291,1,18,0,35,0,0,0
292,1,61,0,20,1,1,0
293,1,63,0,0,0,1,0
294,1,63,1,31,0,0,1
295,1,39,0,19,0,0,0
296,1,25,0,38,0,1,0
297,1,33,1,1,1,1,0
298,1,26,0,0,0,0,0
299,1,67,1,2,1,1,1
300,0,22,1,30,0,1,0
301,1,18,1,10,0,0,1
302,1,33,1,0,0,1,0
303,0,77,1,1,0,1,0
304,1,56,1,0,1,1,0
305,1,64,1,9,0,2,0
306,0,60,1,2,0,2,1
307,1,50,0,2,0,1,0
308,1,41,0,1,0,1,0
309,1,75,1,0,0,1,0
310,1,24,1,12,1,0,0
311,1,39,1,0,0,1,1
312,0,45,1,29,1,1,0
313,0,40,1,1,1,1,0
314,1,57,1,0,1,1,1
315,0,18,0,29,0,2,1
316,1,20,1,0,1,1,1
317,0,69,0,1,0,0,1
318,1,74,0,0,0,2,1
319,1,40,1,3,1,1,0
320,1,26,1,0,0,1,0
321,1,67,0,0,0,1,0
322,1,74,1,0,0,2,1
323,1,23,1,2,0,1,1
324,1,77,1,0,0,0,1
325,1,44,1,15,0,2,0
326,0,65,0,0,1,1,0
327,1,57,0,7,1,0,1
328,1,31,0,0,1,2,0
329,1,47,1,0,1,1,1
330,1,80,0,22,0,0,1
331,0,21,0,20,0,0,1
332,1,69,0,14,1,1,0
333,0,50,1,1,1,1,0
334,1,70,0,8,0,0,1
335,0,59,0,0,0,1,0
336,0,28,0,0,1,1,0
337,1,25,0,1,0,1,0
338,1,80,1,24,0,2,1
339,1,36,0,11,0,0,0
340,0,78,0,0,0,1,0
341,1,37,0,2,0,1,0
342,1,67,0,0,1,1,0
343,1,49,1,2,0,1,0
344,1,59,0,16,0,2,0
345,1,44,0,1,0,2,1
346,1,77,0,1,0,0,1
347,1,51,0,17,1,0,1
348,1,59,1,0,1,1,1
349,0,46,0,2,0,0,1
350,1,50,0,0,1,1,0
351,1,39,1,0,0,1,0
352,0,28,0,1,0,1,0
353,1,40,0,19,0,2,1
354,1,48,1,0,0,1,0
355,1,59,1,27,0,2,1
356,1,57,1,1,1,1,0
357,1,35,0,1,1,1,0
358,1,26,0,0,1,1,0
359,1,46,1,0,1,1,0
360,1,73,0,19,0,0,1
361,0,80,0,29,0,0,0
362,1,71,0,1,0,1,1
363,1,33,0,0,0,2,0
364,1,67,1,9,0,1,1
365,1,41,0,24,1,1,0
366,1,67,0,15,1,1,0
367,1,78,1,1,0,1,0
368,1,34,0,13,0,0,1
369,1,60,1,1,0,2,1
370,1,34,1,0,0,1,0
371,1,59,0,23,0,0,1
372,1,62,0,23,0,0,0
373,1,45,1,0,0,1,0
374,1,77,0,6,0,1,0
375,1,72,0,23,1,1,0
376,1,80,1,8,0,1,1
377,1,80,0,0,0,0,1
378,1,79,1,1,0,2,0
379,1,57,0,16,1,1,1
380,1,78,1,26,0,1,1
381,1,63,0,0,1,1,0
382,1,21,0,1,0,1,0
383,1,70,0,2,0,0,1
384,0,70,1,1,0,0,0
385,1,33,0,22,1,1,0
386,1,78,0,1,0,2,1
387,1,54,1,0,0,1,0
388,0,29,0,23,0,2,1
389,1,34,0,1,1,2,0
390,1,29,1,0,1,2,1
391,1,53,1,2,0,2,1
392,1,20,1,0,1,1,1
393,1,43,0,5,0,0,1
394,0,31,0,1,0,1,1
395,1,53,0,26,1,2,0
396,1,43,0,0,0,2,1
397,1,64,1,0,1,1,0
398,1,67,1,0,0,1,0
399,1,18,0,0,0,0,0
400,1,55,1,1,0,1,0
401,0,28,0,0,0,2,0
402,1,40,0,0,0,1,1
403,1,42,1,38,1,1,0
404,1,51,0,38,0,1,1
405,1,44,0,1,0,1,0
406,1,78,0,0,0,2,1
407,1,49,1,38,0,2,0
408,0,19,1,1,0,1,0
409,1,57,0,25,0,2,0
410,1,39,0,1,0,1,1
411,1,26,1,1,1,1,0
412,1,45,0,1,0,2,1
413,1,46,1,1,0,1,0
414,1,73,1,0,0,2,0
415,1,62,0,31,1,2,1
416,1,73,0,24,0,0,1
417,1,26,1,10,1,0,1
418,1,36,1,8,0,2,1
419,1,47,0,17,1,2,1
420,0,72,0,16,0,2,0
421,1,77,1,3,0,1,0
422,1,67,0,1,0,2,1
423,0,63,0,1,0,2,0
424,1,33,1,0,0,1,0
425,1,44,1,1,0,1,0
426,1,72,1,10,0,2,0
427,1,36,0,3,0,0,1
428,1,63,0,12,1,1,1
429,1,79,1,0,1,1,0
430,0,78,0,1,0,1,0
431,1,33,0,2,0,1,0
432,1,33,1,2,1,1,1
433,1,74,0,0,0,0,0
434,1,68,0,10,0,1,0
435,1,57,0,6,0,2,0
436,1,35,0,24,1,2,1
437,0,71,1,13,0,1,1
438,1,41,0,19,0,2,0
439,1,35,0,17,0,0,1
440,1,27,0,1,0,0,1
441,1,29,1,20,1,1,0
442,1,43,0,1,0,1,0
443,1,68,1,2,0,1,0
444,0,30,0,0,0,1,0
445,0,58,0,2,1,1,0
446,1,51,0,7,0,1,0
447,1,65,0,0,0,1,0
448,1,34,1,0,0,2,1
449,1,69,0,0,0,0,0
450,1,63,1,1,1,1,0
451,1,60,0,0,0,1,0
452,1,30,1,12,1,1,1
453,1,75,0,0,0,0,1
454,1,70,1,24,0,0,1
455,1,51,1,2,1,1,0
456,1,71,0,22,0,0,1
457,1,35,0,1,1,1,1
458,0,66,0,8,0,2,0
459,1,60,0,12,1,2,0
460,1,32,1,0,0,1,0
461,1,38,0,26,1,0,0
462,1,54,1,31,0,2,0
463,0,54,0,29,0,1,0
464,1,35,0,0,1,1,0
465,1,72,0,1,0,2,1
466,1,31,0,9,0,0,1
467,1,62,1,20,0,1,1
468,1,42,1,25,0,1,0
469,1,31,1,8,0,2,1
470,0,80,0,23,0,0,1
471,1,63,1,24,1,1,0
472,1,34,1,0,0,0,0
473,1,40,0,19,0,0,1
474,0,42,0,6,1,2,0
475,1,22,0,33,0,2,1
476,1,77,0,1,0,0,1
477,1,36,0,0,1,1,1
478,1,22,0,17,0,1,1
479,1,65,0,0,0,0,0
480,1,52,0,23,0,0,0
481,0,65,1,23,1,1,0
482,1,28,1,0,1,1,0
483,1,77,1,0,1,1,0
484,1,56,0,1,1,1,1
485,1,49,0,20,0,2,1
486,0,69,1,0,1,1,1
487,1,43,0,18,1,1,0
488,1,44,0,0,1,1,1
489,1,22,1,1,1,1,0
490,0,69,1,0,1,1,0
491,1,32,1,25,1,1,0
492,1,43,0,5,1,1,0
493,1,66,0,22,1,2,1
494,1,32,0,18,1,0,1
495,1,70,1,1,0,1,0
496,1,24,0,0,0,1,1
497,1,63,0,0,0,0,1
498,1,48,1,1,0,1,1
499,1,37,0,6,1,2,1
500,1,45,1,1,1,1,0
501,1,79,1,1,0,1,0
502,1,37,0,0,1,0,0
503,1,44,1,26,0,2,1
504,1,64,0,0,0,1,0
505,0,20,1,1,1,1,0
506,1,65,1,4,1,2,1
507,1,32,0,9,0,0,1
508,0,72,0,1,0,1,0
509,1,77,1,1,1,1,0
510,1,78,1,0,0,1,0
511,1,26,0,4,0,2,0
512,1,57,1,26,0,2,0
513,1,47,0,0,1,2,1
514,1,33,0,6,1,2,1
515,1,32,1,2,0,1,1
516,1,49,0,1,0,2,0
517,1,21,0,23,0,0,1
518,1,58,0,2,1,1,0
519,1,39,0,0,1,1,0
520,1,32,0,0,1,2,1
521,0,64,1,0,0,1,0
522,0,71,0,1,1,1,1
523,1,58,0,20,1,2,0
524,1,43,1,0,0,1,0
525,1,68,0,0,1,1,0
526,1,51,0,1,1,1,0
527,1,31,1,1,0,2,0
528,0,48,0,0,0,2,1
529,0,26,0,1,0,1,0
530,1,74,0,15,1,2,1
531,1,62,0,2,0,1,0
532,1,41,1,0,1,1,1
533,1,43,1,0,0,1,0
534,1,73,1,11,0,0,1
535,1,26,1,8,0,1,1
536,1,34,1,8,0,2,0
537,1,24,0,35,0,2,1
538,1,44,0,0,0,1,0
539,1,25,0,0,0,0,1
540,1,43,0,31,0,2,1
541,1,37,0,1,0,1,0
542,1,66,1,0,1,2,1
543,1,74,0,25,0,2,0
544,1,79,1,2,1,1,1
545,1,80,1,14,0,2,1
546,1,48,1,33,0,2,0
547,1,43,0,35,0,2,1
548,1,50,0,2,0,2,0
549,0,41,0,0,0,0,1
550,0,61,1,3,0,2,0
551,1,55,0,0,0,1,1
552,0,29,0,2,1,1,1
553,1,26,0,17,0,2,1
554,1,30,0,1,1,1,0
555,1,78,1,1,0,1,1
556,1,22,1,1,0,1,0
557,1,48,0,26,0,0,1
558,0,74,0,0,1,1,0
559,0,39,0,38,0,0,0
560,1,20,1,23,0,1,0
561,0,61,1,2,0,1,0
562,1,42,0,33,0,2,0
563,1,22,0,9,0,0,1
564,1,65,1,14,0,1,0
565,1,61,0,2,1,1,1
566,1,68,1,0,1,2,0
567,1,58,0,0,0,0,1
568,1,26,1,1,1,1,0
569,1,66,0,24,0,2,1
