,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,30,1,0,0,1,0
1,1,18,0,1,0,2,1
2,1,27,0,1,0,2,0
3,1,23,1,2,1,1,0
4,1,21,0,5,0,0,0
5,1,24,0,3,0,2,0
6,1,36,1,6,0,1,1
7,1,20,0,6,0,0,0
8,1,42,0,10,1,2,1
9,1,66,0,4,1,2,1
10,1,56,0,1,1,1,1
11,0,77,1,4,1,1,0
12,1,23,0,4,1,1,0
13,1,31,0,1,1,1,0
14,1,29,1,4,1,1,0
15,1,24,0,2,0,1,0
16,1,44,1,2,0,2,1
17,1,26,0,22,0,0,0
18,1,37,1,0,0,1,0
19,1,27,0,2,0,0,1
20,1,31,1,1,0,1,0
21,0,44,0,2,0,2,1
22,1,33,1,3,0,1,1
23,0,29,1,8,0,1,0
24,1,40,1,0,1,1,0
25,1,60,0,3,1,1,1
26,0,32,0,7,1,2,1
27,0,30,0,7,0,0,1
28,1,48,1,2,0,1,1
29,1,27,1,29,0,0,1
30,1,22,1,1,0,2,0
31,1,31,0,6,1,0,1
32,1,32,0,5,0,2,1
33,1,59,0,1,0,2,1
34,1,29,0,0,0,1,0
35,0,18,0,2,0,0,1
36,0,25,0,5,0,2,1
37,1,29,0,0,0,1,1
38,0,42,0,26,0,0,1
39,1,40,1,0,1,1,0
40,1,28,1,1,0,1,0
41,1,21,0,0,0,1,0
42,1,25,0,8,0,0,1
43,0,58,0,3,1,2,1
44,1,46,1,4,0,0,1
45,1,31,1,1,1,1,0
46,1,20,1,2,0,1,0
47,0,28,1,0,0,1,1
48,1,20,0,0,0,2,1
49,1,48,0,3,0,2,0
50,1,28,0,0,1,2,0
51,1,39,0,0,0,1,0
52,1,22,0,0,0,2,1
53,1,56,1,0,0,2,0
54,1,36,1,0,1,1,1
55,0,34,0,1,0,2,1
56,1,27,0,7,1,0,0
57,1,24,1,2,0,1,0
58,1,56,1,0,1,2,1
59,0,58,1,19,1,0,0
60,1,55,0,1,1,1,1
61,0,21,0,0,0,1,0
62,1,60,1,8,0,2,1
63,1,46,0,14,0,2,1
64,1,34,1,6,0,1,0
65,1,27,1,2,0,1,0
66,1,21,0,5,0,2,1
67,1,27,0,13,0,2,1
68,1,31,1,9,1,0,1
69,0,30,0,2,0,1,1
70,1,22,1,1,1,0,0
71,1,41,0,0,1,2,1
72,1,72,1,0,1,1,0
73,1,41,0,2,1,1,1
74,1,32,0,1,1,0,1
75,0,78,1,0,0,1,0
76,1,33,1,0,0,1,0
77,1,30,0,7,0,0,1
78,1,53,1,4,1,2,0
79,1,21,0,2,1,1,0
80,0,22,0,2,0,2,1
81,1,42,1,1,0,1,0
82,0,42,1,4,1,1,0
83,1,23,0,0,0,1,1
84,1,30,0,2,0,0,1
85,0,26,0,0,0,0,1
86,0,45,0,0,0,2,1
87,1,25,1,8,0,1,0
88,1,24,1,2,0,2,1
89,1,31,1,1,0,1,0
90,1,23,1,2,0,1,0
91,0,52,1,0,0,1,0
92,1,27,1,35,0,2,1
93,1,34,0,6,0,2,0
94,0,70,1,5,0,2,0
