,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
0,1,28,0,1,1,2,0
1,1,35,0,0,0,1,0
2,1,53,0,22,1,0,0
3,1,25,0,9,1,1,1
4,0,39,1,5,1,2,1
5,1,63,0,3,0,2,0
6,1,28,1,5,0,2,1
7,1,26,1,1,0,1,0
8,1,27,1,4,0,0,1
9,1,24,1,0,0,2,1
10,0,21,0,0,0,1,0
11,0,33,1,35,1,0,0
12,0,58,1,4,1,2,0
13,1,52,0,13,1,1,1
14,1,67,1,5,0,1,0
15,1,29,0,1,1,2,1
16,1,25,0,4,0,1,0
17,1,44,1,24,1,2,1
18,1,34,0,16,0,0,1
19,0,26,0,1,0,0,0
20,1,26,1,1,0,1,0
21,1,25,0,1,0,1,1
22,0,32,0,13,1,0,1
23,1,22,0,1,0,1,0
24,1,30,0,11,0,2,1
25,1,27,0,1,0,1,0
26,1,51,1,4,1,0,1
27,1,26,0,5,0,1,0
28,1,26,1,4,0,1,0
29,0,55,1,1,0,1,1
30,1,57,0,0,1,1,0
31,1,27,0,0,0,0,1
32,1,22,1,0,1,1,0
33,0,33,1,2,0,0,1
34,1,61,0,4,0,2,0
35,0,36,0,1,1,2,0
36,1,25,0,0,1,2,0
37,0,21,1,1,0,1,1
38,1,18,1,2,1,1,0
39,1,44,0,0,1,1,0
40,1,39,1,3,0,2,1
41,1,21,0,1,1,1,0
42,1,20,1,0,0,1,1
43,1,33,1,24,0,0,1
44,1,22,0,2,0,1,0
45,1,25,0,1,1,1,0
46,1,22,0,1,0,1,0
47,1,21,0,1,0,1,0
48,0,75,1,1,0,0,1
49,1,38,0,20,1,0,1
50,1,20,1,0,0,2,1
51,1,22,1,0,0,1,0
52,1,23,0,2,0,1,1
53,1,19,1,13,1,0,1
54,1,23,0,4,1,0,1
55,1,25,0,4,1,0,1
56,1,27,0,11,1,2,1
57,1,72,1,0,1,1,0
58,1,63,0,7,1,1,0
59,1,24,0,0,0,2,0
60,1,22,0,3,0,2,1
61,1,31,1,4,1,0,0
62,1,35,0,1,1,1,0
63,0,37,0,11,1,2,1
64,1,25,0,1,0,1,1
65,1,32,1,30,0,2,0
66,0,34,1,0,0,2,0
67,1,55,1,0,1,0,1
68,1,35,1,10,0,1,0
69,1,26,0,2,0,1,1
70,1,26,1,6,0,0,1
71,1,21,0,0,0,0,1
72,1,30,1,3,1,0,1
73,1,30,0,3,0,1,0
74,1,40,1,7,0,1,1
75,1,41,0,5,0,0,1
76,1,25,0,0,1,2,0
77,1,33,1,2,0,2,0
78,1,44,0,0,0,0,1
79,1,27,0,4,1,0,0
80,1,25,0,9,1,0,1
81,1,23,0,0,0,0,1
82,1,25,0,6,0,2,1
83,1,57,1,0,0,1,1
84,1,33,0,0,1,1,0
85,1,27,1,0,1,1,0
86,1,35,0,7,0,1,1
87,1,24,0,8,0,0,1
88,0,25,1,4,0,0,1
89,1,30,0,1,0,1,1
90,1,38,0,2,1,1,0
91,0,40,0,3,0,1,0
92,1,33,0,33,0,0,1
93,1,34,1,3,0,1,0
94,1,38,0,10,0,0,1
95,1,25,0,4,1,2,0
96,0,30,0,0,0,1,0
97,1,40,1,6,0,0,1
98,0,27,1,1,1,0,0
99,1,52,0,4,0,1,0
100,0,51,0,7,0,0,0
101,1,21,0,0,0,0,1
102,0,27,1,2,1,2,1
103,1,28,0,4,0,2,0
104,1,29,1,0,0,2,0
105,1,34,0,4,0,1,1
106,1,27,0,4,0,1,0
107,1,29,0,6,1,2,0
108,1,21,0,0,1,1,0
109,1,32,0,0,1,1,0
110,1,22,0,0,1,0,0
111,1,20,0,1,0,1,1
112,1,51,1,0,1,2,0
113,1,35,1,1,1,1,0
114,1,39,0,0,1,1,0
115,1,27,0,1,0,1,0
116,1,28,0,1,1,1,0
117,1,33,0,8,0,2,1
118,1,70,1,7,0,2,0
119,1,27,1,1,1,1,1
120,1,32,1,5,0,1,0
121,1,47,0,3,1,0,1
122,1,49,0,5,1,1,0
123,0,27,0,6,1,1,0
124,1,27,1,9,1,0,1
125,1,47,0,1,1,1,1
126,1,32,0,2,0,1,1
127,1,49,0,3,0,1,0
128,1,55,1,0,0,0,1
129,1,35,1,0,1,1,0
130,0,41,1,8,0,1,0
131,1,44,1,0,1,1,0
132,1,24,1,8,0,0,1
133,1,24,0,2,0,1,1
134,1,30,0,0,0,1,1
135,1,26,0,5,1,2,0
136,1,22,0,1,0,1,0
137,1,35,0,3,0,2,0
138,1,30,1,0,1,1,1
139,1,69,1,2,1,2,1
140,1,26,0,6,0,1,0
141,1,48,0,10,0,1,0
142,0,25,0,1,0,2,1
143,1,41,1,8,1,0,1
144,1,40,0,6,0,1,1
145,1,39,1,0,0,1,0
146,1,25,1,9,1,0,1
147,1,56,0,11,0,2,0
148,1,20,1,1,0,1,0
149,0,23,0,11,1,2,1
150,1,29,1,1,1,2,1
151,1,27,0,0,1,1,0
152,0,40,0,7,0,2,0
153,1,23,0,1,0,1,0
154,1,54,1,0,0,1,1
155,1,28,0,7,0,1,1
156,1,40,1,0,0,1,0
157,1,31,0,3,0,1,0
158,1,33,0,0,0,1,0
159,1,20,0,1,0,2,1
160,1,28,1,28,0,0,1
161,1,45,0,6,0,1,1
162,1,48,1,1,0,1,1
163,1,27,1,3,0,0,0
164,1,38,1,2,1,1,1
165,1,25,0,2,1,1,0
166,0,63,0,1,0,0,0
167,1,26,0,0,0,1,1
168,1,26,0,0,0,2,1
169,1,22,0,3,0,2,0
170,1,24,0,0,0,1,0
171,1,25,1,4,1,2,0
172,1,20,0,0,0,1,0
173,0,36,1,13,1,2,1
174,1,28,0,5,1,1,0
175,1,24,0,0,0,1,0
176,1,28,0,5,0,2,0
177,1,24,0,0,0,1,0
178,1,21,0,2,0,2,1
179,1,27,1,3,1,1,0
180,1,21,0,1,0,1,0
181,1,47,0,1,0,2,0
182,1,29,0,1,0,1,0
183,1,24,0,1,0,1,1
184,1,28,0,30,0,0,1
185,0,33,0,30,0,2,1
186,1,55,1,0,0,1,1
187,1,78,0,2,0,2,1
188,1,23,0,0,0,1,0
189,1,29,1,6,1,2,0
190,0,24,0,2,0,0,1
191,1,30,0,0,0,1,0
192,1,55,1,3,0,1,0
193,0,22,1,2,0,1,0
