,sex,age,race,priors_count,c_charge_degree,score_text,two_year_recid
1273,1,28,0,0,0,1,0
6258,1,26,1,0,1,1,0
2172,1,22,0,0,0,1,1
4388,1,33,1,0,0,1,0
2475,1,25,0,5,0,0,1
6024,1,35,1,0,0,1,1
4638,1,38,1,2,0,1,0
2262,1,28,1,1,1,1,0
1161,0,35,0,2,0,2,0
3617,1,34,1,5,0,2,1
3684,1,39,1,1,0,1,0
5786,1,35,1,0,0,1,0
6168,1,33,0,18,0,0,1
551,1,58,0,6,0,2,0
3440,1,44,1,0,1,1,1
6489,0,34,1,10,0,0,1
3303,1,24,0,1,0,2,1
6970,1,27,0,5,1,0,1
1504,0,41,1,0,1,1,0
5735,1,30,0,8,1,0,1
2322,1,21,0,1,0,1,0
3669,0,29,1,1,1,2,1
6673,0,44,1,1,1,1,0
3936,0,23,0,0,0,2,1
446,0,50,0,3,0,1,0
2243,1,28,1,3,0,1,0
5464,1,54,0,4,0,1,0
4532,1,31,1,1,0,1,1
7141,1,25,1,7,1,2,1
1496,1,72,1,1,1,1,0
4081,1,36,0,4,1,0,0
5227,1,25,0,0,1,2,0
5621,1,26,0,2,1,2,0
117,1,33,0,28,0,0,1
1132,1,47,0,5,0,1,0
1548,1,21,0,0,1,1,0
5445,1,28,0,12,0,0,1
2461,1,37,1,1,1,2,0
2747,1,30,0,9,0,2,1
6355,0,28,0,0,0,1,1
2703,0,28,0,3,0,2,0
3636,1,22,1,0,0,1,0
7160,1,29,0,7,0,2,1
917,1,21,0,2,0,0,1
5179,1,35,0,2,0,1,0
3030,1,69,1,0,1,1,1
4626,1,22,0,2,0,2,0
2130,0,49,1,1,0,1,0
2068,1,42,1,0,0,1,0
707,1,28,0,0,0,1,0
1661,1,25,0,6,1,2,0
2974,1,41,0,8,0,1,0
4721,1,27,0,1,0,0,0
820,1,29,0,16,0,0,0
1814,1,39,0,5,0,2,0
6484,1,39,0,8,0,1,0
4316,1,29,0,3,0,0,1
67,1,27,0,6,0,2,1
3593,1,24,0,7,0,0,1
1660,1,20,0,0,0,2,1
6570,1,24,1,0,0,1,0
1490,1,33,1,0,1,1,0
5561,1,23,0,2,0,1,1
1478,0,47,0,1,0,2,0
3941,0,39,0,4,0,2,0
5979,1,26,1,9,0,0,1
6062,0,55,1,0,1,1,0
6345,1,22,0,0,1,2,1
1247,1,30,1,3,1,1,0
2828,1,23,0,1,1,1,1
7061,1,26,0,0,0,1,0
5337,1,34,0,1,0,1,0
3158,0,56,0,1,0,1,0
6005,1,52,1,1,0,1,0
1676,1,33,1,0,0,1,0
6461,1,46,1,11,0,2,1
5524,1,44,1,0,0,2,0
1533,1,45,0,0,1,1,0
5701,0,29,1,0,0,2,0
319,1,27,0,0,0,1,0
6040,1,28,0,7,1,2,0
