,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,18.0,1.0,14.0,1.0,1,49.0,2.0,32.0,0,1,0
1,20.0,3.0,20.0,5.0,0,49.0,17.0,40.0,1,1,0
2,53.0,7.0,18.0,1.0,1,6.0,1.0,40.0,1,1,1
3,25.0,1.0,16.0,1.0,2,49.0,1.0,40.0,0,1,0
4,53.0,1.0,22.0,1.0,0,49.0,0.0,40.0,1,1,1
5,26.0,1.0,16.0,3.0,2,49.0,0.0,2.0,0,1,0
6,24.0,1.0,19.0,1.0,4,15.0,0.0,75.0,1,1,0
7,59.0,4.0,23.0,5.0,0,129.0,2.0,50.0,1,1,1
8,37.0,1.0,21.0,1.0,2,49.0,1.0,50.0,1,1,1
9,42.0,5.0,19.0,5.0,0,6.0,2.0,50.0,0,1,0
10,18.0,2.0,16.0,1.0,2,49.0,0.0,25.0,0,1,0
11,25.0,1.0,20.0,3.0,3,49.0,0.0,40.0,1,1,1
12,56.0,1.0,21.0,1.0,0,49.0,1.0,40.0,1,1,1
13,59.0,1.0,19.0,5.0,1,49.0,3.0,6.0,0,1,0
14,32.0,1.0,16.0,5.0,4,49.0,2.0,20.0,0,1,0
15,38.0,6.0,19.0,1.0,0,49.0,0.0,75.0,1,1,1
16,24.0,1.0,20.0,1.0,4,49.0,0.0,40.0,0,1,0
17,47.0,1.0,22.0,5.0,0,49.0,10.0,45.0,1,1,1
18,43.0,1.0,19.0,1.0,4,49.0,0.0,50.0,1,1,1
19,54.0,1.0,14.0,5.0,4,49.0,13.0,40.0,1,1,0
20,70.0,8.0,20.0,1.0,2,49.0,0.0,30.0,1,1,1
21,18.0,1.0,18.0,1.0,4,8.0,1.0,25.0,0,1,0
22,18.0,1.0,19.0,1.0,4,32.0,0.0,40.0,0,1,0
23,21.0,1.0,18.0,1.0,1,49.0,1.0,45.0,1,1,1
24,44.0,2.0,21.0,1.0,0,49.0,0.0,40.0,0,1,1
25,40.0,7.0,21.0,1.0,0,49.0,0.0,60.0,1,1,1
