,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,47.0,2.0,16.0,1.0,1,49.0,1.0,20.0,0,1,0
1,36.0,3.0,21.0,1.0,0,55.0,0.0,40.0,1,1,1
2,30.0,1.0,21.0,3.0,1,49.0,3.0,20.0,0,1,0
3,59.0,3.0,2.0,5.0,0,223.0,2.0,40.0,0,1,1
4,38.0,1.0,18.0,5.0,2,49.0,0.0,40.0,0,1,0
5,61.0,1.0,23.0,5.0,0,49.0,0.0,45.0,1,1,1
6,33.0,1.0,12.0,1.0,4,49.0,1.0,30.0,1,1,0
7,60.0,4.0,22.0,1.0,0,49.0,1.0,40.0,1,1,1
8,62.0,4.0,14.0,3.0,1,49.0,12.0,40.0,0,1,0
9,79.0,1.0,19.0,5.0,0,49.0,13.0,20.0,1,1,0
10,68.0,1.0,21.0,1.0,1,49.0,0.0,40.0,1,0,0
11,55.0,1.0,14.0,2.0,4,49.0,15.0,10.0,0,1,0
12,66.0,1.0,17.0,1.0,0,49.0,0.0,45.0,1,1,1
13,23.0,1.0,15.0,1.0,2,49.0,1.0,30.0,0,1,0
14,64.0,1.0,21.0,1.0,2,49.0,0.0,36.0,0,1,1
15,41.0,1.0,16.0,5.0,0,303.0,2.0,20.0,0,1,0
16,44.0,1.0,19.0,1.0,2,49.0,0.0,47.0,0,1,0
17,46.0,1.0,19.0,5.0,3,49.0,15.0,40.0,1,1,0
18,51.0,1.0,16.0,1.0,0,16.0,1.0,45.0,0,1,1
19,55.0,4.0,19.0,3.0,0,49.0,12.0,66.0,0,1,1
20,23.0,1.0,21.0,5.0,2,527.0,2.0,40.0,1,1,0
21,21.0,3.0,19.0,1.0,2,49.0,0.0,10.0,0,1,0
22,63.0,1.0,16.0,5.0,0,6.0,2.0,25.0,0,1,0
23,37.0,4.0,23.0,1.0,0,6.0,0.0,45.0,1,1,1
24,32.0,2.0,20.0,1.0,0,110.0,0.0,35.0,1,1,0
25,57.0,1.0,22.0,1.0,0,49.0,0.0,45.0,1,1,1
26,60.0,1.0,21.0,1.0,0,49.0,1.0,40.0,1,1,1
27,32.0,4.0,16.0,1.0,3,49.0,1.0,40.0,0,1,1
28,26.0,1.0,22.0,3.0,0,6.0,0.0,50.0,1,1,1
29,45.0,1.0,19.0,5.0,0,54.0,13.0,25.0,0,1,0
30,33.0,1.0,19.0,1.0,3,49.0,0.0,60.0,1,1,1
31,59.0,1.0,19.0,5.0,3,49.0,0.0,40.0,0,1,1
32,38.0,1.0,20.0,1.0,2,6.0,0.0,5.0,0,1,1
33,22.0,1.0,6.0,5.0,4,49.0,5.0,85.0,1,1,0
34,29.0,1.0,20.0,5.0,0,4.0,0.0,40.0,1,1,1
35,19.0,1.0,20.0,1.0,3,16.0,0.0,40.0,1,1,0
36,37.0,6.0,18.0,1.0,0,303.0,1.0,40.0,1,1,1
37,62.0,1.0,20.0,1.0,4,45.0,1.0,12.0,1,1,1
38,21.0,1.0,16.0,1.0,1,223.0,0.0,35.0,0,0,0
39,47.0,7.0,23.0,1.0,0,1.0,0.0,50.0,1,1,1
40,45.0,1.0,19.0,1.0,0,49.0,0.0,40.0,0,1,1
41,49.0,1.0,18.0,1.0,4,49.0,0.0,50.0,1,1,1
42,25.0,1.0,19.0,5.0,1,4.0,2.0,30.0,1,0,0
43,36.0,1.0,18.0,5.0,2,49.0,11.0,25.0,0,1,0
44,17.0,1.0,1.0,5.0,0,6.0,13.0,40.0,1,1,0
45,45.0,6.0,20.0,1.0,0,49.0,1.0,80.0,0,1,1
46,51.0,5.0,19.0,2.0,0,162.0,0.0,45.0,0,1,1
47,60.0,1.0,16.0,1.0,4,19.0,0.0,25.0,1,0,0
48,38.0,2.0,20.0,1.0,1,6.0,1.0,30.0,1,1,0
49,34.0,1.0,20.0,5.0,0,49.0,2.0,45.0,0,0,0
50,20.0,1.0,19.0,5.0,2,49.0,13.0,60.0,0,1,0
51,28.0,3.0,19.0,1.0,0,49.0,0.0,45.0,1,1,1
52,73.0,4.0,22.0,3.0,0,35.0,2.0,40.0,0,0,1
53,38.0,6.0,16.0,1.0,3,49.0,1.0,8.0,0,1,0
54,75.0,1.0,16.0,5.0,3,30.0,2.0,19.0,1,1,0
55,43.0,4.0,19.0,1.0,1,49.0,10.0,25.0,0,0,0
56,51.0,1.0,20.0,1.0,2,45.0,1.0,40.0,0,1,1
57,45.0,1.0,19.0,1.0,0,49.0,0.0,30.0,0,1,0
58,45.0,1.0,21.0,5.0,4,49.0,0.0,45.0,1,1,1
59,57.0,1.0,20.0,4.0,2,417.0,10.0,40.0,1,1,1
60,30.0,5.0,22.0,2.0,0,49.0,15.0,20.0,0,1,0
