,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
2590,24.0,1.0,19.0,5.0,3,49.0,13.0,50.0,1,1,1
13167,17.0,1.0,13.0,5.0,4,49.0,2.0,20.0,1,0,0
741,41.0,1.0,15.0,1.0,2,49.0,1.0,40.0,0,1,0
1200,49.0,1.0,15.0,1.0,3,49.0,1.0,40.0,1,1,1
3449,29.0,2.0,20.0,5.0,0,48.0,2.0,20.0,1,1,0
4426,26.0,1.0,19.0,1.0,0,49.0,1.0,40.0,1,1,1
8679,30.0,1.0,22.0,1.0,0,53.0,1.0,40.0,1,1,1
5284,31.0,1.0,20.0,5.0,2,15.0,13.0,40.0,0,0,0
6908,36.0,3.0,22.0,1.0,2,49.0,0.0,40.0,1,1,1
6896,21.0,1.0,16.0,1.0,0,49.0,1.0,40.0,1,1,0
11041,18.0,1.0,16.0,5.0,2,49.0,2.0,15.0,0,1,0
386,20.0,1.0,19.0,5.0,2,12.0,17.0,40.0,1,1,0
1183,24.0,1.0,20.0,1.0,0,49.0,2.0,40.0,1,1,0
3119,59.0,1.0,21.0,2.0,4,49.0,6.0,40.0,0,1,0
9701,39.0,1.0,22.0,3.0,3,21.0,5.0,40.0,1,1,1
14958,55.0,1.0,21.0,1.0,4,49.0,10.0,40.0,1,1,0
4280,37.0,1.0,24.0,1.0,0,49.0,0.0,55.0,1,1,1
10242,39.0,1.0,21.0,1.0,0,6.0,0.0,42.0,1,1,1
5536,30.0,1.0,16.0,5.0,1,49.0,7.0,25.0,0,1,0
2699,26.0,4.0,21.0,5.0,0,49.0,5.0,40.0,0,1,1
10960,30.0,1.0,18.0,1.0,2,53.0,0.0,27.0,0,1,0
12500,44.0,2.0,22.0,1.0,0,49.0,0.0,40.0,1,1,1
3171,42.0,6.0,22.0,1.0,0,49.0,0.0,45.0,1,1,1
3383,43.0,2.0,22.0,1.0,0,49.0,0.0,50.0,0,1,1
152,23.0,1.0,19.0,5.0,4,41.0,17.0,25.0,0,1,0
1427,46.0,3.0,19.0,1.0,0,6.0,0.0,25.0,0,1,0
3350,19.0,1.0,14.0,5.0,3,49.0,2.0,50.0,1,1,1
9750,35.0,1.0,22.0,1.0,0,109.0,0.0,30.0,0,1,0
5787,62.0,1.0,19.0,1.0,0,8.0,1.0,50.0,1,1,1
11497,42.0,1.0,16.0,5.0,4,39.0,0.0,40.0,1,1,0
8616,50.0,1.0,17.0,3.0,4,132.0,0.0,40.0,1,1,0
14314,36.0,4.0,21.0,1.0,0,110.0,0.0,40.0,0,1,1
7923,29.0,1.0,21.0,1.0,0,48.0,0.0,40.0,1,1,1
12291,34.0,7.0,19.0,1.0,0,49.0,1.0,40.0,1,1,1
4571,32.0,1.0,19.0,1.0,1,6.0,0.0,40.0,1,1,1
6900,42.0,5.0,16.0,1.0,2,49.0,1.0,50.0,1,1,1
13533,33.0,1.0,1.0,1.0,2,49.0,1.0,30.0,0,0,0
16028,42.0,1.0,16.0,3.0,2,49.0,3.0,40.0,1,1,0
13730,62.0,1.0,16.0,1.0,1,16.0,1.0,21.0,0,1,0
13493,44.0,1.0,17.0,1.0,3,6.0,0.0,40.0,1,1,1
1818,47.0,5.0,19.0,3.0,2,17.0,0.0,45.0,0,1,1
10575,34.0,1.0,18.0,1.0,0,33.0,0.0,36.0,0,1,0
746,50.0,1.0,21.0,1.0,0,49.0,1.0,45.0,1,1,1
9018,57.0,1.0,16.0,3.0,4,49.0,5.0,40.0,1,1,1
7696,30.0,1.0,21.0,1.0,0,6.0,1.0,45.0,0,1,1
14971,18.0,1.0,19.0,5.0,2,49.0,2.0,42.0,1,0,1
11455,50.0,1.0,11.0,1.0,4,303.0,0.0,40.0,1,1,1
15522,28.0,1.0,22.0,5.0,0,29.0,0.0,80.0,0,1,1
1844,50.0,1.0,19.0,1.0,0,8.0,1.0,35.0,0,1,1
11677,66.0,7.0,23.0,1.0,4,49.0,1.0,80.0,1,0,1
8528,35.0,1.0,22.0,1.0,0,49.0,0.0,40.0,0,1,1
