,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,29.0,1.0,4.0,2.0,-1,226.0,1.0,45.0,0,1,1
1,22.0,1.0,21.0,3.0,2,369.0,2.0,1.0,0,1,0
2,44.0,1.0,21.0,1.0,0,226.0,1.0,82.0,0,1,0
3,62.0,1.0,21.0,4.0,0,48.0,0.0,38.0,1,1,1
4,44.0,1.0,21.0,3.0,2,416.0,1.0,47.0,1,1,0
5,17.0,1.0,21.0,5.0,2,138.0,1.0,16.0,1,1,1
6,68.0,1.0,4.0,5.0,5,223.0,1.0,75.0,0,1,1
7,72.0,2.0,21.0,1.0,3,369.0,1.0,49.0,1,0,1
8,23.0,1.0,21.0,4.0,3,369.0,0.0,33.0,1,1,1
9,66.0,1.0,21.0,1.0,2,468.0,9.0,31.0,1,1,1
10,30.0,1.0,21.0,4.0,2,25.0,1.0,27.0,0,1,1
11,29.0,1.0,8.0,5.0,3,54.0,1.0,33.0,1,0,0
12,73.0,1.0,11.0,5.0,2,48.0,1.0,39.0,0,1,1
13,67.0,1.0,4.0,5.0,-1,2.0,2.0,41.0,1,1,1
14,44.0,1.0,21.0,4.0,-1,104.0,1.0,7.0,0,1,0
15,38.0,1.0,4.0,1.0,2,134.0,1.0,58.0,1,0,1
16,77.0,1.0,21.0,5.0,4,223.0,6.0,45.0,1,1,1
17,67.0,1.0,11.0,5.0,2,223.0,1.0,70.0,0,1,1
18,30.0,1.0,21.0,1.0,2,238.0,1.0,45.0,0,1,0
19,49.0,5.0,21.0,1.0,0,21.0,1.0,10.0,0,1,0
20,73.0,1.0,21.0,1.0,3,2.0,2.0,39.0,1,1,1
21,39.0,1.0,21.0,1.0,0,49.0,2.0,15.0,1,1,0
22,49.0,1.0,21.0,5.0,5,151.0,2.0,33.0,1,1,0
23,88.0,1.0,21.0,1.0,2,49.0,1.0,82.0,0,1,1
24,78.0,1.0,18.0,3.0,2,200.0,9.0,15.0,1,1,1
25,44.0,3.0,21.0,5.0,2,223.0,1.0,47.0,1,1,1
26,44.0,1.0,21.0,1.0,4,55.0,1.0,90.0,1,1,0
27,66.0,1.0,10.0,1.0,4,527.0,1.0,70.0,1,1,1
28,28.0,1.0,21.0,1.0,2,164.0,1.0,70.0,1,0,1
29,44.0,1.0,4.0,5.0,2,231.0,2.0,2.0,1,1,1
30,73.0,1.0,21.0,5.0,2,462.0,1.0,25.0,1,1,0
31,44.0,1.0,21.0,5.0,5,200.0,1.0,82.0,1,1,1
32,34.0,1.0,1.0,5.0,2,416.0,1.0,99.0,0,1,0
33,19.0,1.0,21.0,4.0,4,104.0,7.0,47.0,1,1,1
34,44.0,1.0,21.0,5.0,2,11.0,1.0,33.0,0,1,1
35,44.0,1.0,24.0,1.0,2,5.0,1.0,65.0,1,1,0
36,28.0,1.0,9.0,4.0,5,223.0,3.0,33.0,1,1,1
37,67.0,1.0,16.0,4.0,5,134.0,1.0,45.0,0,1,1
38,44.0,1.0,3.0,5.0,2,25.0,1.0,6.0,1,1,1
39,44.0,1.0,21.0,1.0,2,19.0,0.0,43.0,1,1,1
40,66.0,1.0,21.0,5.0,5,24.0,1.0,10.0,0,1,0
41,44.0,1.0,11.0,1.0,2,361.0,2.0,4.0,0,1,0
42,29.0,1.0,21.0,1.0,0,231.0,1.0,38.0,0,1,0
43,88.0,1.0,21.0,1.0,0,48.0,1.0,90.0,1,1,1
44,46.0,1.0,21.0,5.0,0,361.0,1.0,70.0,1,1,1
45,66.0,1.0,21.0,1.0,2,48.0,2.0,56.0,1,1,1
46,26.0,1.0,21.0,5.0,2,321.0,1.0,32.0,1,1,0
47,44.0,1.0,21.0,5.0,5,341.0,1.0,72.0,0,0,1
48,86.0,1.0,11.0,5.0,4,6.0,1.0,19.0,1,1,1
49,67.0,1.0,21.0,3.0,2,39.0,1.0,28.0,1,1,1
50,39.0,1.0,21.0,5.0,2,226.0,1.0,33.0,1,1,1
51,67.0,1.0,4.0,5.0,2,436.0,1.0,99.0,1,1,0
52,22.0,1.0,4.0,3.0,2,226.0,15.0,28.0,1,1,1
53,66.0,1.0,21.0,5.0,3,48.0,1.0,47.0,0,1,1
54,66.0,1.0,10.0,3.0,2,468.0,1.0,28.0,1,1,0
55,62.0,1.0,18.0,1.0,2,207.0,1.0,23.0,1,1,1
56,18.0,1.0,23.0,5.0,2,19.0,1.0,90.0,1,1,1
57,30.0,1.0,21.0,3.0,2,303.0,1.0,90.0,1,1,1
58,85.0,1.0,21.0,4.0,2,222.0,1.0,49.0,1,1,1
59,44.0,1.0,21.0,4.0,2,223.0,1.0,70.0,1,0,1
60,56.0,1.0,21.0,4.0,2,48.0,15.0,44.0,1,1,1
61,26.0,1.0,11.0,3.0,2,365.0,1.0,90.0,1,1,1
62,40.0,2.0,21.0,5.0,2,149.0,2.0,7.0,0,1,0
63,59.0,1.0,20.0,1.0,0,523.0,9.0,68.0,0,1,1
64,56.0,1.0,21.0,5.0,2,19.0,1.0,24.0,0,1,1
65,67.0,1.0,21.0,5.0,2,33.0,1.0,7.0,1,1,1
66,67.0,1.0,21.0,5.0,2,222.0,1.0,45.0,0,1,1
67,73.0,1.0,21.0,5.0,0,200.0,1.0,33.0,0,1,1
68,66.0,1.0,9.0,5.0,2,48.0,1.0,33.0,1,1,1
69,44.0,1.0,21.0,5.0,2,361.0,1.0,27.0,1,1,1
70,73.0,1.0,21.0,5.0,0,212.0,1.0,70.0,0,1,1
71,44.0,1.0,4.0,5.0,2,226.0,2.0,10.0,0,1,1
72,56.0,1.0,21.0,3.0,2,160.0,1.0,7.0,1,1,1
73,66.0,1.0,21.0,4.0,5,223.0,15.0,18.0,1,1,0
74,34.0,1.0,21.0,5.0,2,25.0,2.0,45.0,0,1,1
75,62.0,1.0,21.0,1.0,2,329.0,1.0,33.0,0,1,1
76,30.0,1.0,4.0,5.0,-1,28.0,12.0,60.0,0,1,1
77,66.0,1.0,21.0,5.0,0,211.0,1.0,45.0,1,0,1
78,18.0,1.0,6.0,1.0,4,226.0,1.0,68.0,1,1,1
79,73.0,1.0,19.0,1.0,2,48.0,1.0,47.0,0,0,0
80,67.0,1.0,21.0,4.0,0,48.0,2.0,31.0,0,1,0
81,66.0,1.0,21.0,4.0,0,48.0,1.0,33.0,1,1,1
82,68.0,1.0,21.0,1.0,2,231.0,1.0,7.0,1,1,0
83,18.0,1.0,21.0,4.0,2,213.0,1.0,34.0,1,1,1
84,34.0,1.0,21.0,5.0,2,364.0,1.0,4.0,0,1,1
85,73.0,1.0,21.0,1.0,2,361.0,1.0,4.0,0,1,1
86,44.0,1.0,21.0,5.0,2,228.0,4.0,45.0,1,1,1
87,67.0,1.0,4.0,4.0,1,467.0,2.0,68.0,1,1,0
88,44.0,1.0,21.0,5.0,0,243.0,1.0,65.0,1,1,0
89,73.0,1.0,18.0,1.0,2,247.0,1.0,5.0,0,1,0
90,44.0,1.0,21.0,1.0,2,416.0,1.0,1.0,0,1,0
91,67.0,1.0,10.0,5.0,3,132.0,2.0,24.0,1,1,1
92,72.0,1.0,21.0,5.0,2,238.0,1.0,33.0,1,1,0
93,66.0,1.0,21.0,1.0,0,229.0,1.0,55.0,1,1,0
94,30.0,1.0,21.0,5.0,2,37.0,1.0,34.0,1,1,1
95,58.0,1.0,4.0,5.0,2,211.0,1.0,15.0,1,1,1
96,28.0,1.0,8.0,5.0,4,223.0,15.0,7.0,1,1,1
97,66.0,1.0,21.0,1.0,2,223.0,1.0,47.0,1,1,1
98,34.0,1.0,21.0,5.0,2,303.0,0.0,15.0,1,0,0
99,20.0,1.0,21.0,5.0,0,41.0,1.0,13.0,1,1,1
100,73.0,1.0,21.0,1.0,0,160.0,1.0,30.0,0,1,1
101,73.0,1.0,16.0,5.0,2,416.0,1.0,9.0,1,1,1
102,47.0,1.0,23.0,5.0,2,462.0,1.0,17.0,1,1,1
103,56.0,1.0,21.0,2.0,2,48.0,1.0,47.0,1,1,1
104,26.0,1.0,21.0,5.0,2,48.0,1.0,27.0,0,1,0
105,26.0,8.0,21.0,5.0,2,127.0,1.0,47.0,0,1,0
106,23.0,1.0,11.0,4.0,3,66.0,1.0,35.0,1,1,1
107,29.0,1.0,21.0,4.0,1,48.0,1.0,39.0,1,1,1
108,24.0,1.0,21.0,4.0,2,39.0,1.0,33.0,1,1,1
109,67.0,1.0,11.0,3.0,0,200.0,10.0,66.0,1,1,1
110,44.0,1.0,8.0,1.0,0,39.0,7.0,61.0,1,0,1
111,41.0,1.0,21.0,5.0,2,127.0,1.0,33.0,1,1,0
112,26.0,1.0,11.0,5.0,2,11.0,1.0,33.0,1,1,0
113,18.0,1.0,11.0,5.0,2,223.0,1.0,33.0,1,1,1
114,44.0,1.0,21.0,1.0,0,223.0,1.0,90.0,1,1,1
115,66.0,1.0,21.0,5.0,0,72.0,1.0,13.0,1,1,1
116,66.0,1.0,21.0,5.0,2,229.0,1.0,33.0,1,1,1
117,83.0,1.0,10.0,1.0,2,20.0,9.0,20.0,0,1,0
118,66.0,1.0,16.0,5.0,2,8.0,1.0,47.0,1,1,1
119,29.0,1.0,21.0,3.0,2,45.0,2.0,53.0,1,1,0
120,26.0,1.0,11.0,1.0,-1,29.0,1.0,45.0,1,1,0
121,29.0,1.0,6.0,1.0,5,229.0,1.0,66.0,1,1,1
122,56.0,1.0,4.0,1.0,2,361.0,4.0,33.0,1,1,0
123,40.0,1.0,21.0,5.0,0,33.0,1.0,47.0,1,1,1
124,36.0,1.0,21.0,5.0,0,19.0,1.0,1.0,1,1,1
125,30.0,1.0,18.0,1.0,4,5.0,1.0,45.0,1,0,0
126,34.0,1.0,11.0,5.0,2,236.0,1.0,10.0,1,1,0
127,29.0,1.0,7.0,5.0,2,223.0,1.0,33.0,1,1,1
128,45.0,1.0,21.0,4.0,5,41.0,17.0,31.0,1,1,0
129,66.0,1.0,4.0,4.0,2,9.0,14.0,37.0,1,1,0
130,29.0,1.0,21.0,5.0,3,468.0,1.0,70.0,1,1,1
131,88.0,1.0,6.0,5.0,2,134.0,1.0,47.0,1,0,0
132,86.0,1.0,21.0,1.0,5,226.0,9.0,47.0,1,1,0
133,64.0,1.0,21.0,5.0,2,11.0,1.0,33.0,0,1,1
134,80.0,1.0,4.0,3.0,5,19.0,1.0,58.0,0,1,1
135,76.0,1.0,20.0,5.0,2,148.0,1.0,33.0,1,1,1
136,44.0,1.0,21.0,5.0,2,26.0,1.0,33.0,1,1,1
137,66.0,1.0,21.0,1.0,3,238.0,2.0,33.0,1,1,1
138,39.0,1.0,21.0,5.0,2,369.0,1.0,45.0,1,1,1
139,58.0,1.0,11.0,3.0,5,511.0,1.0,47.0,0,1,0
140,30.0,1.0,21.0,5.0,-1,51.0,1.0,33.0,1,1,1
141,48.0,1.0,18.0,4.0,2,41.0,1.0,33.0,0,1,1
142,29.0,1.0,21.0,4.0,0,19.0,1.0,28.0,0,1,0
143,44.0,1.0,21.0,5.0,5,48.0,1.0,47.0,1,1,0
144,22.0,1.0,21.0,1.0,2,19.0,1.0,33.0,1,1,1
145,44.0,1.0,21.0,5.0,2,19.0,1.0,28.0,0,1,1
146,73.0,1.0,21.0,5.0,0,26.0,2.0,90.0,1,1,1
147,76.0,3.0,9.0,3.0,2,224.0,1.0,47.0,1,1,0
148,45.0,1.0,21.0,1.0,0,25.0,15.0,75.0,1,1,0
149,88.0,1.0,21.0,5.0,2,226.0,1.0,68.0,1,1,0
150,88.0,1.0,11.0,4.0,0,414.0,9.0,91.0,1,0,1
151,73.0,1.0,21.0,5.0,-1,223.0,1.0,47.0,1,1,1
152,59.0,1.0,21.0,5.0,3,217.0,5.0,10.0,1,1,1
153,52.0,1.0,21.0,3.0,4,127.0,1.0,47.0,1,1,1
154,44.0,1.0,21.0,1.0,1,48.0,1.0,18.0,0,1,1
155,38.0,1.0,21.0,5.0,2,21.0,1.0,53.0,1,1,0
156,30.0,1.0,21.0,1.0,2,223.0,1.0,9.0,1,1,1
157,44.0,1.0,1.0,1.0,-1,26.0,0.0,90.0,1,1,1
158,30.0,1.0,21.0,5.0,2,48.0,1.0,47.0,1,1,0
159,39.0,1.0,21.0,3.0,2,19.0,1.0,68.0,1,1,0
160,39.0,1.0,4.0,3.0,2,364.0,1.0,15.0,1,1,1
161,85.0,1.0,21.0,5.0,0,231.0,1.0,47.0,1,1,0
162,88.0,2.0,21.0,1.0,2,223.0,0.0,33.0,1,1,1
163,29.0,1.0,21.0,4.0,2,21.0,1.0,70.0,1,1,1
164,67.0,1.0,21.0,5.0,-1,231.0,1.0,12.0,1,1,1
165,44.0,6.0,21.0,5.0,2,341.0,1.0,33.0,1,0,1
166,28.0,1.0,21.0,1.0,2,247.0,1.0,4.0,0,1,0
167,34.0,2.0,21.0,4.0,0,369.0,15.0,90.0,1,1,1
168,88.0,1.0,21.0,3.0,2,527.0,1.0,5.0,0,1,1
169,26.0,1.0,21.0,5.0,2,341.0,1.0,10.0,0,1,0
170,85.0,1.0,4.0,5.0,2,39.0,1.0,25.0,0,1,0
171,30.0,1.0,1.0,5.0,2,9.0,1.0,29.0,1,1,1
172,43.0,7.0,6.0,5.0,2,229.0,2.0,25.0,1,1,0
173,83.0,1.0,21.0,5.0,4,19.0,1.0,33.0,1,0,1
174,30.0,1.0,21.0,5.0,0,106.0,1.0,75.0,0,1,1
175,72.0,1.0,21.0,5.0,2,449.0,1.0,47.0,1,1,1
176,44.0,1.0,21.0,5.0,2,19.0,1.0,33.0,1,1,0
177,65.0,1.0,21.0,4.0,0,303.0,1.0,27.0,1,1,1
178,64.0,1.0,21.0,5.0,-1,41.0,4.0,68.0,0,1,1
179,73.0,1.0,21.0,5.0,4,19.0,2.0,47.0,0,1,1
180,29.0,1.0,21.0,5.0,2,451.0,1.0,68.0,1,1,1
181,44.0,1.0,21.0,5.0,0,223.0,2.0,35.0,1,1,0
182,31.0,1.0,9.0,5.0,2,316.0,1.0,60.0,0,1,1
183,58.0,1.0,4.0,1.0,5,48.0,1.0,33.0,1,1,1
184,29.0,1.0,11.0,5.0,2,19.0,1.0,33.0,0,1,1
185,26.0,1.0,21.0,1.0,2,223.0,1.0,47.0,1,1,0
186,44.0,1.0,24.0,4.0,2,148.0,1.0,47.0,1,0,1
187,62.0,1.0,11.0,5.0,2,37.0,2.0,33.0,0,1,1
188,22.0,1.0,21.0,5.0,2,440.0,2.0,47.0,0,1,1
189,34.0,1.0,21.0,5.0,5,223.0,1.0,47.0,1,1,1
190,67.0,1.0,1.0,1.0,-1,451.0,1.0,45.0,1,1,0
191,81.0,1.0,21.0,5.0,5,164.0,1.0,68.0,1,1,0
192,26.0,1.0,21.0,5.0,4,19.0,1.0,47.0,1,1,1
193,59.0,1.0,21.0,1.0,2,48.0,1.0,45.0,1,1,1
194,86.0,1.0,19.0,1.0,4,162.0,4.0,47.0,1,1,1
195,66.0,1.0,4.0,4.0,2,414.0,1.0,27.0,1,1,1
196,66.0,1.0,11.0,5.0,2,303.0,9.0,33.0,0,1,1
197,30.0,1.0,9.0,5.0,2,19.0,9.0,39.0,1,1,1
198,73.0,1.0,21.0,4.0,5,4.0,1.0,80.0,0,1,1
199,58.0,1.0,21.0,4.0,2,25.0,9.0,84.0,1,1,1
200,44.0,1.0,21.0,5.0,5,200.0,9.0,53.0,0,1,1
201,34.0,1.0,21.0,5.0,2,48.0,2.0,70.0,0,1,1
202,73.0,1.0,23.0,5.0,2,223.0,1.0,47.0,0,1,1
203,35.0,1.0,4.0,3.0,2,36.0,1.0,13.0,1,1,0
204,66.0,1.0,21.0,5.0,2,223.0,1.0,7.0,0,1,1
205,29.0,1.0,21.0,5.0,2,19.0,16.0,45.0,0,1,1
206,88.0,1.0,10.0,1.0,2,416.0,1.0,33.0,1,1,1
207,58.0,1.0,21.0,5.0,2,226.0,1.0,96.0,1,1,0
208,66.0,1.0,11.0,3.0,2,421.0,1.0,47.0,1,1,0
209,44.0,1.0,11.0,5.0,2,9.0,1.0,90.0,1,1,0
210,51.0,1.0,4.0,5.0,2,19.0,1.0,33.0,1,1,1
211,66.0,1.0,19.0,5.0,2,206.0,1.0,90.0,1,1,1
212,77.0,1.0,21.0,5.0,5,19.0,1.0,70.0,1,1,1
213,66.0,1.0,21.0,4.0,2,50.0,1.0,17.0,1,1,0
214,66.0,1.0,21.0,5.0,5,223.0,1.0,33.0,1,1,1
215,67.0,1.0,24.0,1.0,2,414.0,1.0,34.0,1,1,1
216,26.0,2.0,21.0,1.0,-1,229.0,1.0,75.0,1,1,1
217,45.0,1.0,18.0,5.0,0,200.0,1.0,33.0,1,1,0
218,44.0,1.0,21.0,5.0,-1,2.0,2.0,45.0,1,1,1
219,58.0,1.0,21.0,1.0,2,48.0,1.0,47.0,1,1,0
220,29.0,1.0,4.0,1.0,5,51.0,1.0,3.0,1,1,1
221,27.0,1.0,21.0,5.0,2,19.0,1.0,1.0,1,1,1
222,30.0,1.0,21.0,5.0,5,48.0,1.0,90.0,1,0,0
223,26.0,3.0,11.0,5.0,2,365.0,2.0,61.0,0,1,1
224,73.0,1.0,21.0,5.0,2,39.0,9.0,47.0,1,1,0
225,30.0,1.0,21.0,5.0,2,462.0,0.0,33.0,1,1,1
226,82.0,1.0,21.0,5.0,2,231.0,1.0,33.0,1,1,0
227,30.0,1.0,21.0,5.0,2,238.0,9.0,68.0,1,1,1
228,73.0,1.0,11.0,5.0,-1,54.0,1.0,47.0,0,1,1
229,59.0,1.0,1.0,5.0,2,45.0,2.0,1.0,1,1,0
230,67.0,1.0,21.0,5.0,2,48.0,1.0,15.0,0,1,1
231,66.0,1.0,21.0,5.0,1,48.0,1.0,33.0,1,1,1
232,67.0,1.0,11.0,1.0,2,451.0,1.0,47.0,1,1,1
233,30.0,1.0,21.0,5.0,2,163.0,1.0,39.0,1,1,1
234,83.0,1.0,21.0,1.0,-1,240.0,1.0,39.0,1,1,1
235,67.0,1.0,8.0,1.0,3,22.0,1.0,47.0,0,1,1
236,26.0,1.0,4.0,3.0,2,45.0,1.0,13.0,1,1,1
237,44.0,1.0,21.0,1.0,2,200.0,1.0,47.0,0,1,1
238,66.0,1.0,5.0,5.0,5,48.0,1.0,23.0,0,1,1
239,44.0,1.0,21.0,5.0,0,48.0,14.0,70.0,0,1,0
240,30.0,1.0,21.0,5.0,2,523.0,1.0,56.0,0,1,1
241,42.0,1.0,4.0,1.0,1,30.0,1.0,70.0,1,1,1
242,44.0,1.0,21.0,1.0,-1,203.0,1.0,33.0,0,1,1
243,41.0,1.0,21.0,5.0,2,223.0,1.0,90.0,0,1,1
244,30.0,6.0,21.0,5.0,2,523.0,1.0,68.0,0,1,1
245,44.0,1.0,4.0,5.0,0,416.0,1.0,33.0,0,1,1
