,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,28.0,1.0,20.0,5.0,0,49.0,2.0,40.0,1,1,0
1,17.0,1.0,20.0,1.0,3,49.0,2.0,40.0,0,1,0
2,19.0,1.0,20.0,5.0,3,49.0,12.0,45.0,0,1,0
3,18.0,1.0,19.0,4.0,3,49.0,2.0,40.0,0,1,0
4,58.0,1.0,14.0,1.0,3,49.0,2.0,45.0,0,1,1
5,21.0,1.0,22.0,1.0,3,49.0,2.0,40.0,0,1,0
6,18.0,1.0,20.0,5.0,0,49.0,2.0,40.0,1,1,0
7,18.0,1.0,16.0,5.0,3,49.0,2.0,40.0,0,1,0
8,18.0,1.0,17.0,1.0,3,49.0,0.0,45.0,0,1,0
9,18.0,1.0,20.0,5.0,0,16.0,2.0,40.0,0,1,0
10,19.0,1.0,20.0,5.0,3,16.0,2.0,20.0,1,1,0
11,19.0,1.0,22.0,5.0,0,49.0,2.0,55.0,1,1,0
12,19.0,1.0,20.0,1.0,3,49.0,0.0,40.0,0,1,0
13,52.0,8.0,16.0,1.0,0,49.0,6.0,40.0,1,1,1
14,19.0,1.0,20.0,5.0,3,6.0,2.0,40.0,1,1,0
15,18.0,2.0,19.0,1.0,0,6.0,2.0,40.0,0,1,0
16,52.0,1.0,20.0,5.0,3,364.0,2.0,35.0,0,1,1
17,21.0,1.0,17.0,5.0,0,49.0,2.0,40.0,0,1,1
18,17.0,1.0,20.0,5.0,3,49.0,2.0,59.0,1,1,0
19,18.0,1.0,20.0,5.0,3,49.0,2.0,40.0,0,1,0
20,52.0,1.0,3.0,5.0,3,49.0,2.0,40.0,1,1,0
21,21.0,6.0,20.0,5.0,3,6.0,6.0,40.0,0,1,0
22,19.0,6.0,20.0,1.0,0,49.0,3.0,40.0,1,1,1
23,46.0,1.0,20.0,5.0,3,49.0,2.0,55.0,1,1,0
24,21.0,1.0,18.0,1.0,3,6.0,2.0,40.0,0,1,1
25,38.0,1.0,20.0,1.0,0,6.0,2.0,40.0,0,1,0
26,21.0,1.0,20.0,5.0,0,49.0,0.0,40.0,0,1,0
27,18.0,1.0,20.0,5.0,0,49.0,0.0,40.0,1,1,0
28,52.0,1.0,20.0,1.0,0,6.0,6.0,40.0,0,1,0
29,46.0,1.0,20.0,5.0,0,49.0,2.0,36.0,0,1,0
30,19.0,1.0,19.0,1.0,3,49.0,2.0,40.0,1,0,0
31,52.0,4.0,21.0,1.0,2,49.0,2.0,40.0,0,1,1
32,41.0,1.0,20.0,1.0,3,49.0,2.0,40.0,0,1,1
33,19.0,1.0,20.0,1.0,0,16.0,2.0,40.0,0,1,0
34,45.0,1.0,20.0,5.0,3,6.0,11.0,40.0,1,1,0
35,18.0,1.0,20.0,5.0,3,49.0,17.0,40.0,0,1,0
36,52.0,1.0,20.0,5.0,3,49.0,0.0,40.0,0,1,0
37,18.0,1.0,20.0,5.0,0,6.0,2.0,40.0,1,1,0
38,18.0,7.0,18.0,1.0,0,6.0,2.0,40.0,0,1,0
39,21.0,1.0,20.0,1.0,3,6.0,6.0,10.0,1,1,0
40,21.0,1.0,20.0,1.0,0,16.0,2.0,40.0,0,1,0
41,18.0,1.0,20.0,1.0,3,49.0,2.0,40.0,0,1,0
42,52.0,1.0,20.0,5.0,0,49.0,12.0,36.0,1,1,0
43,18.0,1.0,20.0,5.0,3,49.0,6.0,40.0,0,1,0
44,19.0,1.0,20.0,5.0,3,49.0,2.0,40.0,1,1,0
45,41.0,1.0,20.0,1.0,0,6.0,2.0,45.0,1,1,0
46,41.0,1.0,20.0,5.0,0,49.0,0.0,36.0,0,1,0
47,18.0,1.0,20.0,1.0,3,35.0,2.0,10.0,0,1,0
48,18.0,1.0,20.0,5.0,3,49.0,12.0,40.0,1,1,1
49,46.0,1.0,20.0,5.0,0,49.0,2.0,40.0,0,1,1
50,18.0,1.0,20.0,5.0,3,49.0,2.0,40.0,1,1,0
51,19.0,1.0,20.0,1.0,3,49.0,2.0,40.0,0,1,0
52,21.0,1.0,18.0,1.0,0,35.0,12.0,20.0,1,1,0
53,31.0,1.0,20.0,1.0,3,49.0,2.0,10.0,0,1,0
54,18.0,1.0,20.0,5.0,3,49.0,12.0,45.0,0,1,0
55,18.0,1.0,21.0,5.0,3,49.0,2.0,40.0,0,1,0
56,18.0,1.0,20.0,1.0,0,49.0,2.0,40.0,1,1,0
57,18.0,1.0,20.0,5.0,3,49.0,2.0,40.0,1,1,0
58,18.0,1.0,20.0,5.0,0,49.0,1.0,40.0,1,1,1
59,28.0,2.0,20.0,1.0,0,49.0,2.0,45.0,1,1,0
60,18.0,1.0,20.0,5.0,2,49.0,2.0,20.0,1,1,1
61,18.0,1.0,20.0,3.0,3,49.0,1.0,35.0,0,1,0
62,18.0,1.0,20.0,1.0,0,6.0,2.0,40.0,1,1,0
63,19.0,1.0,20.0,1.0,0,46.0,2.0,55.0,1,1,1
64,21.0,1.0,20.0,5.0,0,6.0,0.0,36.0,0,1,0
65,52.0,1.0,20.0,5.0,3,49.0,2.0,30.0,0,1,0
66,18.0,1.0,20.0,5.0,0,49.0,2.0,35.0,1,1,1
67,52.0,1.0,20.0,1.0,3,210.0,2.0,30.0,1,1,0
68,19.0,1.0,20.0,5.0,3,126.0,4.0,40.0,0,1,0
69,58.0,1.0,20.0,5.0,3,49.0,2.0,40.0,1,1,0
70,47.0,6.0,17.0,1.0,3,49.0,2.0,55.0,0,1,0
71,19.0,1.0,20.0,1.0,0,49.0,2.0,40.0,1,1,1
72,18.0,1.0,20.0,5.0,0,49.0,6.0,40.0,0,1,0
73,18.0,6.0,20.0,1.0,3,16.0,2.0,55.0,0,1,0
74,21.0,1.0,20.0,1.0,0,49.0,1.0,55.0,1,1,0
75,21.0,1.0,20.0,1.0,3,49.0,2.0,40.0,0,1,0
76,21.0,1.0,20.0,5.0,0,49.0,12.0,36.0,0,1,0
77,21.0,1.0,10.0,5.0,3,46.0,2.0,40.0,0,1,0
78,52.0,1.0,20.0,5.0,0,6.0,0.0,17.0,1,1,1
79,18.0,1.0,20.0,1.0,0,6.0,2.0,40.0,1,1,1
80,21.0,1.0,20.0,5.0,3,49.0,2.0,12.0,0,1,0
81,21.0,1.0,20.0,5.0,0,49.0,2.0,40.0,1,1,1
82,17.0,1.0,20.0,1.0,0,6.0,1.0,10.0,0,1,0
83,18.0,1.0,20.0,1.0,3,49.0,2.0,10.0,0,1,0
84,18.0,1.0,20.0,5.0,0,49.0,2.0,40.0,1,1,0
85,30.0,1.0,20.0,5.0,2,242.0,12.0,40.0,1,1,0
86,41.0,2.0,20.0,1.0,3,32.0,2.0,40.0,0,1,0
87,21.0,1.0,20.0,5.0,0,49.0,12.0,40.0,0,1,0
