,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,46.0,2.0,20.0,1.0,1,8.0,1.0,90.0,1,1,1
1,51.0,1.0,20.0,1.0,0,16.0,0.0,50.0,1,1,1
2,18.0,1.0,16.0,5.0,4,361.0,17.0,49.0,0,1,0
3,41.0,1.0,19.0,1.0,1,49.0,0.0,20.0,0,1,0
4,47.0,3.0,18.0,3.0,4,49.0,0.0,45.0,1,1,1
5,26.0,1.0,10.0,1.0,0,49.0,0.0,40.0,0,1,0
6,42.0,1.0,1.0,1.0,3,6.0,1.0,20.0,0,1,0
7,48.0,7.0,15.0,1.0,4,150.0,0.0,40.0,0,1,1
8,79.0,1.0,19.0,1.0,2,49.0,0.0,20.0,0,1,0
9,18.0,1.0,18.0,5.0,1,49.0,2.0,20.0,0,1,0
10,48.0,4.0,15.0,5.0,4,6.0,2.0,45.0,0,1,1
11,69.0,6.0,21.0,1.0,0,45.0,1.0,62.0,0,0,0
12,49.0,7.0,16.0,1.0,2,49.0,9.0,15.0,0,1,0
13,35.0,1.0,18.0,1.0,0,16.0,0.0,45.0,0,1,1
14,31.0,1.0,21.0,5.0,0,53.0,12.0,50.0,0,1,1
15,33.0,1.0,20.0,1.0,4,49.0,9.0,40.0,1,1,1
16,83.0,1.0,21.0,1.0,2,49.0,9.0,45.0,0,1,1
17,31.0,2.0,19.0,5.0,2,49.0,13.0,40.0,1,1,1
18,28.0,7.0,22.0,1.0,0,17.0,0.0,56.0,0,1,0
19,26.0,1.0,12.0,1.0,1,49.0,0.0,35.0,1,1,0
20,59.0,1.0,16.0,1.0,5,211.0,0.0,38.0,0,1,0
21,22.0,1.0,21.0,5.0,0,49.0,15.0,40.0,1,1,1
22,40.0,1.0,21.0,1.0,1,49.0,1.0,10.0,1,1,1
23,63.0,1.0,19.0,1.0,2,53.0,1.0,40.0,1,1,1
24,29.0,1.0,21.0,1.0,0,49.0,1.0,39.0,1,1,0
25,18.0,1.0,18.0,5.0,0,49.0,2.0,50.0,0,1,0
26,19.0,1.0,16.0,5.0,1,49.0,6.0,20.0,0,1,0
27,29.0,4.0,19.0,1.0,4,49.0,0.0,41.0,1,1,1
28,60.0,6.0,19.0,1.0,1,365.0,1.0,40.0,1,0,0
29,22.0,1.0,19.0,5.0,4,49.0,15.0,20.0,0,1,0
30,23.0,5.0,15.0,1.0,1,49.0,0.0,40.0,0,1,0
31,30.0,1.0,14.0,5.0,3,303.0,2.0,20.0,0,1,0
32,57.0,1.0,19.0,1.0,3,49.0,1.0,50.0,1,1,0
33,32.0,6.0,21.0,5.0,0,223.0,0.0,61.0,1,1,1
34,18.0,1.0,20.0,5.0,2,49.0,6.0,40.0,0,1,0
35,54.0,1.0,16.0,1.0,1,49.0,16.0,90.0,1,1,1
36,22.0,1.0,16.0,5.0,0,436.0,2.0,68.0,1,1,0
37,26.0,1.0,16.0,5.0,2,49.0,2.0,40.0,1,1,1
38,31.0,1.0,16.0,1.0,4,48.0,0.0,45.0,1,0,1
39,63.0,6.0,19.0,1.0,1,8.0,1.0,20.0,1,1,0
40,54.0,2.0,21.0,1.0,2,49.0,0.0,40.0,1,1,1
41,47.0,1.0,20.0,2.0,4,16.0,0.0,45.0,1,1,1
42,30.0,1.0,22.0,5.0,0,16.0,2.0,50.0,1,1,1
43,25.0,3.0,21.0,1.0,0,6.0,0.0,15.0,1,1,0
44,31.0,1.0,21.0,1.0,0,49.0,1.0,50.0,1,0,1
45,21.0,1.0,19.0,5.0,3,49.0,2.0,35.0,1,1,0
46,48.0,4.0,20.0,1.0,3,6.0,0.0,40.0,1,1,1
47,25.0,7.0,20.0,1.0,4,6.0,1.0,40.0,0,0,0
48,50.0,1.0,16.0,1.0,0,151.0,0.0,40.0,0,1,0
49,28.0,1.0,22.0,5.0,0,120.0,4.0,40.0,1,1,1
