,AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P,PINCP
0,25.0,1.0,16.0,1.0,4,49.0,0.0,40.0,1,1,1
1,27.0,3.0,21.0,3.0,0,370.0,13.0,30.0,0,1,1
2,43.0,1.0,21.0,1.0,2,8.0,1.0,40.0,1,1,1
3,18.0,1.0,18.0,5.0,2,45.0,17.0,30.0,0,1,0
4,38.0,1.0,18.0,1.0,2,49.0,1.0,20.0,0,1,0
5,34.0,4.0,21.0,4.0,1,49.0,0.0,40.0,1,1,1
6,54.0,6.0,22.0,1.0,0,49.0,1.0,32.0,1,1,0
7,22.0,7.0,20.0,5.0,0,303.0,2.0,40.0,1,0,1
8,36.0,1.0,11.0,1.0,2,24.0,0.0,35.0,0,1,0
9,17.0,1.0,14.0,5.0,1,49.0,2.0,5.0,1,1,0
10,20.0,1.0,15.0,5.0,4,49.0,12.0,20.0,0,1,0
11,39.0,1.0,18.0,1.0,4,49.0,1.0,50.0,0,1,1
12,52.0,1.0,16.0,3.0,2,49.0,0.0,40.0,0,1,1
13,48.0,2.0,21.0,1.0,0,49.0,0.0,30.0,0,1,0
14,30.0,1.0,16.0,3.0,4,8.0,0.0,17.0,0,0,0
15,35.0,1.0,17.0,1.0,3,49.0,1.0,25.0,0,1,0
16,46.0,4.0,21.0,1.0,0,49.0,0.0,45.0,1,1,1
17,56.0,4.0,19.0,1.0,0,49.0,1.0,40.0,0,1,1
18,57.0,6.0,22.0,1.0,0,6.0,1.0,50.0,0,1,1
19,21.0,1.0,16.0,3.0,0,49.0,8.0,25.0,0,1,0
20,37.0,7.0,19.0,1.0,1,49.0,1.0,40.0,1,1,1
21,67.0,2.0,23.0,1.0,0,32.0,0.0,40.0,1,1,1
22,60.0,1.0,19.0,1.0,2,49.0,0.0,40.0,1,1,1
23,18.0,1.0,14.0,3.0,2,6.0,17.0,60.0,0,1,1
24,19.0,1.0,16.0,5.0,3,49.0,17.0,28.0,0,1,0
25,47.0,1.0,19.0,5.0,4,49.0,0.0,50.0,1,1,0
26,24.0,1.0,20.0,5.0,0,303.0,13.0,50.0,1,0,1
27,17.0,1.0,14.0,5.0,3,49.0,2.0,15.0,0,1,0
28,47.0,1.0,19.0,5.0,2,49.0,13.0,40.0,1,0,0
29,55.0,3.0,18.0,5.0,2,49.0,0.0,45.0,1,1,1
30,57.0,1.0,16.0,1.0,2,48.0,1.0,40.0,0,1,1
31,35.0,5.0,21.0,5.0,0,13.0,10.0,36.0,0,1,1
32,55.0,1.0,18.0,1.0,1,16.0,0.0,40.0,1,1,0
33,60.0,1.0,17.0,1.0,4,49.0,0.0,25.0,1,1,0
34,33.0,3.0,22.0,1.0,0,49.0,0.0,53.0,1,1,1
35,53.0,1.0,21.0,1.0,2,49.0,0.0,20.0,1,0,0
36,28.0,7.0,21.0,1.0,2,6.0,0.0,40.0,0,1,1
37,24.0,1.0,19.0,1.0,0,48.0,1.0,15.0,1,1,0
38,33.0,2.0,19.0,1.0,2,49.0,1.0,3.0,0,1,1
39,37.0,1.0,19.0,1.0,3,49.0,0.0,55.0,1,1,0
40,59.0,1.0,16.0,4.0,4,49.0,0.0,45.0,1,1,1
41,51.0,7.0,21.0,1.0,0,49.0,0.0,40.0,1,1,1
42,30.0,1.0,16.0,1.0,3,6.0,1.0,30.0,0,1,0
43,47.0,1.0,23.0,1.0,0,16.0,0.0,40.0,1,1,1
44,21.0,1.0,19.0,1.0,2,49.0,1.0,25.0,0,1,0
45,22.0,1.0,20.0,5.0,4,49.0,15.0,10.0,0,1,0
46,23.0,3.0,16.0,1.0,1,365.0,0.0,25.0,0,1,0
47,37.0,1.0,19.0,1.0,1,49.0,0.0,40.0,0,1,0
48,51.0,1.0,18.0,1.0,2,49.0,1.0,40.0,1,0,1
49,61.0,5.0,19.0,1.0,4,49.0,0.0,40.0,0,1,1
50,37.0,1.0,22.0,5.0,0,49.0,2.0,12.0,0,1,0
51,53.0,1.0,22.0,1.0,0,6.0,1.0,40.0,1,1,1
52,70.0,1.0,21.0,3.0,2,49.0,0.0,48.0,1,1,0
53,58.0,1.0,16.0,1.0,0,49.0,0.0,40.0,1,1,1
54,44.0,1.0,19.0,1.0,2,303.0,0.0,40.0,0,1,0
55,47.0,1.0,22.0,1.0,1,49.0,1.0,40.0,0,1,1
56,31.0,1.0,22.0,1.0,2,49.0,0.0,25.0,0,1,0
57,21.0,1.0,16.0,4.0,1,49.0,2.0,30.0,0,1,0
58,21.0,1.0,16.0,5.0,4,49.0,2.0,3.0,1,1,0
59,53.0,5.0,20.0,3.0,0,55.0,0.0,75.0,1,1,0
60,17.0,1.0,14.0,5.0,1,49.0,2.0,20.0,0,1,0
61,28.0,1.0,20.0,1.0,0,6.0,1.0,45.0,1,1,1
62,44.0,1.0,21.0,1.0,0,49.0,1.0,40.0,0,1,0
63,64.0,1.0,21.0,1.0,4,49.0,0.0,40.0,1,1,0
64,33.0,1.0,19.0,1.0,2,49.0,0.0,40.0,1,0,1
65,36.0,1.0,21.0,5.0,0,49.0,2.0,35.0,0,1,1
66,32.0,1.0,16.0,5.0,0,49.0,2.0,65.0,1,1,1
67,32.0,5.0,21.0,5.0,2,49.0,2.0,40.0,1,1,1
68,46.0,6.0,20.0,1.0,1,4.0,1.0,45.0,1,1,1
69,42.0,1.0,20.0,5.0,1,49.0,2.0,40.0,0,1,1
70,20.0,1.0,19.0,5.0,3,49.0,12.0,25.0,1,1,0
71,31.0,1.0,21.0,1.0,0,49.0,0.0,40.0,1,1,0
72,55.0,4.0,21.0,1.0,0,49.0,0.0,50.0,0,1,1
73,31.0,1.0,20.0,1.0,3,301.0,0.0,60.0,0,1,1
74,26.0,6.0,16.0,1.0,4,49.0,0.0,40.0,1,0,0
75,36.0,4.0,18.0,5.0,2,53.0,0.0,40.0,0,0,0
76,26.0,1.0,16.0,1.0,2,49.0,0.0,40.0,1,1,1
77,35.0,1.0,21.0,1.0,0,39.0,0.0,35.0,0,1,0
78,38.0,1.0,22.0,5.0,0,49.0,0.0,48.0,1,1,1
79,56.0,1.0,19.0,5.0,0,49.0,2.0,40.0,1,1,1
80,57.0,1.0,17.0,1.0,3,48.0,1.0,42.0,0,1,1
81,40.0,6.0,20.0,5.0,1,49.0,2.0,25.0,1,1,0
82,27.0,1.0,21.0,1.0,0,49.0,9.0,20.0,0,1,0
83,21.0,1.0,19.0,2.0,3,49.0,2.0,35.0,0,1,0
84,31.0,3.0,23.0,1.0,0,49.0,0.0,45.0,1,1,1
85,42.0,1.0,22.0,1.0,0,16.0,0.0,40.0,1,1,1
86,19.0,6.0,14.0,5.0,1,6.0,2.0,40.0,0,0,1
87,17.0,1.0,16.0,5.0,3,49.0,2.0,40.0,1,1,1
88,82.0,1.0,12.0,1.0,0,18.0,1.0,40.0,0,0,0
89,53.0,1.0,19.0,2.0,0,49.0,0.0,40.0,1,1,1
90,66.0,1.0,20.0,5.0,1,49.0,0.0,50.0,1,1,0
91,68.0,2.0,16.0,2.0,0,49.0,0.0,40.0,1,1,0
92,26.0,4.0,16.0,1.0,2,49.0,1.0,48.0,1,1,1
93,38.0,1.0,20.0,1.0,3,49.0,1.0,50.0,1,1,1
94,41.0,5.0,16.0,1.0,4,49.0,0.0,10.0,0,1,0
95,35.0,1.0,21.0,1.0,1,49.0,1.0,40.0,1,1,1
96,45.0,1.0,20.0,1.0,4,49.0,1.0,47.0,0,1,0
97,25.0,1.0,22.0,5.0,0,49.0,17.0,25.0,0,1,0
