,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,7,4,11,4,4,3,1,1,2,2,0
1,5,5,11,0,12,1,1,0,2,2,0
2,11,4,11,0,8,2,1,0,2,2,0
3,6,0,15,0,0,1,1,1,1,2,0
4,6,6,15,4,3,4,1,1,2,2,0
5,11,0,11,0,0,1,1,0,2,2,0
6,9,1,6,0,2,1,0,0,2,2,1
7,7,1,15,2,12,0,0,1,2,2,0
8,11,4,8,2,13,0,1,1,2,2,1
9,5,4,15,2,10,0,1,1,1,2,1
10,7,4,12,2,10,0,1,1,2,2,1
11,4,4,11,4,3,1,1,1,2,2,0
12,5,4,9,2,4,0,1,1,3,2,0
13,9,6,15,2,12,0,1,1,2,2,1
14,7,4,9,2,12,0,0,1,3,2,1
15,7,4,11,4,3,3,1,1,2,2,0
16,6,2,12,2,10,0,0,1,2,2,1
17,7,4,12,2,4,0,0,1,2,4,1
18,6,6,11,0,7,4,1,0,2,2,0
19,7,4,15,2,10,0,1,1,2,2,0
20,4,4,15,4,12,3,1,0,1,2,0
21,5,2,0,4,7,3,1,0,2,2,0
22,11,4,5,0,8,2,1,0,1,2,0
23,9,4,9,2,12,0,1,1,3,2,0
24,5,0,1,4,0,3,0,0,1,0,0
25,8,4,11,2,0,0,1,1,2,2,0
26,9,4,9,5,10,1,1,1,2,2,1
27,6,4,11,2,12,0,1,1,2,2,1
28,6,4,15,2,4,0,1,1,2,2,1
29,9,4,11,0,3,1,0,1,1,0,0
30,11,6,4,2,9,5,1,0,4,2,1
31,6,4,11,2,6,0,1,1,3,2,0
32,3,6,11,4,12,3,1,1,2,2,0
33,8,4,15,0,8,1,1,1,2,2,0
34,9,4,9,4,4,1,1,0,2,2,1
35,5,4,2,4,3,3,1,1,2,2,0
36,10,6,15,4,10,1,1,1,1,2,0
37,4,4,11,4,3,3,1,1,2,2,0
38,9,4,15,2,14,0,1,1,2,2,0
39,10,4,15,4,12,1,1,1,2,2,0
40,3,7,15,4,4,3,0,1,2,2,0
41,10,4,15,2,7,0,1,1,2,2,1
42,3,4,11,4,8,3,0,0,0,0,0
43,8,4,14,2,4,0,0,1,2,2,1
44,8,4,11,2,12,0,1,1,2,2,0
45,4,4,11,4,12,1,0,1,2,2,0
46,8,4,11,2,3,0,1,1,2,2,1
47,9,4,10,0,10,1,1,1,2,2,0
48,8,6,9,2,3,0,1,1,2,2,0
49,4,4,8,4,13,3,1,1,2,2,0
50,9,0,13,2,0,3,1,0,2,2,0
51,6,5,15,4,4,1,1,1,2,2,0
52,10,4,15,2,1,0,1,1,2,2,0
53,7,5,9,2,4,0,1,1,2,2,1
54,12,4,12,2,13,0,1,1,2,2,1
55,3,4,1,4,12,3,1,0,2,2,0
56,7,4,9,2,12,5,1,0,2,2,1
57,5,6,11,4,5,1,0,1,2,2,0
58,10,2,9,2,10,0,1,1,2,2,0
59,9,6,9,4,4,1,1,1,2,2,0
60,7,6,9,4,10,1,1,0,3,2,1
61,8,4,1,2,12,5,1,0,2,2,0
62,3,4,15,4,3,3,0,1,2,2,0
63,4,4,6,4,4,3,1,1,2,2,0
64,5,4,7,2,10,0,1,1,2,2,1
65,4,4,15,4,12,3,1,1,2,2,0
66,5,4,10,2,10,0,1,1,1,2,1
67,10,4,11,2,3,0,1,1,1,2,0
68,13,4,15,2,4,0,1,1,2,2,0
69,10,4,9,2,12,0,1,1,2,2,1
70,7,4,15,4,3,1,1,1,2,2,0
71,6,4,11,2,1,5,1,0,2,2,0
72,3,4,11,4,6,3,1,1,1,2,0
73,8,4,15,2,7,0,1,1,2,2,1
74,6,4,15,0,1,4,1,0,2,2,0
75,9,4,9,2,1,5,1,0,2,2,1
76,9,4,2,4,7,4,1,1,2,1,0
77,5,4,15,4,6,3,1,1,2,1,0
78,11,4,11,2,8,5,0,0,1,2,0
79,5,4,6,4,3,2,1,1,2,2,0
80,9,4,11,0,7,1,1,1,2,2,0
81,7,4,15,2,1,0,1,1,2,2,1
82,9,4,12,2,4,0,1,1,2,2,1
83,8,0,15,2,0,0,1,1,2,2,1
84,7,2,15,2,3,0,1,1,2,2,1
85,3,4,11,4,12,3,1,1,0,2,0
86,10,4,11,2,7,0,1,1,2,2,1
87,17,4,5,3,8,1,0,1,0,2,0
88,4,4,9,4,12,1,1,0,2,2,0
89,10,0,9,0,0,1,1,0,2,2,0
90,10,4,11,0,6,4,1,1,1,2,0
91,6,6,1,2,1,0,1,1,2,2,0
92,12,4,11,2,12,0,1,1,2,2,0
93,13,1,11,5,8,4,0,0,0,2,0
94,4,6,15,4,8,3,1,0,0,2,0
95,7,4,15,5,4,1,1,1,2,2,0
96,4,4,9,4,12,1,0,0,1,2,0
97,9,4,11,2,4,0,1,1,2,2,1
98,3,4,15,4,12,3,1,1,1,2,0
99,4,4,11,4,8,2,1,1,2,2,0
100,4,4,9,4,12,3,1,1,2,2,0
101,14,7,9,2,10,0,1,1,2,2,0
102,7,4,11,2,4,0,1,1,2,2,1
103,3,4,15,4,12,1,1,0,1,2,0
104,7,4,8,2,3,0,1,1,2,2,1
105,12,4,11,0,8,1,1,1,0,2,0
106,9,4,15,2,3,0,1,1,3,2,0
107,9,0,15,3,0,1,0,1,1,2,0
108,9,3,9,2,10,5,1,0,4,2,1
109,3,3,8,4,1,3,0,0,0,2,0
110,7,4,14,2,10,0,1,1,2,2,1
111,6,4,15,2,1,0,1,1,2,2,1
112,10,6,8,2,3,0,1,1,2,2,1
113,5,4,9,2,12,0,1,1,2,2,0
114,6,4,9,2,3,0,1,1,2,2,0
115,9,4,11,2,6,0,1,1,2,2,0
116,3,4,11,4,6,3,0,1,1,4,0
117,9,7,8,0,1,1,1,0,2,2,0
118,9,4,14,2,10,0,1,1,2,2,1
119,6,7,12,2,4,0,1,1,2,2,1
120,7,4,11,2,3,0,1,1,1,2,0
121,5,4,11,2,3,0,1,1,2,2,0
122,7,4,11,5,1,4,0,0,2,2,0
123,9,7,15,5,12,4,1,0,1,2,0
124,4,4,9,4,13,3,1,1,0,2,0
125,6,4,11,2,3,0,1,1,2,2,0
126,8,1,14,2,1,0,1,1,2,2,1
127,7,4,15,0,4,4,1,0,2,2,0
128,14,4,8,2,3,0,0,1,1,2,1
129,11,4,9,4,1,2,0,0,1,2,0
130,9,4,14,0,8,2,1,1,1,2,0
131,7,0,15,0,0,4,1,1,1,2,0
132,5,4,15,4,3,3,1,1,1,2,0
133,8,4,12,2,4,0,1,1,2,2,1
134,4,4,11,4,4,3,1,1,2,2,0
135,3,2,14,4,8,2,1,1,0,2,0
136,10,7,14,2,10,0,1,1,2,2,1
137,6,4,8,2,14,0,1,1,3,2,0
138,8,4,15,2,3,0,1,1,2,2,0
139,4,4,15,4,1,3,1,0,2,2,0
140,10,6,11,2,4,0,1,1,2,2,1
141,4,4,11,2,1,5,0,0,2,2,0
142,10,4,15,2,10,0,1,1,3,2,1
