,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,16,0,5,2,0,0,0,1,1,2,0
1,8,4,11,4,3,4,1,0,2,2,0
2,7,4,11,0,5,3,1,1,2,2,0
3,8,4,11,0,5,1,1,1,2,2,0
4,7,4,3,0,9,4,1,0,2,2,0
5,3,4,0,4,8,3,1,0,0,2,0
6,5,2,0,2,6,0,1,1,2,2,0
7,4,4,15,4,4,3,0,0,2,0,0
8,7,4,7,2,8,3,1,1,2,2,0
9,13,4,9,2,12,0,1,1,1,2,1
10,9,2,9,0,4,4,1,0,2,2,0
11,5,7,11,2,1,3,0,0,2,2,0
12,11,6,0,2,14,0,1,1,2,2,0
13,4,4,15,4,12,1,1,1,2,2,0
14,10,4,10,2,10,0,0,1,2,0,1
15,5,4,9,4,8,1,1,0,1,2,0
16,13,5,15,2,12,0,0,1,1,2,0
17,14,0,5,2,0,0,1,1,1,2,1
18,10,7,10,2,10,0,1,1,2,2,1
19,4,4,15,4,1,3,1,1,2,2,0
20,8,5,11,3,10,1,1,0,2,2,0
21,9,4,9,3,12,1,1,0,2,2,0
22,5,1,9,4,10,1,1,0,2,2,0
23,8,4,11,2,8,0,1,1,2,2,0
24,8,6,12,2,4,5,1,0,2,2,1
25,13,1,15,2,4,0,1,1,3,2,1
26,7,4,15,2,3,0,1,1,2,2,1
27,4,4,11,0,3,1,1,1,1,2,0
28,7,4,1,2,1,0,0,1,2,0,0
29,13,4,15,2,12,0,1,1,3,2,1
30,11,4,9,0,13,1,0,1,2,2,0
31,7,4,11,0,3,1,1,1,2,2,0
32,12,4,11,2,3,0,1,1,2,2,1
33,5,4,7,4,12,3,1,0,2,2,0
34,7,7,12,4,10,3,1,1,0,2,0
35,4,4,9,4,12,3,1,0,2,2,0
36,12,7,9,2,13,0,1,1,2,2,1
37,5,4,11,4,8,3,1,1,2,2,0
38,8,4,0,6,6,4,1,1,2,2,0
39,11,2,12,2,10,0,1,1,1,4,1
40,5,4,11,4,8,3,1,1,2,2,0
41,5,4,9,2,10,0,1,1,2,2,0
42,4,7,12,4,10,1,1,1,1,2,0
43,6,1,11,2,3,0,0,1,2,2,0
