,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
37798,27,4,1,4,10,1,0,0,50,39,0
22652,32,4,15,2,12,2,0,0,40,12,0
28286,52,2,8,2,11,0,1,1,40,39,1
6011,34,4,15,2,4,0,1,1,40,39,1
7050,31,4,0,4,1,4,0,0,40,39,0
35800,26,4,15,0,1,4,1,0,18,39,0
27363,62,7,9,0,10,1,1,1,40,39,1
2481,44,5,9,2,4,0,1,1,52,39,1
43976,31,4,9,4,13,1,1,0,40,39,1
36380,42,4,15,2,3,0,1,1,40,39,0
33456,39,4,7,2,3,0,1,1,60,39,1
27630,33,6,11,2,3,0,1,1,50,39,0
11507,43,4,15,0,4,1,0,0,40,39,0
142,19,4,15,4,8,3,1,1,30,26,0
1056,30,6,2,2,14,0,1,1,75,39,0
44068,27,4,15,4,1,1,1,0,60,11,0
31586,49,4,11,0,1,1,1,0,40,39,0
17747,38,4,9,2,10,0,1,1,40,39,1
12035,65,6,5,2,5,0,1,1,40,39,0
3179,35,6,2,4,8,1,0,0,40,38,0
33088,41,6,12,4,12,1,1,0,30,39,0
23115,24,4,11,4,3,2,1,1,40,0,0
24057,49,4,15,0,7,1,1,0,35,39,0
4101,57,4,11,2,8,0,1,1,78,39,0
23919,46,4,15,2,1,5,1,0,40,39,1
27730,22,0,6,4,0,4,0,0,36,39,0
39327,58,4,11,2,3,0,1,1,40,39,1
22590,39,4,9,2,3,5,1,0,30,39,1
22690,23,4,15,4,8,3,1,0,15,39,0
33694,29,4,15,2,3,0,1,1,56,39,0
27589,30,4,11,2,4,0,1,1,50,39,0
43187,30,4,9,2,1,0,1,1,40,39,1
2090,42,4,7,2,12,0,1,1,45,39,1
15314,18,4,11,4,1,2,1,0,30,39,0
43078,29,4,9,4,4,1,1,1,40,39,0
27512,39,4,4,2,8,0,0,1,40,30,0
18167,46,2,9,2,10,0,1,1,38,39,1
31032,22,0,15,4,0,3,1,1,40,39,0
3901,18,0,15,4,0,3,1,1,40,39,0
28073,30,4,11,4,8,4,0,0,32,39,0
47257,23,4,9,4,12,1,1,0,50,39,0
46868,19,4,1,4,6,3,1,1,30,39,0
42659,33,2,12,4,10,1,1,0,40,39,0
37850,28,4,4,4,8,2,1,1,52,26,0
23962,41,4,12,2,4,0,1,1,40,39,1
20664,77,0,8,3,0,1,1,0,25,39,0
47200,25,2,9,4,4,1,1,1,40,39,0
30489,36,4,11,4,14,1,1,1,35,39,0
44438,39,4,11,4,1,4,1,0,40,39,0
24803,18,4,11,4,1,3,1,0,20,39,0
7534,31,1,7,2,13,0,1,1,40,39,0
40836,28,4,9,2,12,0,1,1,40,39,1
14928,32,4,9,2,10,0,1,1,40,39,0
14406,41,4,9,2,13,0,1,1,42,39,1
25129,47,4,11,2,7,0,1,1,40,5,1
25759,24,4,15,4,5,1,1,1,20,39,0
18525,25,4,15,4,8,1,1,1,40,39,0
17949,28,7,15,5,4,3,1,1,40,39,0
13951,30,4,8,4,3,3,1,1,40,39,1
4363,43,1,11,2,14,0,1,1,40,39,0
21671,51,6,11,2,5,0,1,1,50,39,0
38988,80,6,11,2,5,0,1,1,30,39,0
20795,47,7,9,2,4,0,1,1,40,39,1
14920,37,4,11,2,1,0,1,1,40,39,0
44635,30,4,15,4,7,3,0,0,40,39,0
38980,22,7,15,4,8,3,0,1,20,39,0
14838,32,5,11,2,5,0,1,1,55,39,1
13376,34,4,12,0,10,4,1,0,40,39,0
45405,19,4,1,4,8,3,1,1,18,39,0
15883,21,4,11,4,8,3,1,1,40,39,0
22283,59,4,15,5,1,4,1,1,40,39,0
37231,49,4,7,2,12,0,1,1,45,39,1
18819,44,4,8,4,3,4,1,1,40,39,0
14841,30,4,15,5,14,1,1,1,20,39,0
33178,25,1,9,4,1,4,0,0,40,39,0
13202,37,4,9,2,10,0,1,1,55,39,1
14177,19,4,2,4,6,3,0,1,20,39,0
31649,28,4,11,4,7,3,1,1,45,39,0
8579,21,4,15,4,12,3,0,1,25,39,0
20137,56,4,0,2,12,5,0,0,30,24,1
20112,20,4,15,4,12,3,1,0,30,39,0
22569,35,4,9,2,4,5,1,0,30,39,1
718,22,4,15,4,12,3,1,0,15,39,0
10376,46,4,11,2,14,0,1,1,70,39,0
22818,30,4,15,0,1,4,1,0,10,39,0
13968,22,4,1,4,14,1,1,1,65,39,0
35160,23,4,15,2,4,0,1,1,50,39,0
24564,41,4,11,4,12,1,1,0,50,39,0
11533,24,4,8,2,8,0,1,1,20,39,0
34953,27,4,15,2,1,5,1,0,55,39,0
