,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
32367,18,2,5,2,11,0,1,1,2,2,0
45963,8,2,12,2,4,0,0,1,2,2,1
8998,10,4,11,2,3,0,1,1,2,2,0
7328,9,4,5,0,7,1,0,0,1,2,0
31341,5,4,11,4,1,3,1,0,2,2,0
19184,3,4,11,4,3,1,1,1,2,2,0
10281,3,4,11,4,5,3,0,1,2,2,0
24448,4,4,11,4,8,4,1,0,2,2,0
33897,7,6,9,2,13,0,1,1,2,2,1
10744,7,4,11,2,14,0,1,1,2,2,0
24014,6,4,9,2,4,0,1,1,2,2,1
35501,4,4,9,4,8,1,1,1,2,2,0
16272,12,4,15,2,10,0,1,1,2,2,0
44657,13,1,11,4,1,1,1,1,2,2,1
8358,8,4,11,0,8,4,1,0,1,2,0
33547,7,2,15,2,1,0,1,1,2,2,1
29537,9,2,12,0,10,1,0,1,2,2,0
27843,6,4,15,2,12,0,1,1,2,2,1
40245,9,4,11,0,11,1,1,1,2,2,0
27371,9,4,14,2,4,0,1,1,2,2,1
13467,13,4,11,0,12,1,1,0,1,2,0
3505,6,6,10,2,4,0,1,1,2,2,0
43304,10,1,0,5,1,4,0,0,2,2,0
27129,4,4,15,2,1,0,1,1,0,2,0
43562,4,4,11,4,7,3,1,1,2,2,0
35908,11,5,11,2,12,0,1,1,2,2,0
14068,11,4,11,2,8,5,1,0,0,2,0
17523,10,4,15,6,7,4,1,0,1,2,0
39140,9,1,7,2,11,0,1,1,3,2,1
36059,8,4,11,2,8,0,0,1,2,0,0
26353,9,7,15,2,10,0,1,1,2,2,1
23482,8,6,11,0,4,1,0,1,2,2,0
15840,5,4,0,2,7,0,1,1,2,2,0
1441,12,0,11,2,0,0,1,1,0,2,0
1664,8,4,11,2,6,0,0,1,2,2,0
2951,9,4,15,6,4,4,0,0,1,2,0
19143,10,2,10,0,10,1,1,0,2,2,1
15184,7,7,11,0,8,1,1,1,2,2,0
23185,5,4,9,6,4,1,1,0,2,2,0
15113,7,4,0,6,8,1,0,0,2,2,0
1083,8,2,15,2,11,0,1,1,2,2,1
18274,9,4,15,2,4,0,1,1,2,2,1
864,6,4,11,2,7,0,1,1,2,2,0
21158,5,0,9,4,0,1,0,1,1,0,0
28256,10,5,11,2,3,0,1,1,2,2,1
28988,10,4,11,0,1,1,1,0,2,2,0
19649,3,4,11,4,12,4,0,0,1,2,0
12255,9,7,9,2,10,0,1,1,2,2,1
18591,11,5,2,2,4,0,1,1,2,2,0
25255,7,4,11,2,4,5,1,0,2,2,1
45275,8,4,9,2,13,5,1,0,1,2,0
19155,6,4,15,2,6,0,1,1,1,2,0
5336,5,4,2,4,3,1,1,1,2,2,0
15711,5,4,11,0,3,1,1,1,2,2,0
22573,9,1,8,2,1,0,1,1,2,2,1
20236,4,4,11,4,5,3,1,1,2,2,0
28223,8,7,9,0,1,4,0,0,2,2,0
8274,11,4,11,0,8,4,0,0,2,2,0
48314,5,4,9,4,10,1,1,1,2,2,0
2054,4,4,11,4,12,1,1,0,2,2,0
6426,8,4,15,2,12,0,1,1,1,2,1
826,12,4,11,6,8,1,1,0,2,2,0
5795,7,4,9,2,14,0,1,1,2,2,0
344,4,7,15,4,11,3,0,0,2,2,0
14155,12,4,0,2,14,0,1,1,2,2,0
12875,7,4,9,2,13,0,1,1,2,2,1
46639,6,4,9,4,7,1,1,1,2,2,0
39532,5,4,15,4,3,4,1,1,2,2,0
42577,8,2,15,0,13,4,1,0,1,2,0
33924,10,2,9,2,10,0,1,1,2,2,1
40715,4,4,8,4,12,1,1,0,1,2,0
34357,4,2,11,4,8,1,1,0,1,2,0
6665,7,2,11,2,11,0,1,1,2,2,1
17051,12,5,15,2,12,0,1,1,1,2,1
42755,8,4,9,2,4,0,1,1,2,2,1
13830,11,4,11,0,13,1,1,1,1,2,1
36227,3,4,11,4,1,1,1,0,1,2,0
32575,9,4,11,2,7,0,1,1,2,2,1
9758,9,4,7,0,12,1,1,0,1,1,0
3909,6,5,11,2,4,0,0,1,4,0,1
40701,3,4,1,4,3,3,1,1,2,2,0
36119,12,4,11,0,1,1,1,0,2,2,0
2663,9,7,8,0,10,4,1,0,2,2,1
29403,6,4,11,2,14,0,0,1,2,2,0
19042,6,4,9,4,10,1,1,1,2,2,0
28461,5,4,11,4,12,3,1,1,1,2,0
8177,7,4,11,2,3,0,1,1,2,2,1
12535,9,4,11,0,14,1,1,1,2,2,0
35903,3,4,11,4,8,1,1,0,1,2,0
16440,9,4,0,2,4,0,1,1,2,2,0
37273,9,4,5,2,8,0,0,1,1,0,0
12763,4,4,15,4,8,1,1,1,2,2,0
36981,7,4,5,2,12,0,1,1,2,2,0
8261,8,4,11,0,12,1,1,0,2,2,0
29173,12,6,5,2,12,0,1,1,1,2,1
38215,7,4,9,2,6,5,0,0,1,0,0
46735,9,2,15,2,10,0,1,1,2,2,1
18380,6,4,15,2,13,0,1,1,2,2,0
39979,9,4,15,0,7,1,0,0,2,2,0
26566,6,0,11,5,0,4,0,0,1,2,0
34158,4,4,15,4,7,3,1,1,3,2,0
33259,8,2,15,2,11,0,1,1,4,2,1
21370,12,4,13,3,8,1,0,1,2,0,0
975,5,4,15,4,12,1,1,0,2,2,0
23091,10,4,11,6,7,1,0,0,2,2,0
47967,11,4,11,4,1,2,1,0,2,2,0
10315,4,4,9,4,1,1,1,1,2,2,0
4035,6,6,14,5,10,4,1,1,2,2,1
5687,14,0,15,2,0,0,1,1,1,2,0
6721,12,4,6,2,3,0,1,1,0,2,0
33397,5,4,15,2,14,0,1,1,2,2,0
5003,5,4,11,4,7,4,1,0,2,2,0
46688,4,4,5,4,6,3,1,1,0,2,0
31176,4,4,15,4,12,3,1,1,1,2,0
34776,8,7,15,2,14,0,1,1,4,2,0
6974,11,4,11,0,1,1,1,0,2,2,0
21670,7,4,2,4,8,4,1,0,0,2,0
32594,4,2,15,2,11,0,1,1,2,2,0
14172,7,4,9,2,4,0,1,1,2,2,1
23982,7,4,9,4,4,1,1,0,2,2,1
7764,8,4,6,2,3,0,1,1,2,2,0
13778,7,4,9,4,12,4,1,0,2,2,0
19551,14,4,0,2,7,0,1,1,2,2,0
40370,4,5,9,2,12,0,1,1,2,2,0
3269,4,0,11,2,0,5,0,0,1,2,0
28021,3,2,15,4,10,3,1,0,1,2,0
20222,8,2,12,2,10,0,1,1,2,2,0
34336,9,4,5,4,1,3,1,0,1,2,0
19622,9,4,11,0,7,4,1,0,2,2,0
19126,12,4,15,2,3,0,1,1,2,2,0
10032,6,4,15,4,8,1,1,0,1,2,0
7901,3,4,1,4,8,3,1,1,2,2,0
44252,8,4,11,2,7,0,1,1,2,2,0
36652,5,4,11,4,7,3,0,1,2,2,0
32420,4,4,9,4,4,1,1,0,2,2,0
17640,12,6,15,2,8,0,1,1,2,2,0
15729,5,4,9,2,12,5,1,0,2,2,0
3277,7,4,11,2,3,0,1,1,2,2,0
12277,4,4,9,4,13,3,1,1,2,2,0
31919,8,4,5,2,7,5,1,0,2,2,0
35270,6,4,5,2,5,2,1,1,1,2,0
31437,7,4,1,2,3,0,1,1,2,2,0
37947,5,4,1,4,14,1,0,1,2,2,0
26467,10,4,15,2,12,0,1,1,2,2,1
24001,4,4,11,4,7,3,1,1,2,2,0
29822,9,2,11,0,1,4,1,0,1,2,0
22681,9,2,15,4,8,3,1,0,1,2,0
