,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
14329,12,4,9,0,4,1,1,0,2,2,0
45256,8,4,8,2,13,0,1,1,2,2,1
46629,8,4,15,2,10,0,1,1,2,2,1
9591,6,4,15,4,8,3,0,0,2,2,0
47622,10,4,11,2,3,0,1,1,2,2,1
27820,14,4,4,6,9,1,0,0,3,2,0
13181,14,0,8,6,0,1,1,0,2,2,0
5589,6,4,9,2,4,0,1,1,2,2,1
35497,4,7,15,4,4,1,1,0,1,2,0
28650,7,4,15,2,14,0,1,1,2,2,1
26673,11,4,11,2,3,0,1,1,2,2,0
4687,9,4,11,5,7,4,0,0,0,2,0
25263,8,4,7,4,13,1,0,1,2,2,0
24704,12,0,11,2,0,0,1,1,2,2,0
12853,7,0,14,2,0,0,1,1,0,2,0
27884,7,4,9,2,4,0,1,1,3,2,0
41927,11,4,4,2,3,0,1,1,2,2,0
16736,9,2,11,4,1,4,1,0,2,2,0
34575,5,4,6,4,14,1,1,1,1,2,0
24423,11,7,7,0,1,3,0,1,2,2,0
25432,9,2,9,2,10,0,1,1,2,2,0
16104,4,4,11,2,4,0,1,1,2,2,0
15984,10,2,11,2,5,0,1,1,2,2,0
1092,6,4,10,3,10,1,0,1,3,0,0
4816,6,4,9,2,4,0,1,1,2,2,1
24253,8,4,15,2,12,0,1,1,2,2,0
40931,13,6,11,2,3,0,1,1,1,1,0
13805,6,5,9,4,4,1,1,1,2,2,0
25275,10,5,5,2,3,0,1,1,3,4,1
37833,6,1,11,4,1,3,1,1,1,2,0
45637,10,4,11,2,3,0,1,1,2,2,0
15366,6,4,11,2,3,0,1,1,3,2,0
28318,7,6,12,2,10,0,0,1,3,2,1
35408,7,4,11,2,3,0,1,1,1,2,0
32194,8,7,11,4,1,4,0,0,2,2,0
9786,6,4,9,2,1,0,1,1,2,2,0
17390,4,4,4,2,3,2,1,1,2,2,0
16146,3,0,15,4,0,3,1,0,1,2,0
48368,10,2,9,2,11,0,0,1,2,0,0
38380,5,4,15,2,8,3,1,0,2,2,1
48484,11,6,15,2,5,0,1,1,2,2,0
34203,7,4,7,3,1,2,1,1,3,2,0
42125,8,5,9,2,12,0,1,1,2,2,1
19605,8,4,11,0,14,1,1,1,2,2,0
5659,7,7,9,4,10,1,1,1,2,2,0
5445,6,4,11,0,7,3,1,1,2,2,0
2843,8,2,15,2,8,0,1,1,2,2,1
19820,4,0,15,4,0,3,1,1,2,2,0
13103,9,5,11,2,7,0,1,1,2,2,0
32541,8,0,11,5,0,1,0,0,1,2,0
40388,5,4,12,4,4,1,1,1,2,2,0
38309,5,4,11,4,6,4,1,1,1,2,0
19384,8,2,8,4,3,1,1,1,2,2,0
35016,4,5,9,4,12,3,1,0,1,2,0
23581,7,1,9,4,10,1,1,0,2,2,0
11246,5,1,15,2,13,0,1,1,2,2,1
46720,6,4,9,2,12,0,1,1,2,2,1
39802,4,4,11,0,6,4,1,1,2,2,0
40163,5,4,12,4,10,1,1,0,2,2,0
7666,9,6,12,0,10,1,1,0,0,2,0
19897,5,4,11,2,1,5,1,0,2,2,0
20321,13,0,9,2,0,0,1,1,2,1,1
16645,9,2,9,0,4,4,1,0,2,2,0
4142,5,7,15,4,1,1,1,0,1,2,0
2103,8,5,15,2,12,0,1,1,2,2,1
28977,5,4,9,4,10,1,1,0,2,2,1
19284,8,0,11,0,0,4,1,0,2,2,0
19658,4,4,1,2,3,0,1,1,3,2,0
24512,5,4,1,2,1,5,1,0,2,2,0
18334,8,1,8,0,3,1,1,1,2,2,0
17380,8,2,8,0,1,4,1,0,2,2,0
25073,7,4,11,0,10,4,1,0,2,2,0
29574,13,2,11,2,4,0,1,1,1,2,0
16755,7,0,11,2,0,0,1,1,1,2,0
820,9,4,8,4,1,4,1,1,2,2,0
5408,6,6,15,2,12,0,0,1,3,2,1
13738,5,4,14,4,10,1,1,0,1,2,0
44334,3,4,1,4,6,3,1,1,0,2,0
17213,11,4,12,0,10,1,1,1,1,2,0
42032,5,4,9,4,1,1,0,0,2,2,0
8404,8,4,9,0,1,1,1,0,2,2,0
24645,5,4,11,4,3,3,1,1,2,2,0
31091,5,5,11,5,10,2,1,1,1,2,0
1538,4,4,0,2,7,5,1,0,2,2,0
4841,13,1,15,0,1,2,0,0,2,2,0
37088,11,4,8,0,1,4,1,0,2,2,0
25340,5,4,9,4,1,3,1,0,2,2,0
37035,7,4,15,0,4,4,1,0,1,2,0
37123,7,6,15,0,8,4,1,0,1,2,0
41803,5,4,15,0,6,1,1,1,2,2,0
621,9,4,1,6,8,1,0,0,1,2,0
27288,4,4,9,4,12,3,0,1,2,2,0
19246,10,4,15,6,4,4,1,0,2,2,0
5160,8,2,9,2,10,5,1,0,2,2,1
39410,11,4,4,0,8,1,1,0,2,2,0
16403,11,4,9,2,4,0,1,1,2,2,1
9718,9,6,14,2,10,0,1,1,4,2,1
11157,7,4,11,2,13,0,1,1,4,2,1
18656,4,4,15,4,1,4,1,0,2,2,0
11915,7,4,9,2,10,1,1,1,3,2,0
44872,4,4,9,4,13,1,1,1,2,2,0
4529,8,4,0,2,1,0,1,1,2,2,0
31285,8,4,6,0,3,1,1,1,2,2,0
30870,11,6,9,2,4,0,1,1,1,2,1
39314,11,4,8,4,7,1,1,0,2,2,0
33567,6,4,7,2,12,0,1,1,2,2,0
47199,6,4,11,0,12,1,1,1,2,2,0
35521,4,4,12,4,14,1,1,1,1,2,0
4033,4,4,7,4,8,1,0,1,1,2,0
35187,10,4,15,2,4,0,1,1,2,2,1
19307,5,4,1,4,7,3,1,1,2,2,0
14531,9,4,5,2,8,0,0,1,2,0,0
42021,12,4,11,4,11,1,1,1,2,2,0
45447,9,4,0,2,14,0,0,1,2,2,0
7827,5,6,15,0,3,1,1,1,2,2,0
7157,3,4,0,4,7,3,1,1,1,2,0
3482,5,4,11,0,12,4,1,0,1,2,0
37844,4,4,8,4,4,2,1,1,2,2,0
36635,7,7,8,0,11,4,0,1,2,2,0
47735,8,4,11,4,9,2,0,0,2,2,0
48646,5,4,9,2,8,0,1,1,2,2,0
29001,4,4,1,4,3,3,1,1,2,2,0
21368,8,4,15,2,10,0,1,1,2,2,0
9917,8,6,10,4,10,1,1,0,2,2,0
7227,10,4,11,6,7,1,0,0,2,2,0
31486,8,4,9,2,10,5,0,0,1,2,1
7957,5,4,5,4,7,3,1,1,2,2,0
19110,8,4,15,3,12,4,0,0,2,2,0
16849,8,4,12,2,10,0,1,1,3,2,0
37284,4,6,11,4,5,3,0,1,1,2,0
48700,8,4,11,2,12,0,1,1,3,2,0
28896,7,4,9,2,4,0,1,1,2,2,1
45374,5,4,9,4,8,3,1,0,0,2,0
23106,10,5,11,2,4,0,1,1,4,2,1
1441,12,0,11,2,0,0,1,1,0,2,0
11782,9,2,14,2,10,0,1,1,2,2,1
31898,9,4,9,2,4,0,1,1,3,2,1
25393,7,4,1,0,12,2,1,0,2,2,0
3506,4,6,15,0,1,3,1,1,2,2,0
19552,10,4,15,0,1,4,1,0,2,2,0
47573,6,4,2,2,3,0,1,1,2,2,1
11811,13,4,11,6,8,4,1,0,0,1,0
14319,3,4,1,4,6,1,1,1,1,2,0
38573,9,6,14,2,10,0,1,1,1,2,1
46083,8,4,15,4,8,1,1,1,2,2,0
2936,6,4,15,4,8,3,0,1,2,2,0
21080,9,4,7,2,14,0,1,1,2,2,0
9232,12,7,9,2,4,0,1,1,2,2,1
43645,4,4,15,4,5,1,1,1,3,2,0
25945,7,2,12,4,10,1,1,0,2,2,0
778,8,4,9,2,12,0,1,1,2,2,1
32413,9,4,4,2,7,0,1,1,2,4,0
8678,6,4,11,4,7,3,0,0,1,2,0
19461,3,0,11,4,0,1,1,0,0,2,0
32682,3,4,15,4,12,3,1,0,1,2,0
26209,6,4,9,2,4,0,1,1,2,2,1
17805,12,2,12,0,10,1,1,0,1,2,0
4373,7,4,0,4,1,3,1,1,2,2,0
34069,5,4,11,2,5,0,1,1,2,2,1
20725,7,4,15,2,4,0,1,1,3,2,1
15076,4,4,11,4,12,1,1,0,1,2,0
5008,8,4,9,2,14,0,1,1,2,2,0
43210,12,7,11,2,14,0,1,1,2,2,0
3465,5,2,9,4,10,1,1,1,2,2,0
47487,7,4,15,0,4,4,1,0,2,2,0
1081,3,2,11,0,4,1,1,0,1,2,0
21712,4,4,9,4,7,3,1,1,2,2,0
46450,4,4,11,5,8,3,1,0,2,2,0
27383,6,6,9,4,10,3,0,0,3,4,0
47738,10,7,7,0,1,1,1,1,1,2,0
46167,11,2,8,6,1,1,1,0,2,2,0
7924,7,7,10,4,10,1,1,1,2,2,0
21422,10,0,15,0,0,1,0,1,2,2,0
41270,10,6,0,2,4,5,0,0,2,2,0
26287,14,0,11,2,0,0,1,1,0,2,0
39229,5,4,6,2,6,0,1,1,2,2,0
28348,11,5,15,2,4,0,1,1,2,2,1
10684,12,0,1,6,0,1,1,0,1,2,0
1246,10,5,14,2,10,0,1,1,3,2,1
35636,6,7,11,4,1,1,0,0,1,2,0
20542,6,4,11,5,1,4,0,0,2,2,0
24,11,4,11,0,13,4,1,0,2,2,0
37579,10,4,11,3,7,1,1,1,2,2,0
23485,7,4,11,2,14,0,1,1,2,2,0
12592,10,4,11,0,8,2,0,1,1,2,0
36299,7,4,15,5,14,1,0,0,2,2,1
9103,13,6,15,4,12,1,1,0,1,2,0
30056,3,4,11,4,8,3,1,0,1,2,0
34099,11,4,12,2,4,0,1,1,2,2,1
13999,7,4,1,2,14,0,1,1,2,2,0
16420,6,4,11,0,3,2,0,0,2,2,0
40693,12,4,15,0,8,1,1,0,1,2,0
46533,10,4,6,2,14,0,1,1,2,2,0
21097,10,4,3,2,3,0,0,1,2,2,1
19484,9,4,11,4,7,4,0,1,2,2,0
45708,7,6,15,2,3,0,1,1,1,2,0
13896,11,4,11,2,3,0,1,1,1,2,1
15650,13,6,15,0,14,1,1,0,1,2,0
2461,5,6,7,4,3,1,1,1,2,2,0
5472,4,4,15,4,6,3,1,1,1,2,0
11446,10,6,15,0,3,1,1,1,2,4,0
4059,7,4,15,4,1,3,0,0,2,2,0
12875,7,4,9,2,13,0,1,1,2,2,1
38741,6,6,15,5,5,4,1,0,3,2,0
32184,9,4,11,0,7,4,1,1,1,2,0
19345,9,0,8,2,0,5,0,0,1,2,1
40674,6,4,11,4,8,3,1,0,2,2,0
25977,6,4,12,4,10,1,1,1,1,2,0
32190,6,4,9,4,4,3,1,1,2,2,0
13729,7,4,9,0,4,1,1,1,2,2,0
17460,5,4,11,4,7,3,0,1,2,2,0
27744,7,4,11,2,3,0,1,1,1,2,0
36671,3,4,15,4,8,3,1,1,1,2,0
9203,4,4,7,4,10,1,1,0,2,2,0
10124,16,6,5,6,5,1,1,1,1,2,0
12527,9,4,11,5,7,4,0,0,2,2,0
31414,7,4,15,0,1,1,1,0,2,2,0
35840,3,4,0,4,6,1,1,1,1,2,0
40829,7,1,11,2,10,0,1,1,3,2,0
42155,8,7,15,4,5,1,0,1,2,2,0
24087,8,4,15,0,4,4,1,0,1,2,0
3332,6,4,11,0,1,4,1,0,2,2,0
11806,7,4,11,4,14,4,0,1,3,2,0
5480,12,4,15,2,13,0,1,1,0,2,1
10007,5,7,9,2,11,5,0,0,2,2,0
28684,4,4,11,4,8,1,1,1,2,2,0
6367,5,4,11,4,1,4,1,0,1,2,0
3258,3,4,11,4,6,3,1,1,2,2,0
17752,6,0,15,4,0,4,1,0,2,2,0
13570,8,4,12,4,10,1,1,0,2,2,0
37106,6,4,15,2,5,0,1,1,2,2,0
41916,12,4,11,2,7,0,1,1,2,2,0
12748,11,4,11,0,8,1,1,1,2,4,0
39652,10,1,15,2,1,0,1,1,2,2,1
28507,10,4,3,5,9,2,1,0,2,2,0
8248,4,4,9,2,8,0,1,1,1,2,0
1161,10,4,11,6,14,4,1,1,2,2,0
34248,8,4,11,0,8,4,1,0,2,2,0
23320,11,2,10,0,10,1,1,0,1,2,0
26772,5,4,0,4,5,2,1,1,1,2,0
6461,14,2,15,6,1,1,1,0,0,2,0
8686,11,4,0,2,3,0,1,1,2,2,1
22666,4,4,15,4,1,3,1,1,0,2,0
2658,9,4,11,2,14,0,1,1,2,2,0
30461,6,4,15,4,1,3,1,1,2,2,0
10826,5,4,11,4,6,1,1,1,2,2,0
19395,6,4,9,2,4,0,1,1,2,2,1
3236,8,4,11,3,3,1,1,1,2,1,0
47362,7,4,9,2,10,0,1,1,2,2,1
17404,7,6,0,2,12,0,1,1,2,2,1
26708,13,1,11,0,1,1,1,0,2,2,0
32500,6,4,1,0,14,4,1,1,3,2,0
25598,6,4,5,5,12,4,1,0,1,2,0
21710,11,4,11,2,4,0,1,1,2,2,1
41379,6,4,11,2,7,0,1,1,2,2,0
17495,4,4,11,4,1,1,1,0,1,2,0
28866,8,7,9,2,10,0,1,1,1,2,1
3428,9,5,15,2,12,0,1,1,3,2,0
43377,6,7,11,0,11,1,1,1,2,2,0
11721,4,4,12,4,10,1,1,0,2,2,0
38179,4,2,9,4,10,1,1,0,2,2,0
22832,7,7,15,4,10,3,0,0,2,2,0
22463,4,4,11,4,3,1,0,1,2,2,0
28331,6,4,11,0,8,4,1,0,1,2,0
48818,14,5,15,0,4,1,1,0,2,2,0
6526,12,4,0,2,1,0,1,1,2,2,0
41616,12,4,11,2,6,0,1,1,1,2,0
564,10,6,9,2,10,0,1,1,3,2,1
31037,7,4,11,4,1,1,0,0,2,2,0
38781,9,4,11,2,4,0,1,1,2,2,0
2312,5,4,9,2,12,5,1,0,2,2,1
14844,11,7,15,2,1,5,1,0,1,2,0
48256,10,4,1,0,11,1,1,0,2,2,0
1549,5,4,0,4,7,4,1,0,2,2,0
21597,7,6,11,2,12,5,1,0,1,2,1
25268,4,4,7,4,6,3,1,1,2,2,0
40797,8,1,9,2,4,0,1,1,2,2,1
643,7,4,15,2,12,0,1,1,2,2,1
17324,9,7,15,0,1,3,1,1,2,2,0
18530,8,4,15,2,3,0,1,1,3,2,1
36849,5,4,11,4,7,1,1,1,2,2,0
37991,9,4,9,2,4,0,1,1,2,1,1
4371,5,4,11,2,14,0,1,1,2,2,0
39624,6,4,15,1,3,0,1,1,1,2,0
40217,5,4,7,2,14,3,1,1,2,2,0
9299,9,6,9,2,10,0,1,1,2,2,0
9282,10,4,11,2,4,0,1,1,2,2,0
18657,9,4,11,2,8,0,0,1,4,0,1
30763,3,4,15,4,8,3,1,0,1,2,0
47446,5,4,11,2,14,0,1,1,2,2,0
12793,6,4,9,2,12,0,1,1,2,2,1
35694,11,7,11,0,1,3,1,0,1,2,0
