,age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
0,50,4,10,2,10,0,1,1,40,39,1
1,50,4,11,2,7,0,1,1,50,39,1
2,30,4,11,0,4,1,1,0,40,39,0
3,22,4,5,4,5,4,1,1,40,39,0
4,72,5,15,2,3,0,0,1,40,39,1
5,18,4,15,2,3,0,1,1,50,30,0
6,23,4,15,2,7,0,1,1,40,39,0
7,35,1,7,2,10,0,1,1,20,39,1
8,21,4,15,0,1,1,1,0,40,39,0
9,45,5,11,2,3,0,1,1,48,39,1
10,70,4,15,2,3,0,0,1,32,39,1
11,39,4,8,5,3,1,1,1,72,39,0
12,48,4,5,2,9,5,1,0,28,39,1
13,30,4,11,2,1,0,1,1,40,39,0
14,67,4,15,4,1,4,1,0,40,39,0
15,28,4,11,4,3,1,1,1,40,39,0
16,45,2,15,4,13,3,1,0,40,39,0
17,43,5,12,2,12,0,1,1,40,39,1
18,44,4,8,2,14,0,1,1,40,39,1
19,23,4,11,0,1,4,1,0,20,39,0
20,34,7,2,2,5,0,1,1,40,39,0
21,22,4,12,4,4,1,1,0,40,39,0
22,43,4,7,2,10,0,1,1,50,39,1
23,62,4,12,2,7,0,0,1,35,39,1
24,53,4,15,0,5,1,1,0,30,39,0
25,38,4,6,2,1,5,1,0,40,39,1
26,48,4,8,5,13,4,1,0,40,14,0
27,29,4,12,2,4,0,1,1,74,39,1
28,32,4,15,2,8,0,1,1,40,39,0
29,21,4,11,4,8,1,1,1,40,32,0
30,36,6,14,2,10,0,1,1,48,39,1
31,90,2,15,2,14,0,1,1,50,39,1
32,37,4,11,3,6,4,1,0,40,39,1
33,53,2,9,2,10,5,1,0,40,39,1
34,22,2,11,2,11,0,1,1,25,28,0
35,17,4,9,2,1,0,0,1,40,39,0
36,51,4,11,4,3,3,0,1,40,39,0
37,42,4,8,2,8,5,1,0,45,39,0
38,59,6,11,2,12,0,1,1,40,39,1
39,46,4,11,4,7,3,1,0,40,39,0
40,86,4,11,2,6,0,1,1,60,39,0
41,67,4,11,4,7,3,1,1,40,39,0
42,25,4,11,2,12,5,1,1,20,39,0
43,60,6,15,4,13,3,1,0,45,39,0
44,30,1,6,4,1,1,1,1,10,39,0
45,54,4,11,5,1,1,1,0,40,41,0
46,23,4,9,4,8,1,1,1,40,39,0
47,46,2,10,2,10,0,1,1,60,39,1
48,23,2,11,4,1,1,1,1,40,39,0
49,24,7,11,0,8,4,0,0,42,39,0
50,65,4,7,4,13,1,1,0,32,39,0
51,43,4,11,4,1,1,1,0,40,39,0
52,24,6,9,4,10,1,1,1,40,39,0
53,32,0,1,4,0,1,1,1,50,39,0
54,56,4,8,4,8,3,1,1,40,39,0
55,41,4,11,3,8,4,1,0,40,39,0
56,24,4,11,4,3,3,0,1,60,39,0
57,48,4,11,4,3,1,1,1,45,39,0
58,73,4,9,2,1,0,1,1,60,39,0
59,56,2,9,2,4,0,1,1,12,39,0
60,45,4,15,4,1,1,1,1,40,39,0
61,30,4,11,2,14,0,0,1,60,39,0
62,27,4,9,2,3,0,1,1,20,39,0
63,37,4,11,0,6,4,1,1,40,26,0
64,53,4,15,4,8,3,1,0,60,39,0
65,32,2,8,4,13,3,1,0,40,19,0
66,64,4,8,0,12,1,1,0,50,39,0
67,69,4,12,2,7,0,1,1,40,39,1
68,19,2,11,4,11,1,0,1,40,39,0
69,55,4,7,4,3,1,1,1,45,39,0
70,46,2,12,4,10,1,1,1,30,39,0
71,34,4,9,2,4,0,1,1,40,39,1
72,59,4,15,2,12,0,1,1,50,39,1
73,48,4,11,2,3,0,0,1,50,39,1
74,90,4,15,2,3,0,1,1,40,39,1
75,45,4,11,4,1,3,1,0,40,39,0
76,35,7,15,4,8,3,1,0,50,39,0
77,25,4,9,2,4,0,1,1,80,39,1
78,49,6,11,2,3,0,1,1,10,39,1
79,45,4,1,2,3,0,1,1,40,39,0
80,37,2,11,2,8,0,1,1,45,39,0
81,36,3,9,2,5,0,1,1,10,39,1
82,55,4,8,4,8,3,1,0,45,39,0
83,44,4,11,4,6,1,1,1,45,39,1
84,39,4,11,4,14,1,1,1,5,39,1
85,30,4,3,3,4,4,1,0,60,39,1
86,39,4,9,2,4,0,0,1,35,26,1
87,47,6,11,2,4,5,1,0,40,25,0
88,23,4,11,4,6,1,1,1,50,39,0
89,29,4,11,0,12,4,1,0,40,39,0
90,86,6,1,4,3,3,1,1,24,39,0
91,29,4,15,0,8,1,1,0,35,39,0
92,43,6,11,0,5,1,1,1,40,30,0
93,40,6,14,2,10,5,1,0,13,39,1
94,31,4,8,4,10,2,0,1,40,39,0
95,53,4,9,2,4,0,1,1,40,26,1
96,28,4,9,0,4,4,1,0,40,39,0
97,21,2,9,2,10,5,1,0,40,39,0
98,29,4,11,0,12,4,1,0,45,39,0
99,48,2,11,2,8,5,1,0,44,39,0
100,49,4,0,2,8,0,1,1,48,39,0
101,55,7,15,0,10,5,1,0,40,39,0
102,51,4,5,2,3,0,1,1,25,39,0
103,57,0,1,4,0,4,1,0,40,39,0
104,34,4,12,4,10,3,0,0,40,25,0
105,20,4,11,1,6,5,1,0,40,39,0
106,23,5,11,4,8,1,1,1,90,30,0
107,52,4,11,2,14,0,1,1,13,39,0
108,37,2,9,2,10,0,1,1,50,39,1
109,32,4,7,4,10,4,1,0,40,39,0
110,41,6,9,2,12,0,1,1,40,39,1
111,44,2,1,4,8,3,1,0,55,39,0
112,35,4,11,2,3,0,1,1,40,39,0
113,22,4,11,2,3,0,0,1,60,39,0
114,64,4,9,2,4,0,1,1,50,39,1
115,25,4,1,0,8,1,1,0,40,39,0
116,38,4,11,2,3,0,1,1,45,39,0
117,31,4,11,0,1,4,1,0,45,39,0
118,55,0,11,5,0,4,1,0,55,39,0
119,19,0,15,0,0,1,1,0,40,39,0
120,33,4,15,2,1,5,1,0,50,39,0
121,17,4,9,6,1,1,1,0,40,39,0
122,34,4,15,4,13,1,0,1,40,39,0
123,30,5,12,2,4,0,1,1,55,39,1
124,41,0,15,4,0,3,1,0,40,39,0
125,18,4,11,0,10,3,0,0,50,39,0
126,24,4,15,2,1,0,1,1,40,39,0
127,20,4,9,5,4,1,1,0,40,39,0
128,25,1,14,2,2,0,1,1,40,39,1
129,24,4,15,4,3,3,0,1,15,11,0
130,20,4,11,4,7,3,0,0,40,39,0
131,40,4,2,4,12,4,1,0,20,39,0
132,25,0,1,0,0,4,1,0,36,39,0
133,23,7,12,4,13,3,1,0,40,39,0
134,28,4,11,4,7,3,1,1,92,39,0
135,19,4,11,4,8,1,1,0,40,25,0
136,57,4,12,4,10,3,1,1,40,39,0
137,33,4,15,0,3,1,1,0,40,39,0
138,43,1,14,4,10,2,1,1,20,39,0
139,49,4,11,4,8,3,1,1,40,39,0
140,42,4,11,4,7,3,1,0,40,39,0
141,52,4,15,0,14,1,0,1,40,39,0
142,48,2,9,4,10,1,0,0,40,39,0
143,86,4,11,6,8,1,1,0,50,39,0
144,37,4,11,0,14,1,1,1,40,39,0
145,24,4,15,4,12,4,1,0,40,39,0
146,40,4,9,5,1,4,1,0,40,39,0
147,44,6,9,4,3,1,1,1,40,39,1
148,19,6,8,2,3,0,1,1,40,28,0
149,23,4,15,4,1,1,1,1,35,39,0
150,59,4,15,2,12,0,1,1,40,39,1
151,33,4,11,3,1,4,1,0,10,39,1
152,20,4,15,0,1,1,1,0,40,39,0
153,27,6,9,4,5,3,0,1,40,39,0
154,42,4,15,2,4,0,1,1,10,39,0
155,28,4,9,0,4,1,1,0,50,30,0
156,45,4,9,2,12,0,1,1,45,39,0
157,39,0,11,4,0,3,1,0,40,39,0
158,19,4,15,4,1,1,1,0,30,39,1
159,26,2,4,2,11,0,1,1,40,39,0
160,29,4,12,2,10,5,1,1,40,30,1
161,44,6,15,2,4,0,1,1,40,39,1
162,45,4,14,3,10,4,1,0,25,39,1
163,23,4,7,2,4,0,1,1,40,39,0
164,37,4,9,2,12,0,1,1,35,39,1
165,26,4,11,2,3,0,1,1,40,39,0
166,25,4,12,4,4,1,1,1,40,39,0
167,49,2,14,2,10,0,1,1,60,39,1
168,29,4,15,4,12,1,1,1,60,39,0
169,55,4,11,4,4,1,1,1,55,39,0
170,19,1,1,2,1,0,1,1,40,39,0
171,23,4,4,4,3,3,1,1,40,39,0
172,44,4,15,2,6,0,1,1,40,2,0
173,44,4,9,2,4,0,1,1,20,26,1
174,32,7,15,4,8,3,1,1,40,39,0
175,29,4,11,4,8,1,1,0,40,39,0
176,55,5,9,4,12,1,1,0,60,39,0
177,33,4,14,2,12,0,1,1,30,39,1
178,22,4,7,2,8,5,1,0,20,39,0
179,66,4,11,2,5,4,0,0,42,39,0
180,28,0,15,4,0,1,1,1,37,39,0
181,19,4,12,2,7,0,1,1,56,39,0
182,59,6,11,0,3,1,0,1,37,39,0
183,36,4,11,4,12,1,1,1,7,39,0
184,34,4,15,2,4,0,1,1,36,39,1
185,26,4,11,2,14,2,1,1,46,39,0
186,46,2,11,2,8,0,1,1,38,39,0
187,23,4,12,0,10,5,1,0,45,39,0
188,32,1,9,4,10,3,0,1,40,39,0
189,69,6,12,2,10,0,1,1,40,39,1
190,41,4,11,4,3,4,1,1,45,39,0
191,29,1,12,4,4,1,1,0,40,39,0
192,18,5,11,2,12,0,1,1,40,39,1
193,32,2,11,0,11,3,0,0,40,39,0
194,18,4,15,6,8,2,1,0,45,39,0
195,19,4,1,2,14,0,1,1,40,3,0
196,36,4,11,4,8,3,1,1,40,39,0
197,23,4,15,2,12,0,1,1,80,39,0
198,26,7,15,5,10,4,0,0,38,39,0
199,42,4,11,4,6,3,1,1,35,39,0
200,34,4,11,2,13,0,0,1,86,39,1
201,39,4,2,4,5,3,1,1,32,39,0
202,43,4,11,0,3,1,1,1,65,39,0
203,50,4,11,4,12,3,1,0,40,39,0
204,25,4,9,5,1,2,1,1,45,39,0
205,49,4,15,4,7,3,1,1,32,39,0
206,21,0,15,4,0,3,1,0,92,39,0
207,32,5,9,2,4,0,1,1,40,39,1
208,23,2,11,2,4,0,1,1,40,39,0
209,60,4,11,0,12,1,1,1,48,39,0
210,34,4,11,2,7,0,0,1,3,39,0
211,36,4,5,4,3,1,1,0,40,39,0
212,18,4,9,2,1,0,1,1,40,39,0
213,37,4,11,2,7,0,1,1,40,39,0
214,50,6,11,0,4,1,1,1,40,39,0
215,46,4,9,2,10,0,1,1,40,39,1
216,23,1,9,4,1,1,1,1,40,39,0
217,29,4,0,4,8,3,1,0,40,39,0
218,19,4,15,2,12,0,1,1,40,39,0
219,31,4,15,2,1,1,1,0,40,39,1
220,47,4,9,2,10,0,1,1,45,39,1
